query_no,query,cardinality_true
0,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.gender>1 AND bfp.product_category_3=9 AND bfp.product_category_2>6 AND bfp.purchase>3522 AND bfp.product_category_1=1;",332
1,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.city_category<3 AND bfp.product_category_2<11 AND bfp.product_category_1>1 AND bfp.age<7 AND bfp.marital_status=0 AND bfp.gender>1 AND bfp.product_category_3=13 AND bfp.purchase<16144 AND bfp.stay_in_current_city_years<2 AND bfp.occupation<5;",29
2,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase>23623 AND bfp.city_category>2 AND bfp.product_category_2<15;",55
3,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status>0;",67202
4,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.stay_in_current_city_years<3 AND bfp.marital_status=1 AND bfp.product_category_3=3 AND bfp.city_category>1 AND bfp.gender>1 AND bfp.age>3;",26
5,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.stay_in_current_city_years>3 AND bfp.gender=1 AND bfp.product_category_1<5 AND bfp.city_category<3 AND bfp.marital_status>0 AND bfp.occupation>19 AND bfp.product_category_3>10 AND bfp.product_category_2<3 AND bfp.age<4 AND bfp.purchase>12042;",11
6,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.occupation=3 AND bfp.stay_in_current_city_years=4 AND bfp.product_category_1<12;",918
7,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_3=10 AND bfp.gender<2 AND bfp.age>2 AND bfp.product_category_2=3 AND bfp.purchase<12983 AND bfp.city_category>2 AND bfp.stay_in_current_city_years=3 AND bfp.product_category_1=2 AND bfp.marital_status>0 AND bfp.occupation>13;",1
8,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.age>4 AND bfp.product_category_3<13 AND bfp.occupation=20 AND bfp.product_category_1=6 AND bfp.marital_status<1 AND bfp.city_category=2 AND bfp.gender=1 AND bfp.stay_in_current_city_years=3 AND bfp.product_category_2=8;",1
9,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.stay_in_current_city_years<4;",112191
10,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.city_category=3 AND bfp.occupation=14 AND bfp.purchase<15488 AND bfp.product_category_1>8 AND bfp.gender=2 AND bfp.stay_in_current_city_years=2 AND bfp.marital_status=0;",7
11,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status<1 AND bfp.product_category_3<10 AND bfp.stay_in_current_city_years>4 AND bfp.product_category_2>3 AND bfp.purchase<9923 AND bfp.age=5;",49
12,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_2=2 AND bfp.stay_in_current_city_years<2 AND bfp.occupation=15 AND bfp.product_category_3>8 AND bfp.marital_status=1 AND bfp.city_category>1 AND bfp.purchase<11727 AND bfp.age=4;",2
13,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.occupation=0 AND bfp.product_category_1>6 AND bfp.stay_in_current_city_years=2;",641
14,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_1>11 AND bfp.stay_in_current_city_years=1 AND bfp.age=1;",8
15,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.city_category<3 AND bfp.product_category_2<13 AND bfp.marital_status=0 AND bfp.purchase<20422 AND bfp.stay_in_current_city_years<3;",25550
16,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.occupation<13 AND bfp.stay_in_current_city_years<3 AND bfp.city_category=2 AND bfp.purchase<4483 AND bfp.product_category_1=8 AND bfp.product_category_3>14 AND bfp.product_category_2>14 AND bfp.marital_status=0 AND bfp.age>2;",10
17,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status=1 AND bfp.product_category_2=16 AND bfp.occupation<11 AND bfp.gender>1 AND bfp.product_category_1>8;",25
18,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.age<5 AND bfp.product_category_1=8 AND bfp.stay_in_current_city_years>4 AND bfp.product_category_3<15;",71
19,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_2>8 AND bfp.purchase=6864;",8
20,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_1<5 AND bfp.city_category=2 AND bfp.occupation=4 AND bfp.marital_status=0 AND bfp.product_category_2=9 AND bfp.age=2 AND bfp.product_category_3=14;",14
21,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.city_category=3 AND bfp.product_category_3<4 AND bfp.stay_in_current_city_years<2 AND bfp.gender>1 AND bfp.age<4 AND bfp.purchase<18990 AND bfp.marital_status=1 AND bfp.occupation<17;",0
22,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase<10032 AND bfp.marital_status=1;",26079
23,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status=1 AND bfp.gender<2 AND bfp.product_category_3=17 AND bfp.purchase<19024 AND bfp.stay_in_current_city_years>1 AND bfp.product_category_2>12 AND bfp.age=6 AND bfp.occupation<12 AND bfp.product_category_1<5;",8
24,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase=15571 AND bfp.product_category_2=8 AND bfp.gender>1 AND bfp.product_category_1=1 AND bfp.stay_in_current_city_years<4 AND bfp.occupation>0;",1
25,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_3=15 AND bfp.product_category_1=1;",21748
26,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.gender<2 AND bfp.city_category=2 AND bfp.marital_status>0 AND bfp.product_category_3<14 AND bfp.occupation<15 AND bfp.age>6 AND bfp.product_category_2<5 AND bfp.purchase>11861 AND bfp.stay_in_current_city_years>2 AND bfp.product_category_1=2;",2
27,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.city_category<2 AND bfp.product_category_2>8;",11534
28,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.city_category=3 AND bfp.purchase<2856 AND bfp.product_category_1<8 AND bfp.marital_status<1;",910
29,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_1>6 AND bfp.product_category_2=16 AND bfp.product_category_3=17 AND bfp.city_category=1 AND bfp.stay_in_current_city_years<4 AND bfp.purchase<8098 AND bfp.gender=1 AND bfp.age=3 AND bfp.marital_status=1;",2
30,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_2>12;",33503
31,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase=6925 AND bfp.product_category_1<5 AND bfp.gender<2;",0
32,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase=6925 AND bfp.product_category_1<5;",3
33,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.city_category=3 AND bfp.age<2 AND bfp.product_category_1=12 AND bfp.purchase=1747 AND bfp.product_category_3=17 AND bfp.marital_status=0 AND bfp.gender=1;",1
34,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status=0 AND bfp.age=3 AND bfp.product_category_2>5 AND bfp.gender=1 AND bfp.product_category_1=13;",80
35,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.occupation<17 AND bfp.product_category_2<10 AND bfp.product_category_1=1 AND bfp.gender=1 AND bfp.age>3 AND bfp.city_category>1 AND bfp.purchase>8178 AND bfp.stay_in_current_city_years<5 AND bfp.product_category_3>14;",1287
36,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_3>5 AND bfp.product_category_2<10 AND bfp.purchase=10845 AND bfp.city_category=3 AND bfp.product_category_1=3 AND bfp.age>3;",0
37,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase=23050 AND bfp.product_category_3=16 AND bfp.stay_in_current_city_years=1 AND bfp.occupation=14 AND bfp.marital_status=0 AND bfp.product_category_2=13;",1
38,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status<1 AND bfp.occupation=14 AND bfp.product_category_1=5 AND bfp.city_category<2;",176
39,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase=14063 AND bfp.product_category_1=10 AND bfp.product_category_2=15 AND bfp.city_category<3;",0
40,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.occupation<1 AND bfp.city_category>1 AND bfp.product_category_1>5 AND bfp.purchase<12421 AND bfp.marital_status>0 AND bfp.product_category_3<18 AND bfp.gender<2;",154
41,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.age<2 AND bfp.product_category_2<5;",2465
42,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_3=11 AND bfp.age=7 AND bfp.city_category>1 AND bfp.purchase>19512 AND bfp.occupation>16;",0
43,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status=0 AND bfp.city_category>1;",73453
44,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_1>4 AND bfp.marital_status>0 AND bfp.gender>1 AND bfp.occupation<8 AND bfp.product_category_3>13 AND bfp.age>6 AND bfp.purchase<7076;",100
45,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.age<3 AND bfp.product_category_3=5 AND bfp.product_category_2>2 AND bfp.stay_in_current_city_years<4 AND bfp.gender=2;",1112
46,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.stay_in_current_city_years=4 AND bfp.product_category_2=13;",1033
47,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase>23113 AND bfp.occupation=11 AND bfp.product_category_1=10;",12
48,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.occupation=6 AND bfp.stay_in_current_city_years>4;",1125
49,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.occupation>0 AND bfp.age>6 AND bfp.product_category_2>10;",1439
50,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_1=10 AND bfp.occupation=20 AND bfp.product_category_3>16;",0
51,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_2<5 AND bfp.age<4 AND bfp.product_category_1>1 AND bfp.purchase=7963 AND bfp.gender=2 AND bfp.city_category=1;",2
52,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.marital_status>0 AND bfp.product_category_3>3 AND bfp.product_category_1<12 AND bfp.age=2 AND bfp.occupation=0 AND bfp.city_category=1;",71
53,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_2<4 AND bfp.purchase=15851 AND bfp.city_category=1 AND bfp.product_category_3=3 AND bfp.age=5 AND bfp.stay_in_current_city_years<2;",0
54,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase<12527 AND bfp.occupation<18 AND bfp.product_category_2>11 AND bfp.city_category=2 AND bfp.gender=1 AND bfp.product_category_1=5 AND bfp.stay_in_current_city_years<2 AND bfp.marital_status=1;",30
55,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.gender=2 AND bfp.purchase>5592 AND bfp.marital_status<1;",66594
56,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.gender<2 AND bfp.occupation<14;",29742
57,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.purchase=20537 AND bfp.city_category>2 AND bfp.stay_in_current_city_years=2;",3
58,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.age=4 AND bfp.product_category_2<10 AND bfp.occupation>9 AND bfp.gender>1 AND bfp.stay_in_current_city_years>1 AND bfp.marital_status<1;",4271
59,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.age=1 AND bfp.marital_status=0 AND bfp.product_category_2=8;",548
60,"SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.product_category_2=14 AND bfp.occupation<7 AND bfp.gender<2 AND bfp.marital_status<1 AND bfp.city_category=3 AND bfp.product_category_3>16 AND bfp.purchase<5952 AND bfp.age=1 AND bfp.product_category_1=8;",1
