name,min,max,cardinality,num_unique_values
f.id,0.0,425832.0,425833,425833
f.cpuname,1.0,358.0,425833,358
f.cpunumberofcores,1.0,32.0,425833,13
f.cpunumberofthreads,1.0,64.0,425833,15
f.cpubaseclock,100.0,800.0,425833,5
f.cpucachel1,64.0,3072.0,425833,17
f.cpucachel2,512.0,18432.0,425833,14
f.cpucachel3,0.0,64.0,425833,20
f.cpudiesize,0.0,0.000435,425833,37
f.cpufrequency,1500.0,4700.0,425833,42
f.cpumultiplier,8.0,43.0,425833,47
f.cpumultiplierunlocked,1.0,2.0,425833,2
f.cpuprocesssize,7.0,90.0,425833,9
f.cputdp,10.0,250.0,425833,36
f.cpunumberoftransistors,0.0,19200.0,425833,29
f.cputurboclock,1600.0,5000.0,425833,46
f.gpuname,1.0,446.0,425833,446
f.gpuarchitecture,1.0,28.0,425833,28
f.gpubandwidth,0.0,1024000.0,425833,146
f.gpubaseclock,100.0,1680.0,425833,181
f.gpuboostclock,350.0,1980.0,425833,181
f.gpubusnterface,1.0,17.0,425833,17
f.gpunumberofcomputeunits,0.0,64.0,425833,27
f.gpudiesize,0.0,0.000815,425833,76
f.gpudirectx,1.0,8.0,425833,8
f.gpunumberofexecutionunits,0.0,48.0,425833,6
f.gpufp32performance,0.0,16310000.0,425833,310
f.gpumemorybus,0.0,4096.0,425833,17
f.gpumemorysize,0.0,24000.0,425833,23
f.gpumemorytype,1.0,9.0,425833,9
f.gpuopencl,1.0,6.0,425833,6
f.gpuopengl,1.0,7.0,425833,7
f.gpupixelrate,425.0,169900.0,425833,270
f.gpuprocesssize,7.0,110.0,425833,12
f.gpunumberofrops,1.0,96.0,425833,18
f.gpushadermodel,1.0,10.0,425833,10
f.gpunumberofshadingunits,0.0,5120.0,425833,63
f.gpunumberoftmus,2.0,320.0,425833,38
f.gputexturerate,850.0,509800.0,425833,308
f.gpunumberoftransistors,0.0,21100.0,425833,75
f.gpuvulkan,1.0,7.0,425833,7
f.gamename,1.0,30.0,425833,30
f.gameresolution,720.0,1440.0,425833,3
f.gamesetting,1.0,4.0,425833,4
f.dataset,1.0,2.0,425833,2
f.fps,0.0,1000.0,425833,2740
