query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM fps f WHERE f.cputdp>130 AND f.fps<340.0;,4323.704014562023,4359,6.210800002008909,0,0.0
1,SELECT COUNT(*) FROM fps f WHERE f.cputdp<45 AND f.fps>300.0;,22.415805305096736,4,5.827100001624785,0,0.0
2,SELECT COUNT(*) FROM fps f WHERE f.cputdp=91 AND f.fps<181.0;,31111.373115537106,26595,6.6181000001961365,0,0.0
3,SELECT COUNT(*) FROM fps f WHERE f.cputdp>15 AND f.fps<246.6;,351585.9893189645,351519,6.968699999561068,0,0.0
4,SELECT COUNT(*) FROM fps f WHERE f.cputdp=125 AND f.fps<250.0;,12607.140037097488,13946,6.6760999980033375,0,0.0
5,SELECT COUNT(*) FROM fps f WHERE f.cputdp=55 AND f.fps>220.0;,111.79588901059073,25,7.614100002683699,0,0.0
6,SELECT COUNT(*) FROM fps f WHERE f.cputdp>45 AND f.fps<36.1;,17269.354635175863,16728,6.804799999372335,0,0.0
7,SELECT COUNT(*) FROM fps f WHERE f.cputdp=45 AND f.fps<10.0;,8.81971257915024,13,7.0083999999042135,0,0.0
8,SELECT COUNT(*) FROM fps f WHERE f.cputdp<59 AND f.fps>144.5;,4573.944803686757,3375,6.982399998378241,0,0.0
9,SELECT COUNT(*) FROM fps f WHERE f.cputdp=65 AND f.fps>85.6;,87798.8518733653,89228,7.349199997406686,0,0.0
10,SELECT COUNT(*) FROM fps f WHERE f.cputdp<105 AND f.fps<275.0;,354035.61513615254,352324,7.224199998745462,0,0.0
11,SELECT COUNT(*) FROM fps f WHERE f.cputdp=150 AND f.fps=170.0;,1.0,1,7.346200000029057,0,0.0
12,SELECT COUNT(*) FROM fps f WHERE f.cputdp<95 AND f.fps=103.4;,9.772626057822716,11,6.628900002397131,0,0.0
13,SELECT COUNT(*) FROM fps f WHERE f.cputdp=91 AND f.fps>170.0;,13839.311485475087,18133,6.624199999350822,0,0.0
14,SELECT COUNT(*) FROM fps f WHERE f.cputdp<35 AND f.fps=180.0;,21.30137594328146,2,6.074199998693075,0,0.0
15,SELECT COUNT(*) FROM fps f WHERE f.cputdp=65 AND f.fps>73.6;,97210.00415651641,99654,6.561299996974412,0,0.0
16,SELECT COUNT(*) FROM fps f WHERE f.cputdp=65 AND f.fps<149.0;,83074.02201322613,84201,6.225899996934459,0,0.0
17,SELECT COUNT(*) FROM fps f WHERE f.cputdp<73 AND f.fps>210.5;,22749.97097507138,16760,5.940600000030827,0,0.0
18,SELECT COUNT(*) FROM fps f WHERE f.cputdp<59 AND f.fps=183.5;,1.0,1,5.650199997035088,0,0.0
19,SELECT COUNT(*) FROM fps f WHERE f.cputdp<112 AND f.fps<195.1;,309488.310997429,307249,5.945400000200607,0,0.0
20,SELECT COUNT(*) FROM fps f WHERE f.cputdp>17 AND f.fps=49.3;,9.998097779748576,10,5.72920000195154,0,0.0
21,SELECT COUNT(*) FROM fps f WHERE f.cputdp=47 AND f.fps>10.0;,1080.7919814933484,1086,6.125100000645034,0,0.0
22,SELECT COUNT(*) FROM fps f WHERE f.cputdp<59 AND f.fps<61.4;,18217.194042196483,19808,5.649000002449611,0,0.0
23,SELECT COUNT(*) FROM fps f WHERE f.cputdp<55 AND f.fps>48.7;,20188.689958610426,19450,5.521999999473337,0,0.0
24,SELECT COUNT(*) FROM fps f WHERE f.cputdp>10 AND f.fps=182.7;,1.9999999999999567,2,5.677600001945393,0,0.0
25,SELECT COUNT(*) FROM fps f WHERE f.cputdp<180 AND f.fps<61.2;,69103.46775563176,68930,6.063699998776428,0,0.0
26,SELECT COUNT(*) FROM fps f WHERE f.cputdp=17 AND f.fps=50.0;,8.85362792316864,8,7.478499999706401,0,0.0
27,SELECT COUNT(*) FROM fps f WHERE f.cputdp=130 AND f.fps=120.0;,91.57238916654127,76,6.740400000126101,0,0.0
28,SELECT COUNT(*) FROM fps f WHERE f.cputdp>220 AND f.fps=80.0;,1.0,1,6.443799997214228,0,0.0
29,SELECT COUNT(*) FROM fps f WHERE f.cputdp<28 AND f.fps<160.0;,12354.33674247808,12574,6.171900000481401,0,0.0
30,SELECT COUNT(*) FROM fps f WHERE f.cputdp=100 AND f.fps>120.0;,9.102868221261033,3,6.646900001214817,0,0.0
31,SELECT COUNT(*) FROM fps f WHERE f.cputdp<140 AND f.fps=69.7;,24.67780979563866,25,6.485500001872424,0,0.0
32,SELECT COUNT(*) FROM fps f WHERE f.cputdp<69 AND f.fps>181.6;,34084.18751977188,30165,6.442799996875692,0,0.0
