,pred,true
0,7.5,10
1,820.4545454545455,820
2,14349.0,14346
3,10222.333333333332,10224
4,51.0,51
5,63795.5,63796
6,1.0,1
7,1625.095238095238,1625
8,2249.0,2248
9,68962.0,68962
10,578.0,580
11,6.444444444444444,8
12,1745.25,1745
13,21830.34285714286,21837
14,7098.7692307692305,7097
15,26294.777777777777,26291
16,55606.0,55606
17,6669.888888888889,6672
18,133.45833333333334,134
19,44203.0,44205
20,3.0,4
21,6319.6,6320
22,37.0,37
23,86846.0,86846
24,21565.415384615382,21568
25,142652.17391304346,142644
26,20738.25,20741
27,322.2857142857143,323
28,160913.77777777778,160908
29,57596.0,57596
30,8.5,6
31,1.0,1
32,1333.0,1333
33,1.0,1
34,2523.2,2526
35,89.0,89
36,12.0,12
37,3170.0,3170
38,65262.4,65263
39,2.2857142857142856,2
40,4764.076923076923,4761
41,6188.615384615385,6190
42,129650.11111111111,129652
43,2002.0,2002
44,112.42105263157895,114
45,1037.625,1038
46,153977.33333333334,153979
47,8213.0,8213
48,12.75,12
49,1257.0,1257
50,8107.0,8108
51,36937.0,36937
52,141.0,141
53,24903.0,24907
54,12737.0,12737
55,76.54166666666667,80
56,7.311666666666667,8
57,24.333333333333332,24
58,8542.75,8543
59,7947.4,7947
60,148.0,148
61,79371.8,79372
62,948.5,950
63,16723.0,16723
64,13463.5,13464
65,15.666666666666666,20
66,1272.0,1272
67,125014.0,125014
68,4.090909090909091,4
69,1.36,2
70,30.0,30
71,569.4545454545455,566
72,119.0,119
73,4.8500000000000005,6
74,2744.8793103448274,2740
75,7024.862068965517,7021
76,307.0,312
77,1.2666666666666666,2
78,11.043956043956044,12
79,1652.7027027027027,1653
80,90752.0,90752
81,48.0,48
82,176.0,176
83,8.200000000000001,10
84,1.846153846153846,5
85,1.25,1
86,25878.666666666664,25878
87,2630.5,2632
88,1767.0,1767
89,17825.5,17827
90,20211.0,20211
91,3.2962962962962963,4
92,5015.5,5016
93,20210.529411764706,20211
94,18881.53846153846,18883
95,64460.0,64460
96,1.0,1
97,30.5,31
98,20924.363636363636,20925
99,552.1076923076923,551
100,1647.081081081081,1645
101,52.69230769230769,53
102,1488.5,1483
103,2.217391304347826,3
104,1.3684210526315788,1
105,4.533333333333333,3
106,1903.1666666666667,1902
107,848.8888888888889,852
108,1.0,1
109,23287.875,23288
110,3.6153846153846154,2
111,1834.6,1833
112,5671.5,5671
113,14346.0,14343
114,66.4,66
115,1640.0,1640
