,pred,true
0,7064.0,7064
1,11.0,11
2,2425.6744186046512,2426
3,3837.0,3837
4,115073.60866897042,114967
5,74.0,74
6,2.0,2
7,1.0,1
8,11.0,11
9,163588.90865384616,163587
10,2.317948717948718,1
11,118172.30348024522,118234
12,520.0,520
13,197.33333333333334,197
14,122.0,122
15,233454.82133944478,233403
16,115641.95352086338,115578
17,338403.1568799207,338441
18,18.499448309863546,19
19,1.0,1
20,5.0,5
21,1.0,1
22,26573.98857553606,26541
23,10675.880451411333,10689
24,167344.55405405405,167344
25,7972.0,7972
26,48628.516615067085,48630
27,4.0,4
28,448.0,448
29,10.824885617150555,9
30,3517.241956475775,3518
31,2.0,2
32,1.0,1
33,292714.8992909262,292867
34,1.0,1
35,29662.0,29662
36,1.2352941176470589,1
37,266480.7911141489,266481
38,229965.20711288,230051
39,129.0,129
40,3.0,3
41,21.0,21
42,5.0,5
43,1.0,1
44,105367.84501191296,105439
45,335.0,335
46,110137.25230570656,110170
47,359.0,359
48,18949.0,18949
49,128.0,127
50,66891.55506430124,66863
51,16.52179197035926,16
52,3.0,3
53,28570.57549019608,28577
54,9.976626347036229,11
55,2.0,2
56,403.0,403
57,66631.52399947954,66685
58,8.014643826119237,8
59,1.0,1
60,1.0,1
61,18335.65909090909,18337
62,419.0,419
63,1.0,1
64,678.0,677
65,1.0,1
66,189603.66810058863,189694
67,333571.78390092886,333568
68,8976.0,8976
69,71947.0,71945
70,157286.95246660864,157426
71,49014.428592725104,49015
72,10.0,10
73,69264.22554522697,69293
74,8.127585802250646,7
75,1.0,1
76,1.0,1
77,1.0,1
78,4.0,4
79,375123.9842032967,375120
80,2.8697688030436055,2
81,20.0,20
82,273481.46283378097,273531
83,415454.9846611722,415454
84,314.0,314
85,1.0,1
86,75186.2945054945,75189
87,115739.66015328019,115663
88,7.0085753024246795,7
89,51603.61449804067,51602
90,1.0,1
91,1.0,1
92,38065.66666666667,38066
93,7.0,7
94,1.0,1
95,46093.2449854583,46084
96,1.0,1
97,1.0,1
98,1.0,1
99,41.0,41
100,48505.715067079465,48518
101,1.0,1
102,17372.35087118427,17314
103,232201.0,232201
104,295681.7074572938,295758
105,3.5882352941176467,3
106,8.0,8
107,100987.50973027197,100946
108,3.0,3
109,12.0,12
110,1.0,1
111,1.0,1
112,2205.0,2205
113,2.0,2
114,393.0,393
115,88149.90875246502,88144
116,173154.6225334455,173042
117,18.718274656536888,20
118,1.0,1
119,10490.346679056238,10498
120,9790.0,9790
121,19.907748882442267,21
122,17.0,17
123,27891.93888888889,27888
124,6.0,6
125,50616.94202898551,50617
126,80.0,80
127,1.0,1
128,1.6956521739130435,3
129,110848.9464212305,110795
130,101566.88049450549,101565
131,136.0,136
132,60671.0,60671
133,238226.8764580776,238142
134,2804.0,2804
135,48424.840054682165,48422
136,86547.83532744074,86563
137,5309.851449515614,5277
138,10.0,10
139,1408.0,1408
140,1.476190476190476,3
141,14.0,14
142,3.0,3
143,234082.3357586079,233981
144,1181.0,1181
145,4.7123712524409385,3
146,12.0,12
147,150.0,150
148,1.0,1
149,7707.333333333333,7707
150,135.0,135
151,2.0,2
152,1.0,1
153,2.5806451612903225,2
154,291.0,291
155,5.0,5
156,20.0,20
157,15.752796353031538,15
158,104539.0625,104542
159,1856.0,1856
160,8.0,8
161,104529.40013146057,104482
162,111291.02139745679,111182
163,1.0,1
164,343207.1305047379,343215
165,35.0,35
166,7.541638343343452,6
167,30589.4242572511,30614
168,389305.5252272861,389309
169,1.0,1
170,160854.63808503188,160810
171,60.0,60
172,48375.27492260063,48379
173,224823.66666666666,224824
174,355315.44117647066,355310
175,2.0,2
176,161797.89427295607,161896
177,142.0,142
178,3.0,3
179,8.0,8
180,14.0,14
181,172002.61746801317,171933
182,9.0,9
183,18.290935248083706,18
184,2.0,2
185,293.66666666666663,293
186,74450.2965751684,74454
187,1.0,1
188,17.0,17
189,207266.098672627,207286
190,6.0,6
191,7667.0,7667
192,1.0,1
193,245766.71376676654,245801
194,1.0,1
195,1.0,1
196,551.3333333333334,551
197,29779.0,29779
198,1.0,1
199,353449.4124270853,353513
200,10.333103346164128,9
201,1.0,1
202,296703.72518999904,296825
203,180936.87818035492,181082
204,38.0,38
205,3.0,3
206,41977.13062558356,41979
207,68574.89764421931,68582
208,140789.92837862205,140717
209,344.0,344
210,152476.36054342258,152502
211,41.0,41
212,8336.666666666666,8337
213,3.0,3
214,13.213663986563661,15
215,1.0,1
216,103439.21744449077,103403
217,10.0,10
218,328575.88248192554,328625
219,455.0,455
220,1306.0,1306
221,1.5833333333333333,1
222,71.0,71
223,16.677864269176755,16
224,236983.5339714065,236948
225,38.0,38
226,2.1916666666666664,2
227,1.0,1
228,143973.39401804516,143868
229,32964.0,32964
230,14.0,14
231,89278.24971142554,89309
232,30.0,30
233,22675.0,22676
234,1008.0,1008
235,35956.0,35956
236,22672.0,22672
237,257060.8299738758,257130
238,1.0,1
239,426.50931677018633,386
240,1.0,1
241,4.0,4
242,680.0,680
243,282296.191114149,282297
244,60499.33333333333,60498
245,370102.1305047379,370110
246,28320.0,28320
247,7.0,7
248,3607.8076923076924,3608
249,7.0,7
250,75157.5113661976,75092
251,1.0,1
252,3.0,3
253,21.0,21
254,2376.0,2376
255,91597.03301340202,91594
256,2.0,2
257,1.0,1
258,21756.12993854258,21755
259,1.9473684210526316,1
260,791.2340425531914,791
261,5.0,5
262,355.0,355
263,70747.15271044837,70792
264,37397.0,37397
265,9.0,9
266,3.4375,4
267,140750.69726384996,140676
268,24783.0,24783
269,1.0,1
270,6082.0,6082
271,12.0,12
272,27.0,27
273,1.0,1
274,1.0,1
275,1.0,1
276,3.0,3
277,1.0,1
278,33.0,33
279,69601.47594627595,69606
280,2551.3394812615384,2594
281,4.0,4
282,1.0,1
283,199389.82717340745,199462
284,20.0,20
285,320063.9842032967,320060
286,376144.4166666667,376145
287,15.0,15
288,3.0,3
289,238.0,238
290,1.0,1
291,47442.0,47443
292,24578.651282051283,24577
293,8.0,8
294,114160.52177407837,114236
295,75428.70597349048,75427
296,631.0,631
297,296984.7129954181,297033
298,9312.0,9312
299,250785.84812465534,250851
300,82.0,82
301,1.0,1
302,2.178571428571429,2
303,371133.82648761076,371141
304,100.0,100
305,314037.0732546865,314040
306,1538.0,1538
307,1.0,1
308,52.0,52
309,68567.77222222222,68572
310,14.0,14
311,6163.0,6163
312,7.0,7
313,2.0,2
314,1.0,1
315,120.0,120
316,1.0,1
317,3.772222222222222,3
318,162773.11804597275,162826
319,35994.05555555556,35994
320,14.683357295871069,14
321,135.0,135
322,10.0,10
323,143.0,143
324,287019.2021376636,287171
325,2.0,2
326,1.0588235294117647,1
327,1.0,1
328,4.291666666666666,4
329,37137.0,37137
330,12.062395574200737,8
331,1.0,1
332,11.0,11
333,4.0,4
334,3.0,3
335,17.0,17
336,19.0,19
337,3.705021640763328,5
338,25.0,25
339,4978.0,4978
340,22.0,22
341,1.0,1
342,2.0,2
343,118.0,118
344,11.0,11
345,329515.18454371416,329519
346,15.013230850527778,16
347,23.0,23
348,14.0,14
349,72817.47488988908,72800
350,1.0,1
351,3292.0,3292
352,30233.666666666668,30234
353,23772.666666666668,23773
354,11.426760209687037,8
355,92260.56830706197,92130
356,709.0,709
357,29.0,29
358,2.0666666666666664,2
359,13.0,13
360,3.0,3
361,3044.1458333333335,3045
362,190.0,190
363,40.0,40
364,11.0,11
365,1.1428571428571428,1
366,22097.666666666668,22097
367,5051.270833333334,5051
368,11057.0,11057
369,72414.7180830025,72399
370,179613.28483819385,179744
371,1.0,1
372,191079.3972638891,191139
373,56.0,56
374,17860.0,17860
375,212.0,212
376,247760.36345539044,247767
377,1.0,1
378,3.0,3
379,20.60391716934187,18
380,2.0,2
381,1.0,1
382,320.0,320
383,2.0588235294117645,2
384,165283.35604733872,165397
385,92550.34871794873,92552
386,1.0,1
387,48667.0,48667
388,147549.86195731314,147632
389,183930.88707576372,183874
390,249304.13273644104,249287
391,225532.54138036896,225454
392,17.990261557964665,17
393,17.0,17
394,22390.0,22390
395,347.0,347
396,1.0,1
397,200.0,200
398,1.0,1
399,3.0,3
400,12.020146648407438,11
401,47203.094453044374,47203
402,1.0,1
403,319118.36512208096,319132
404,14.0,14
405,1.0,1
406,320031.8658614554,320040
407,223.0,222
408,11442.0,11442
409,16.521727276953246,16
410,6756.0,6756
411,1.0,1
412,138802.3121634106,138724
413,2356.346262917119,2353
414,14.670401240039693,19
415,222685.43388541386,222569
416,580.0,580
417,129518.492750258,129515
418,1.0,1
419,3.0,3
420,12.049098218458477,9
421,1.0,1
422,1.0,1
423,19.907748882442267,21
424,351201.9784946993,351200
425,1.0,1
426,33393.0,33393
427,2.0,2
428,20499.0,20499
429,21.0,21
430,9622.0,9622
431,133969.86230382862,133852
432,1.0,1
433,6.0,6
434,3.077863577863578,3
435,179.0,179
436,3539.0,3539
437,174070.96430931488,173921
438,39932.0,39932
439,52807.28669075286,52809
440,171768.49582001552,171652
441,211873.10575802843,212000
442,5.0,5
443,11.0,11
444,379882.4342670402,379870
445,73062.23181037504,72974
446,37645.0,37645
447,3.4776466534585238,4
448,3.0,3
449,116310.32479325739,116183
450,7775.0,7775
451,1.0,1
452,303381.9293192695,303503
453,3.0,3
454,9.0,9
455,49076.55980861244,49082
456,18583.258413813288,18583
457,514.0,514
458,696.6842105263158,700
459,16881.0,16881
460,3.0,3
461,1.0,1
462,61940.656752292234,61995
463,1052.3333333333333,1053
464,2.0,2
465,28666.93888888889,28668
466,19.901799331772505,17
467,2662.2619047619046,2679
468,351284.2739999786,351298
469,207.0,207
470,1.4047619047619047,1
471,1.0,1
472,91.0,91
473,59.0,59
474,44916.87406015038,44907
475,24783.0,24783
476,48584.49060887514,48588
477,24.0,24
478,4.0,4
479,62972.99741864917,62974
480,13.0,13
481,1.0,1
482,203404.93544125458,203367
483,1343.0,1343
484,22325.27279568544,22321
485,201578.21747893983,201589
486,25181.0,25181
487,11.38414221642181,10
488,42524.51088734232,42501
489,1.0,1
490,121531.3367550893,121520
491,31.0,31
492,10.637770948258096,11
493,1.0,1
494,333470.19112978526,333466
495,360840.55048226623,360842
496,3.7259056732740943,2
497,2939.6666666666665,2940
498,3.0,3
499,234900.11969602344,234784
