prediction,true
88999,88788
30392,29158
26784,27430
7877,8674
1,1
8427,8999
5770,5262
6,2
11342,12115
27409,28129
10902,11290
5251,5999
43150,42609
39794,40800
53028,54227
67115,65926
8209,8421
2432,2275
25024,25880
57442,56238
1519,1605
104385,104120
52009,51666
4,2
4,4
2,1
11,9
1,1
115021,114448
1,1
2992,2807
1595,1680
11,1
8071,7528
11,3
13070,12700
3897,4093
2,3
44548,43738
70356,69779
1,1
114413,114757
19858,19783
1,2
11499,11221
3,1
657,611
88520,88513
4,1
5649,5343
11919,12240
9496,9594
96107,95588
7745,7804
1,1
147488,146853
8340,8236
821,833
12159,12044
1016,1120
63903,64094
1302,1060
6,1
14,17
2,2
1,1
1054,1091
9,5
40262,39907
3930,4298
5012,5287
17569,16840
13045,13008
118654,118037
2766,2554
295,302
47710,48913
1,1
134614,134552
2639,2626
14985,15584
13,2
19590,20152
11,3
1243,1067
1,1
1,2
4,1
5,4
13,1
45450,43711
1,1
7,4
90633,89946
92014,92705
7208,7248
1,1
28401,29100
1,1
1802,1829
1,1
4,6
6,7
116885,116973
69253,68109
24274,24122
1177,1248
51246,52401
5175,5036
7986,8099
1576,1906
3307,3350
132984,132382
11,1
5035,4704
47068,45418
728,659
1,1
5639,5615
1882,1757
112779,111876
9471,9385
20980,21592
70855,72270
1,4
2227,2210
1995,2060
1586,1594
464,528
29568,30269
29466,28168
819,964
69231,67899
4193,4237
14763,14456
53087,51877
10762,10788
1,2
2,11
9,26
3,7
1,1
61203,61417
44496,44548
1,1
137960,137285
1,1
13,2
1,1
1,1
80943,80789
15629,15354
6205,6234
7612,7785
74845,76170
85290,86303
107768,107431
5030,4799
26901,27761
5393,5549
3,2
5,5
154162,153981
1,1
1,1
3897,4057
54967,55290
3615,3663
2735,2829
86331,86106
34401,33244
31063,30228
9,4
1239,1148
85372,85092
724,818
3595,3737
11,6
67053,65957
4,8
52342,53597
10,2
55018,54257
2,5
84095,83471
13307,13918
9,5
270,385
1,1
115806,115383
14,2
13594,13191
9,15
1,3
13241,13511
1,1
8,2
4,10
14035,14290
622,541
101738,102596
21084,20551
11,1
1634,1797
837,677
38430,37836
92802,91467
1,4
612,673
59303,59958
54882,56124
4,5
55885,55967
666,623
2401,2776
21539,21334
66479,67114
38637,37787
62505,60880
66183,66613
7943,7370
3,2
5835,5551
27945,27893
9753,9683
83533,83745
4679,4840
96710,96339
6,15
4,2
497,483
1958,1839
26887,27632
1596,1636
346,292
1,1
11369,11273
4508,4493
3,2
42350,42090
2,9
1,1
618,604
1,2
13,11
350,419
7119,7101
87821,86659
1,1
13,14
17152,17986
4,1
971,1036
20482,21146
1996,2321
482,378
7091,6732
27159,28679
6,6
6,1
26092,27195
12,1
10,1
14294,14530
7973,8690
10098,10683
9819,10157
1582,1561
88447,87818
87,117
29787,28256
1,1
134051,134326
33046,34362
1271,1293
51702,50820
4,1
1,1
728,723
8845,8985
1384,1433
5,3
97912,96905
32190,31043
86354,85254
48950,50085
4427,4502
31980,31440
9090,9429
2,2
49474,49259
1,1
7714,8147
18607,19139
2,1
44172,44799
1,2
6,3
1312,1138
388,395
1,1
11,13
6,4
226,187
46082,47359
1,1
12,4
14,9
1928,1988
4,1
7079,6769
6,3
61022,61190
1146,1179
1777,1789
6035,6772
1833,1876
3445,3169
6,2
6,18
118034,117512
1,1
10639,9716
2,3
43623,44366
39863,39165
333,340
6406,6342
118998,119382
6,7
32829,31599
3796,4052
1104,1192
4283,4355
9,5
2,1
88666,89792
1111,1356
7,13
124199,124791
134962,134787
8,24
190,184
18342,18857
1,1
1,1
52586,53707
6,21
107230,106280
9,1
2682,2604
29018,27612
68756,68079
646,650
1445,1397
6149,6151
9385,9514
2,3
69217,68409
3319,3500
1,1
3228,2886
10,8
11,11
5,2
37,24
6,4
916,1009
79257,78827
1,1
4,14
10,3
183,139
6122,6132
2,1
35532,34002
10,5
7,3
81377,81662
2,1
59579,59475
2,5
1832,1479
2,2
1059,1166
7570,7476
1,1
1,1
2528,2487
14,28
15704,15213
42880,43695
6,1
2454,2297
15895,15514
2045,2156
19350,18693
8,4
24119,23423
6,6
8136,8259
111727,111905
95418,95252
12978,13310
68710,68849
316,382
6396,6018
47094,48240
319,389
3096,2805
359,490
4,2
39622,39219
1,2
18775,18482
11257,12013
1284,1171
129311,128693
67309,68017
73159,73887
10,5
36872,36330
2876,3372
1,1
13,23
9,1
1238,1314
1,2
8211,7739
38227,37417
1,1
17564,17114
2156,2474
79923,78586
16355,16862
28304,28867
632,590
1,1
24113,23276
14,27
4,4
4292,4639
8942,9205
3,5
60259,60571
116171,115674
9,1
4,5
112873,112423
1859,1911
10053,9433
1,1
1,3
1,1
4,8
9,12
648,819
1,3
11497,11677
35830,35251
50792,49990
82772,83635
5943,5566
17320,16840
36180,36782
1106,995
1559,1633
75249,74968
638,677
66868,67386
42360,42141
5533,5577
109057,108181
1179,1209
3547,3705
4276,3900
13708,13831
1242,1461
1,1
9,1
1740,1808
48269,48873
3639,3685
94405,93962
73468,72650
43068,42286
8920,9328
2,2
2083,2181
2,1
8,4
23388,23429
1512,1487
481,356
3,9
8629,7972
1,1
34917,35307
6613,6116
405,380
