prediction,true
59733,50873
30165,25393
20,1
237336,232115
60,86
3,3
17950,14854
68,90
3,10
91468,87476
116,98
51,41
3,3
11,5
95383,93799
3,7
70,93
164764,162187
44650,47457
138121,125976
542,1121
309781,306901
20,3
3,9
317839,315358
19,19
162200,158009
56190,53477
101245,104688
21176,19390
14,1
20,3
13972,11549
3,15
672,244
47852,49863
16524,10445
12673,8257
39579,42904
36054,39508
158191,163826
30088,25106
162043,165079
3,2
6154,3862
59662,64430
51,41
13979,9940
48217,50134
118,105
30232,33555
3,1
60579,55765
155778,149979
62009,64358
20,19
163988,160930
11,10
3,1
3,9
4,2
9,8
14023,10188
28130,22477
49289,46452
109,50
20,2
4,5
19,18
23552,28208
391,272
67741,67432
2076,1362
4659,6662
1630,3744
163970,160909
32,39
6625,6709
86838,93137
60916,65667
4,1
69442,68421
40771,33928
93840,90184
95321,93766
93730,90027
55,62
40553,43995
35793,38962
20922,26483
68973,68130
48,52
2076,1362
330738,328898
5,4
179955,196747
34829,29148
5236,2960
9180,6241
449,327
55,66
701,1486
69357,68356
68981,68143
1188,694
3,4
11,2
11,13
11,1
14,2
30372,22639
14,1
20,7
72604,73858
63,57
135,121
11,9
24968,29940
9,1
9177,6216
14,5
4,15
127,117
145327,160221
52263,52325
68359,67825
30394,30661
3,4
3584,7821
14059,10404
21884,17902
3,1
69441,68420
165975,160183
3,7
155446,162375
44695,38014
18,4
21845,17769
335963,335814
35832,39152
118650,124776
75212,69366
163970,160909
5238,2984
11,11
3,1
14,3
8635,5588
69474,68461
70816,64572
164606,161972
30353,33968
1379,1033
32495,39132
173975,180599
48399,50315
14,14
12162,17098
190,169
30206,33440
14,23
45248,48013
945,1416
52,60
122427,124776
69377,68375
19,9
55705,60313
14,7
2697,2044
11,3
20,10
164759,162184
159770,176689
68977,68135
14,18
68968,68126
90441,91904
67,44
20922,26483
52336,52445
19,2
3,1
123956,126254
9317,10081
55725,60342
20,7
3,2
3,11
46467,41769
3,8
152945,158922
57857,61506
15500,12497
163,219
4,3
49488,55121
45427,37777
442,384
3,1
252987,247186
19,2
13972,11549
3,1
3,4
528,354
2185,1227
39573,42874
14,20
44467,47136
69,45
3,4
18368,24060
184219,190668
631,221
171824,178529
21963,18194
19016,12322
2709,4313
20,3
14,19
315494,313200
17832,14295
190,169
121,134
308409,305808
47847,49841
54078,43070
3,7
11736,4922
8370,5199
20,8
231922,240392
19,4
163961,160902
50211,47437
192671,202059
20,7
5419,3168
14,2
11,12
94700,92332
52337,52446
65,59
1629,1732
48399,50310
298959,295243
53818,57183
238543,248178
5,2
121953,122942
69439,68418
4,1
11,7
67099,64437
830,2095
69369,68363
69102,68205
19,23
261643,267124
808,737
298387,301684
14,3
15,19
98,75
1964,3439
11,10
163970,160909
48,49
350996,353124
11,4
63598,63585
146917,150289
50,53
23275,15865
6154,3864
48220,50151
13006,8990
20,4
19,7
106990,101007
185,253
97452,104113
52701,52764
163979,160922
24399,30703
8378,5236
59998,57267
3,2
7741,4262
3,1
51391,56756
4,1
14,3
35462,31692
126,111
331,107
68263,61486
68313,67800
3,7
95236,93608
18,4
1631,950
69361,68359
20,6
3776,3136
3,6
5,9
4,3
199202,203453
95321,93766
20,12
3,4
4,4
20,1
4661,5483
311324,316438
40751,33889
163676,160467
69098,68199
3,4
3,8
16030,20871
19016,12322
69469,68454
4,8
69102,68205
3,1
86085,75453
86395,92794
165267,159268
9,4
23287,36345
3,11
69197,68366
69369,68363
10084,5777
41450,36122
506,476
19,13
14,4
106528,103156
63,57
4,15
42005,36635
156785,162670
4,2
116380,124422
20,15
95237,93610
58331,61890
1689,991
20,1
11,8
69113,68210
231008,239475
59810,63055
273,265
69365,68360
3,4
322843,327996
155567,147970
11,2
14193,20443
79910,71016
269610,264308
16109,22002
95326,93769
60344,58399
14,4
67868,67530
43293,49741
11685,6974
170373,177627
60131,57371
45876,48516
11,12
808,737
146541,149687
11,16
48879,41997
40631,44322
2889,4507
242777,247468
218982,228401
23422,27688
49074,45979
3,1
1188,694
93023,88440
59089,49845
16104,21211
13842,24696
7510,4122
223093,232135
9095,5208
14,12
296448,292661
44448,47009
30287,33769
53818,57183
17866,14426
8628,5546
284123,279806
3,1
282,325
3,10
40136,42627
3,4
45427,37777
69442,68421
9001,9466
4105,6301
1379,1030
3,9
163666,160445
20,3
135314,147606
198406,202990
1561,3634
47484,49450
46426,52615
4,1
3,9
248042,246165
20,1
12102,16931
164568,161918
312372,309468
1567,3650
147376,152992
15530,12616
37,17
34479,24944
173656,181701
347663,348284
20,2
19,2
24872,29534
50658,56158
9,1
69439,68418
10871,6318
62392,50592
14,5
124682,118746
30226,33536
13972,11549
33322,29633
17648,7682
2849,4575
6147,3822
69,45
58332,56267
179914,196693
3,5
14,3
69442,68421
69439,68418
52,60
41270,47573
69472,68457
209811,213366
4,3
2709,4313
3,14
1223,1831
52285,52384
16524,10445
11,12
7094,11404
5,15
40866,44205
14,1
23425,19834
20,9
23309,19423
3,8
40910,44729
47484,49450
528,354
8084,5029
56680,53768
34009,19969
274913,280637
11,1
11,12
68985,68149
866,1324
13,15
11811,5086
12688,8377
3,2
19,2
20,12
11,1
90678,86186
2611,2102
30599,37223
