prediction,true
33998.1198,34710
21553.273200000003,22451
2268.7655999999997,2143
1,10
24506.0049,24143
1417.9785000000002,1351
15831.312899999999,15474
33314.153699999995,33998
1,5
16.682100000000002,5
33.364200000000004,19
4404.0744,4980
41855.388900000005,41096
34298.397600000004,35038
33147.3327,33809
25890.6192,25650
14113.0566,13993
21503.226899999998,22404
50.046299999999995,44
20202.0231,21004
109568.03280000002,109230
51831.2847,52442
28109.3385,27957
2001.852,1900
1,1
266.91360000000003,258
35366.051999999996,35919
13479.1368,13335
16.682100000000002,2
37184.4009,36456
18266.8995,17905
1,1
1,1
1,13
18600.5415,18296
1,6
1,1
116.7747,93
111503.15639999999,111410
9775.7106,9598
5488.4109,5368
3686.7441000000003,3511
33.364200000000004,9
24973.1037,24899
1,1
3169.5989999999997,2968
26808.134700000002,26477
1,2
31495.804799999998,31149
1,5
1,21
21586.6374,21542
1,5
33.364200000000004,3
16.682100000000002,4
1,6
16.682100000000002,15
49429.0623,50040
25740.4803,25356
1050.9723,1208
18617.2236,19456
6155.6949,5888
32880.4191,32234
62457.782400000004,62783
73117.6443,73657
3269.6916,3016
1,3
10126.0347,10939
78522.6447,79046
7590.3555,7504
1,11
16.682100000000002,17
39653.3517,39577
128418.8058,127948
884.1513,953
20635.757700000002,21483
14563.4733,13874
9291.9297,9042
109968.4032,109882
33.364200000000004,30
115707.0456,115354
1,2
26274.3075,25955
1,2
16.682100000000002,22
16.682100000000002,1
37084.3083,37576
3353.1021,3105
50.046299999999995,44
16.682100000000002,10
31262.255400000002,31956
1,1
4504.167,4480
1,2
19134.3687,19960
18033.3501,17662
6155.6949,6014
55251.1152,55599
3620.0157,4052
1,14
1,8
16.682100000000002,2
125165.79629999999,124739
101026.7976,100608
1,2
24656.143799999998,25566
1,1
16.682100000000002,22
127401.1977,127049
88465.17629999999,88699
14063.0103,14742
101076.84389999999,100685
80374.3578,81008
27275.233500000002,27937
1,1
76370.6538,75361
118359.4995,118173
1,2
109701.4896,109352
1,6
23822.038800000002,23505
1,1
417.0525,426
126383.5896,125931
115556.90669999999,115196
16.682100000000002,13
1801.6668000000002,1662
1,3
16.682100000000002,3
19184.415,20025
1,11
15647.809799999999,16285
1,3
28709.8941,28722
33.364200000000004,9
28092.6564,27948
133.45680000000002,95
9375.3402,10230
600.5556,593
1618.1637,1570
25356.791999999998,26161
35165.866799999996,35354
9075.062399999999,8904
29427.2244,29330
1,2
21486.5448,22377
55384.572,55804
1,1
16.682100000000002,4
80808.0924,81675
7323.4419,7986
25974.0297,25811
16.682100000000002,16
121112.046,120581
41972.1636,41173
12211.2972,11927
49128.784499999994,47683
23805.3567,23569
