prediction,true
42.5833,4
1,49
18097.9025,17012
510.99959999999993,333
1,4
212.9165,71
42.5833,6
44797.6316,44211
851.666,1119
21887.8162,21723
13754.405900000002,14544
1,1
275812.03410000005,274898
1,2
723.9160999999999,527
60936.702300000004,63633
329211.4923,329267
2171.7483,2364
1,13
170.3332,141
217472.9131,216785
1,4
14818.988399999998,15439
89680.4298,88949
1,2
1,6
1,5
1,6
1,23
227437.4053,226021
213640.4161,210869
15457.7379,14577
1703.332,1611
31809.7251,31249
596.1662,767
42.5833,168
67153.8641,65840
2001.4151000000002,1876
1,1
1,5
1,1
851.666,1136
766.4993999999999,646
2001.4151000000002,1879
62554.8677,61804
1,26
1,5
31341.3088,30951
1,5
403945.1838,404946
1,1
1,7
1,1
1,1
42.5833,11
1,1
85.1666,58
1703.332,1805
1,1
108502.24840000001,110771
1,3
298.0831,314
1,1
851.666,1022
1,1
29382.477000000003,31251
41220.634399999995,43217
340.6664,230
1,5
1,1
1,1
851.666,1119
349821.80950000003,349068
20227.0675,19302
1831.0819,2339
1,3
1,2
14307.9888,13532
1,6
59744.369900000005,61878
19630.9013,18638
62299.367900000005,62535
49013.3783,50042
42.5833,45
66302.19810000001,68247
392958.6924,393059
9027.6596,9048
121319.8217,123369
120212.6559,119426
41050.3012,41666
66685.4478,68484
1916.2485,1800
1,1
64854.3659,66329
70475.3615,73012
1,2
9496.0759,9965
1,1
1,1
1,8
114250.99389999999,116336
180382.8588,179886
42200.050299999995,41068
4684.163,4793
1,14
222497.7425,225163
5408.0791,5673
1,5
192263.5995,191694
1,3
1,1
212.9165,414
1,1
127.74989999999998,90
9155.4095,9169
510.99959999999993,417
85464.6831,85175
36962.3044,38582
1,16
1,3
1,53
271724.0373,270494
85.1666,94
1,1
4726.7463,4951
42.5833,16
16309.403900000001,15316
1,3
1,3
365492.4639,365036
1,8
45564.131,47166
16309.403900000001,15401
42.5833,14
42.5833,1
378139.704,376681
41305.801,42778
42.5833,33
170.3332,84
1,45
61618.0351,64066
4726.7463,4965
277174.6997,275552
468.41630000000004,385
1,3
349055.3101,346908
99985.58840000001,99116
1362.6656,1693
425.833,593
95429.1753,97053
334576.98809999996,333088
46756.4634,48537
1660.7486999999999,1743
251709.88629999998,249330
2171.7483,2393
18481.1522,17313
170844.1996,172932
1958.8318,1840
1,4
1,12
353441.38999999996,352943
1,1
1,5
1,3
1,2
205890.2555,204879
81845.1026,80899
1,2
1,13
383.24969999999996,504
1,24
6430.0783,6806
1,3
1,1
1,1
2043.9983999999997,2354
1,1
246046.3074,246650
1,2
42.5833,5
212.9165,119
98708.0894,100906
37515.8873,39147
1,4
314860.9202,312770
510.99959999999993,417
1,1
1,7
638.7495,623
1,14
1,1
70177.2784,69753
19886.4011,19084
42.5833,6
29765.726700000003,30553
7877.9105,7908
255.49979999999996,301
1,8
124726.48569999999,124595
16479.7371,15436
29169.560500000003,28825
1,6
851.666,1137
307238.5095,304676
1,2
42.5833,45
169396.3674,169316
1,7
42.5833,13
20269.650800000003,19351
223945.57470000003,222568
1660.7486999999999,1539
43222.0495,44585
58168.7878,58620
9836.7423,10661
1,1
1,1
851.666,1136
42.5833,13
1,2
383.24969999999996,233
18438.5689,17291
59701.7866,61789
85.1666,54
356720.3041,355781
66515.1146,68210
50631.5437,50232
7537.2441,7928
638.7495,726
95471.7586,94513
42.5833,6
324825.41240000003,322837
42.5833,159
55784.123,56954
723.9160999999999,1050
21249.0667,22883
85.1666,151
114208.4106,114478
151724.2979,152068
298.0831,192
1447.8321999999998,1553
1,6
16309.403900000001,15400
6089.4119,6010
1,2
255.49979999999996,160
1,1
1,3
170.3332,258
851.666,1130
1,10
62256.7846,61544
1,2
233356.48400000003,231925
1,6
20865.817,19908
42.5833,14
31511.642,33339
851.666,1042
23931.8146,24887
129027.39899999999,130051
16181.654,15939
255.49979999999996,142
1703.332,2154
359190.13550000003,358567
66515.1146,68346
1,3
42.5833,20
298.0831,304
3917.6636,4115
1,7
1,4
85.1666,56
18438.5689,17288
27168.145399999998,27972
104542.0015,105338
127281.4837,125832
11795.5741,12883
1107.1658,843
255.49979999999996,278
139034.4745,140202
1,1
111908.91239999999,112947
64896.9492,66560
1,5
108161.582,110329
181617.7745,183345
16479.7371,15436
2001.4151000000002,1851
1,2
42.5833,6
1,3
809.0827,1108
42.5833,58
5578.4123,5472
851.666,1139
9836.7423,10234
18097.9025,17012
1660.7486999999999,1637
66515.1146,68208
1,6
20269.650800000003,19338
8857.3264,9386
70262.445,72710
425.833,370
1,2
2427.2481000000002,2185
276365.617,274891
62256.7846,61550
297699.85030000005,298861
1,6
1,3
14350.572100000001,15445
298.0831,314
638.7495,500
1192.3324,1043
1149.7491,820
127.74989999999998,86
1,1
2001.4151000000002,1873
127.74989999999998,85
85.1666,101
851.666,866
4087.9967999999994,4342
2001.4151000000002,1861
32363.308,31327
1745.9153000000001,1582
1,1
4343.4966,4003
638.7495,803
1,19
97771.2568,96935
42.5833,17
236379.89830000003,238312
1,17
415144.5917,413994
1,12
1234.9157,1171
20823.2337,21709
359445.63529999997,358490
1,1
18523.7355,17320
19460.5681,18449
894.2493,738
1,25
42.5833,6
79417.8545,78411
18481.1522,17306
1,6
1,1
1,1
1,1
49141.1282,50073
1,1
1,1
25038.9804,25256
1,1
96280.8413,96263
127281.4837,126088
1,49
1,3
1,5
809.0827,981
127.74989999999998,103
182810.1069,184619
18395.9856,17364
1,2
1,4
185961.27109999998,185761
1,1
298.0831,314
553.5829,710
1660.7486999999999,1794
1,8
42.5833,168
1,3
99985.58840000001,99114
298.0831,179
9410.909300000001,10036
42.5833,41
42.5833,52
1,1
1021.9991999999999,1036
97217.6739,98757
36280.9716,35383
298.0831,292
319289.5834,318298
723.9160999999999,716
66302.19810000001,68225
152363.0474,151107
42.5833,12
1,1
10007.0755,10309
79375.2712,78329
1,1
1,1
6642.9947999999995,6963
42.5833,12
236124.3985,237968
1,1
61618.0351,64000
1,4
1,1
510.99959999999993,416
1,2
18481.1522,17304
1,20
1,3
851.666,1119
187920.1029,185641
42.5833,37
1,6
1,1
35812.5553,34752
1,1
1,3
18481.1522,17313
10007.0755,10301
255.49979999999996,99
1021.9991999999999,1036
4258.33,3898
1,7
61660.61840000001,64089
1,1
1,8
1,5
265847.5419,265043
4471.2465,4380
45010.5481,44402
1,2
37302.970799999996,39141
1,10
12987.9065,13761
4684.163,4793
1,1
1,1
1,44
59701.7866,61836
1,2
18268.2357,17238
510.99959999999993,406
1,3
5620.9956,5606
42.5833,18
45393.7978,44365
118338.9907,118024
58466.8709,57922
36919.7211,38561
291865.9382,290480
102285.0866,103375
1,6
18694.0687,18854
9155.4095,9170
45564.131,47225
1,1
1490.4155,1467
723.9160999999999,1050
31213.5589,33200
1,4
553.5829,697
3875.0803,4084
1,1
1,1
1,10
851.666,1130
1,10
1831.0819,1740
109396.4977,109173
127.74989999999998,263
298.0831,337
1,4
10518.0751,11549
1,4
2086.5816999999997,1808
1,2
85.1666,71
1703.332,1567
4343.4966,4053
1,5
1,14
2469.8314,2041
99133.9224,101266
212.9165,133
1,2
81376.6863,80452
2001.4151000000002,1868
107309.916,106818
253711.3014,251371
383292.2833,383408
1107.1658,1092
638.7495,726
267082.45759999997,267299
851.666,1087
596.1662,699
2001.4151000000002,1862
1,12
24315.0643,24340
851.666,1128
1,2
1916.2485,1827
