pred,true
619.5076423818685,332
29.384248835093192,29
55.25006356470887,55
72826.0,67202
27.996759259259253,26
11.568040560570765,11
1599.1556252875946,918
1.0,1
1.0,1
102253.78333333327,112191
6.612345914033221,7
118.66124366470784,49
3.9424408407774036,2
244.53055649759605,641
20.406190476190478,8
20374.442462715448,25550
6.506554043839759,10
33.90238095238095,25
85.39706349206351,71
9.199947518157092,8
1.316786936017199,14
5.375521645021645,1
28937.35684491896,26079
9.057280245720222,8
2.0468573101698224,1
21236.80689033188,21748
9.399712475633528,2
14363.041005291014,11534
848.4809178484827,910
1.0,2
33423.74523809525,33503
1.0,1
3.1657326982348,3
1.0,1
22.845238095238095,80
1249.549535460794,1287
1.0,1
1.0,1
172.8974967917788,176
1.0,1
89.56438472677033,154
3800.2802380952394,2465
1.0,1
64773.91666666671,73453
268.79526339387996,100
1054.6742857142858,1112
1183.976018518518,1033
23.541660645727966,12
1557.6577322007204,1125
3437.324868744905,1439
1.0,1
1.937932664399528,2
205.5341311134191,71
1.0,1
35.08428867543419,30
63472.14867544114,66594
27159.466878086667,29742
1.0,3
3487.871672410695,4271
689.0445804988663,548
1.0,1
1.0,1
94.76133394682861,45
30653.690363988717,26178
1.0,1
11390.77406204906,11270
10899.02406719323,11390
8.468605075981237,1
6.042482849387147,6
39454.50000000001,32351
1.0,1
3.6502990996687252,4
17.59937657803135,3
23.904702719030446,20
36404.21171356417,32130
37594.0,37594
119257.6745159933,135858
390.08208890535735,182
31918.26718285913,33688
1.7624746429094253,1
4.364029599228934,3
176.6938545014529,145
2.464,1
1.0,1
13.332647707231038,8
2374.9329610733207,789
93995.0,99619
438.5,454
97557.11666666661,86145
72.0,72
14.574505984002196,60
1.0,1
1282.7666666666667,1334
42.84665793133177,25
2861.644140987624,3166
110.43139831163984,80
3.5793563640409434,2
8.0,9
1.0,1
36.94034780578898,20
129227.0,129227
22.25364489407187,21
32.51944444444444,61
1.0,1
111643.57935609727,117383
62.26017596600928,68
1.0,1
85780.82479932204,85773
2.939317210081828,1
1.0,1
1.380952380952381,1
88.10453149001535,69
1.3703703703703702,1
37594.0,37594
1.0,1
4180.658026838002,4602
2.222380952380952,2
184.49722222222223,220
5.426757369614513,5
1.0,1
1.0,1
7.056834787785703,10
1.0,1
1.0,1
572.1666666666669,469
9978.905036748722,9500
1.7590809543190498,1
1.0,1
172.45737252950292,121
93995.0,99619
2232.666666666667,2261
4666.880857898714,5511
669.4665123152294,879
1.0804232804232803,1
1.0,1
2398.2345985166035,3155
1.0,1
40406.41411375822,40300
115890.00000000033,125302
1.5,1
1.8955128205128204,1
13.113397021235958,4
1.0,1
1.0,1
1.0,2
2.71926679429965,1
5.968112642717905,1
9291.967188586661,7565
2.183333333333333,1
8.866970042077037,9
2.225,1
195.32797619047625,106
3054.7868865525616,2558
11.850258075258074,12
25.42386740783965,37
153.96904467443943,136
1.25,1
365.5308406710774,747
32339.533333333307,30910
127912.06904761912,130632
18982.0,19011
253.8817170506286,131
7.121979713804051,10
2.0227891156462587,2
6.325930782180784,5
3.54437944932696,2
13441.707142857169,5865
1196.5467296691659,1070
56128.0000000002,56059
1.0,1
8009.613358390228,7841
1.0,1
94019.06746031744,93944
22.131074263038546,10
55.06872204134691,96
130.93700151720017,108
1.0,1
1.0,1
5826.531594081084,5119
73421.60158730157,73495
83.32609171475522,114
1.0,1
50.14153050108931,40
215.9359477124183,219
1.0,1
1.0,1
74.0512866156509,14
78.11323767127838,17
1.0,1
14.284138059161826,4
6558.385781282218,3302
1.0,1
874.8135010471032,694
6.07523148148148,1
45146.49844021957,43685
1.6923076923076923,2
1.0666666666666667,1
4.810559373791604,6
1.0,1
60851.51666666669,58451
1.0,1
1.0,1
6.0157480004229225,2
2.0673400673400675,2
93995.0,99619
38.39238739201974,3
30536.91746031751,30223
26.72250546894421,11
909.3142460317453,343
1.0,1
1.0,1
2.001823704481793,3
1.0,1
1.0,1
1.0,1
1.0,1
2.7084913953902174,5
95.64169672919668,19
1.4052447294707358,1
9358.537326631204,10198
142.13214285714287,143
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
19375.39696273488,17927
9.065104934116757,4
1.0,1
