pred,true
1.0,1
1.0,1
1.0,1
2.376369986850756,1
1.0,1
68.0,68
6.0,6
32.5,32
1.0,1
2.375,2
27.00362068965517,16
12961.717857142863,12795
1.0,1
20.416666666666664,5
10.0,10
271744.0,271689
2103.0,2103
202898.83333333334,250927
15340.666666666666,15343
1.25,1
1.0,1
1.0,1
13488.5,13489
5.933333333333334,4
1.3858267716535433,1
2.2857142857142856,2
146.0,146
12814.5,12349
47853.0,47853
1.0,1
10.25,13
1.0,1
1.0,1
194822.57380952372,194691
4914.913998776883,4819
20.5,20
1.0,1
1.0,1
1.0,1
1.0,1
354035.40119047614,354185
450.25,449
4.0,4
1.0,1
3.5,3
1.0,1
1.0,1
302.897619047619,318
9.25,12
1.0,1
2.0,2
699.8333333333334,695
1.0,1
3.0,3
445.0,445
1.0,1
36.0,36
3.0,3
2.6073727422003286,1
1.0,1
4.0,4
2.0,2
1.0,1
2.0,2
1129.1083333333336,711
27.905555555555555,17
34.916666666666664,35
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
12.0,11
1.0,1
1.0,1
84338.59252545738,31142
5.0,5
524.25,519
35.0,35
1.0,1
1.0,1
11.0,11
1.0,1
2.0,2
3.25,3
24423.0,24423
1.0,1
1.0,1
164.0,164
1.0,1
391275.0,391275
1.0,1
1.0,1
235.75,260
1.0,1
3.5,4
34134.5,34128
4.0,4
541.295238095238,531
1.0,1
2.5,3
1.0,1
1.0,1
1.0,1
6.747619047619048,4
11.104910714285715,9
8.833333333333332,6
427.0,427
1.0,1
7.233333333333333,8
8.0,8
1.0,1
1.0,1
1.0,1
4.0,4
111.0,111
255.16666666666666,262
681.0,681
108032.0,108032
1.0,1
584.4166666666667,575
1.0,1
58.0,58
3.0,3
1.0,1
155.25,156
94.95277777777777,97
1.0,1
157.48558108558106,378
2.0,2
1.0,1
3.0,3
1.0,1
2226.030323871532,470
210.0,210
1.0,1
1.0,1
1296.0,1296
2.0,2
1.0,1
405669.1149990435,418119
2.0,1
1.0,1
516.6034391534391,478
1.0,1
912.0,912
1.0,1
125951.41666666669,127020
110.68383458646616,114
1.0,1
53.0,53
1.0,1
292.1666666666667,287
1.375,1
3159.0,3159
1.0,1
70.5,76
20228.0,20173
6.333333333333333,5
2.0,2
7212.111282788064,10506
1.0,1
200963.4142857142,201367
267269.0,267269
1.0,1
354.0,354
9.333333333333332,8
738.0,738
2359.2569444444443,2388
1.0,1
1.0,1
2.0,2
152.10416666666666,76
1.0,1
92.16358974358974,80
2.0,2
301314.131746032,301589
1.0,1
6189.166666666667,6163
137111.5,135206
34673.333333333336,34680
1571.488888888889,1564
415033.8333333333,415036
1.0,1
128.9,139
1.0,1
186314.0,183697
2.0,3
28.005,28
74.5,75
884.4368580716861,1045
348680.0,348680
2.0,2
14.0,14
1.0,1
3.4583333333333335,2
119831.8888888889,119831
25.0,25
5.75,7
1.0,1
2.0,3
2.0,3
7336.0,7336
60.5,60
9.0,9
10.934490509490509,10
3.0,3
1.0,1
1035.2289955558117,1556
1.5,1
1.0,1
1.0,1
12898.0,12898
4.0,4
3.0,3
130043.0,130098
422597.0,422597
1.625,1
1.0,1
2751.0591269841266,2745
1.0,1
1.0,1
1480.0,1480
289735.0,289735
225.0,225
118.33333333333333,118
1.0,1
204.0,204
66.75,62
2.5,3
1.0,1
17.0,18
92776.58333333339,179498
29.0,29
6.0,6
2.111111111111111,1
301.4166666666667,294
20.4,29
3.0,3
16167.5,15092
1.0,1
1.0,1
1.0,1
78.44404761904761,81
333.0,334
800.0,800
1.0,1
3.0,3
309.32499999999993,283
1.0,1
10.5,11
34.4,14
1.0,1
305407.0,305407
1.075,3
1.5277777777777777,2
11482.5,11482
25.583333333333332,7
2298.0,2298
9190.0,9173
1.0,1
1.0,1
307.0,307
9.0,9
1.0,1
1.9358766233766234,1
1.0,1
5103.0,5103
8.0,8
1.0,1
12960.287179461688,9870
13.0,13
1.0,1
42.83333333333333,44
2.0,2
2.0,2
1.0,1
2.0,2
107.0,107
8.0,8
1.0,1
1.5,1
1.0,1
17.342592592592595,14
31361.0,31361
16737.0,16737
1.0,1
1970.0,1970
1.0,1
1.0,1
448.3583333333334,450
2.5,5
9.0,9
1.0,1
2.0,2
76.0,76
1.0,1
2.0,2
2.0,2
1.0,1
603.0000000000001,575
1.0,1
3.0,3
3.0,3
14.666666666666664,11
126317.8174603175,126300
423.5,421
1.0,1
1.0,1
44913.0,44913
1.0,1
1.0,1
10.921789321789321,6
68.76223776223776,80
13.0,13
2.0,2
48.0,48
1353.8555555555556,1377
1.0,1
2.0,2
1.0,1
2.0,2
3.0,3
2610.0629629629634,1574
50.0,50
1.0,1
5.5,4
1.0,1
4.333333333333333,1
2.75,2
27.5,1
1.0,1
4.0,4
1184.0,1184
5.0,5
4.0,4
1.0,1
1.0,1
201.82142857142858,211
1.0,1
1.0,1
13.0,13
1.0,1
1.75,1
2.0,2
25799.0,25817
4.0,4
10133.0,10133
2.0,2
1.0,1
33670.41666666667,33682
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
14210.977380952383,17432
136.33333333333331,135
1.0,1
1.0,1
1.0,1
363042.2777777777,363152
3.0,3
20.874999999999996,27
4.041666666666666,4
1.0,1
2.0,2
1.5,1
1.0,1
2.0,2
1.0,1
371.0,349
1.0,1
1.0,1
14207.078571428574,14192
28.0,28
178050.18333333335,177234
110.0,110
2177.0,2175
2103.0,2103
104.5,103
4.0,4
312598.8333333334,312630
204.76833333333335,213
2.333333333333333,3
2056.833333333333,2040
81.5,80
1.32,2
1.0,1
46.0,46
613.0,616
2.0,2
53040.0,53040
425826.6333333333,425827
3.0,3
2.0,2
1.0,1
32788.0,32788
33209.0,33209
122482.0,122482
1.0,1
1.0,1
383090.9166666667,383087
20.0,20
1.0,1
1.0,1
1.0,1
38.58589743589744,31
1.0,1
322781.1761904762,322969
1.0,1
4100.25,4111
1.0,1
2.333333333333333,3
1.0,1
32.0,32
112.5,138
1.0,1
2.0,2
160.40670319979844,89
1.0,1
1.0,1
1.0,1
1373.0142857142855,1380
390826.16666666674,390819
1.0,1
369917.9166666667,369923
405564.5,405620
228279.0,228279
2.0,2
2.0,2
1.7166666666666668,3
1.0,1
395048.0,395048
18.0,18
20.0,27
131.77777777777777,135
1.0,1
1.0,1
1.0,1
1.0,1
4003.0,4004
15.048496240601505,12
16.909523809523808,1
9999.0,9999
1.0,1
1.6666666666666665,2
1.0,1
1.0,1
1.875,1
2.0,2
3196.0,3196
266.0,266
11.5,12
1.0,1
387507.0,387507
1.0,1
22566.0,22566
3.0,3
2520.0,2519
324339.26666666666,324341
4.0,4
6679.279512471655,6759
388.0,392
1.0,2
1.2,1
612.7464285714285,598
64.0,64
1.0,1
1.0,1
7.964285714285714,9
2886.0,2886
9.0,3
1.0,1
576.8354497354496,602
1.0,1
422877.5,422877
1.0,1
187.91666666666663,193
1.3125,1
1.0,1
3.0,3
14.716666666666665,17
3.5,3
104.0,104
114.17948717948715,11
1.0,1
3.0,3
1.0,1
293.0,293
1063.6,1049
1.0,1
1.0,1
1.0,1
1.0,3
80.0,73
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0416666666666665,2
93.83333333333333,95
1769.0277777777778,1770
1.5,2
9.0,9
2.0,2
121.625,178
1.0,1
16.578174603174602,1
384.5,367
1.0,1
5.5,6
24.0,24
3.0,3
103160.16666666644,68457
291905.0,291905
7.6,3
189498.24999999983,143002
1.0,1
20.67857142857143,16
9801.33333333333,9797
1.0,1
2.1666666666666665,1
2407.5275754953636,1026
1.0,1
10.5,12
60.0875,60
7.333333333333333,7
46.5,52
1.0,1
2.0625,1
20.291666666666664,23
388769.0,388751
1.0,1
1.0,1
19.25,21
187130.3027777778,187239
46611.0,46611
3155.0,3155
2.3131410256410256,2
11.0,11
4288.0,4288
1.0,1
1.0,1
1.0,1
1581.1666666666667,1588
423990.0,423990
1.0,1
1.0,1
118.0,118
292502.5,292502
1.0,1
153.0,153
3.0,3
6.0,6
51760.916666666664,51755
1.0,1
1.0,1
1.0,1
3155.0,3155
137.3619305555556,1
1.0,1
1.0,1
1.0,1
1.7194444444444446,1
7.0,7
13.5,9
389.6666666666667,390
1.0,1
11.0,11
1.0,3
23.816666666666663,24
15746.093547687478,11671
1.0,1
3315.75,3328
1.0,1
1.0,1
38432.553571428565,38406
3.5,1
28.249999999999996,7
2.0,2
1.0,1
1.0,1
434.8738095238095,533
3.0,3
270.0,270
1.0,1
7.010416666666667,8
242587.0,242587
1.0,1
1.0,1
34152.0,34542
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
6.333333333333333,5
3.0,2
1341.0,1341
2801.5,2746
3.75,9
2.0,2
1.6,1
69.0,69
130142.66666666667,130140
1.0,1
1.0,1
5415.141666666667,5375
1.0,1
1.0,1
1.0,1
1.0,4
7.0,7
3.4000000000000004,4
1.5,1
3117.416666666667,3131
3.0,3
63424.0,63424
2.0,2
3.0,2
1.0,1
4.0,4
1.5,1
126.81666666666666,9
1.0,1
3.0,3
38.0,38
221.0,221
57304.93055555557,56976
1.0,1
1.0,1
3651.708125643558,787
1.0,1
1.8333333333333333,1
2.0867768595041323,1
1.0,1
194.5,193
7.9375,6
1.0,1
4.416028911564626,2
2610.0,2610
152.16666666666669,153
1.0,1
2.25,1
94.0,93
1.0,2
1.0,1
4.333333333333333,4
1.0,2
1.0,1
1.0,1
2.0,2
1.0277777777777777,1
33.0,33
203.75056554556548,201
1.0,1
4.7756944444444445,1
6.0,6
9.0,9
1.0,1
506.3333333333333,506
9.0,8
1.0,1
1.0,1
1.0,1
36454.5,36456
1.0,1
17334.955143143357,11345
168.0,168
4.423076923076923,6
1.0,1
1.8,1
12.666666666666668,15
2.0,2
40.608837873493044,32
1.0,1
19.75,17
2.0,2
225.0,225
1.0,1
13.0,13
7.0,7
4.0,4
3.583333333333333,1
1.5,2
1.0,1
397.0,397
1.2999999999999998,2
1.0,1
3623.8254051504055,4467
1.0,1
69.0,69
1.0,1
698.5,767
1.0,1
56.61832792207791,21
390059.0,390059
1.0,1
1.0,1
1.0,1
2.4722222222222223,4
1.0,1
1.0,2
133.6818234069025,108
383063.0,383056
387866.0,387866
26539.5,26542
24153.459523809524,24132
2.5,1
97.91489361702128,100
5.737962962962962,2
4.0,4
2.0,2
1.0,1
96.95,74
40429.0,40429
1.0,1
147239.0,149568
49.0,49
4.75,1
1132.5,1234
1.5,2
1.0,1
110486.23809523809,110462
103215.99999999977,68480
1.0,1
1.0,1
1.0,1
99.55311355311355,94
529.4166666666667,133
408152.0,408152
1.0,1
106324.27142857134,106095
12.5,14
60.5,60
62772.0,62772
18.916666666666664,12
1848.0,1848
725.0,729
4.625,9
70964.0,70964
120.16666666666667,115
2028.0,2028
1.0,1
3.0,3
3.0,3
10.027777777777779,6
1.0,1
1.0,1
24206.833333333332,24206
251.0,251
185.16666666666666,185
214.0,214
1.0,1
1.0,1
13.0,13
9472.929761904761,9599
9.0,9
3.0,5
10.928571428571427,7
431.0,410
1.0,1
8467.0,8467
1.0,1
5.833333333333333,3
1.0,1
424834.0,424834
20.96428571428571,17
3.25,1
25.825,25
363603.13333333324,363785
1.0,1
1.0,1
1.0,1
11.0,11
1.0,1
1.0,1
18237.991272725147,19511
1.0,1
20.5,11
36.30576923076923,23
1.0,1
1.0,1
3.0,3
425177.0,425177
