prediction,true
2009,332
27,29
44,55
66695,67202
28,26
7,11
855,918
1,1
1,1
112515,112191
10,7
96,49
3,2
627,641
5,8
25907,25550
3,10
5,25
560,71
4,8
2,14
4,1
25716,26079
7,8
1,1
15461,21748
1,2
11432,11534
1181,910
1,2
32830,33503
3,1
12,3
1,1
28,80
1080,1287
1,1
1,1
144,176
1,1
110,154
1854,2465
1,1
74764,73453
32,100
1372,1112
1041,1033
1,12
856,1125
1219,1439
12,1
1,2
406,71
1,1
11,30
65906,66594
27471,29742
2,3
3980,4271
458,548
1,1
1,1
9,45
25790,26178
1,1
11091,11270
11395,11390
4,1
6,6
32576,32351
1,1
1,4
8,3
46,20
30911,32130
38213,37594
136162,135858
89,182
34085,33688
1,1
16,3
34,145
1,1
1,1
12,8
804,789
100126,99619
94,454
85768,86145
151,72
29,60
1,1
1059,1334
42,25
2415,3166
31,80
2,2
296,9
1,1
12,20
128608,129227
15,21
22,61
1,1
118037,117383
66,68
1,1
87558,85773
1,1
1,1
1,1
169,69
1,1
38213,37594
1,1
4492,4602
1,2
202,220
4,5
1,1
1,1
2,10
1,1
1,1
458,469
8323,9500
1,1
13,1
109,121
100126,99619
2263,2261
5329,5511
548,879
1,1
1,1
3286,3155
1,1
39618,40300
124565,125302
1,1
3,1
5,4
1,1
1,1
1,2
2,1
1,1
8171,7565
15,1
1,9
1,1
42,106
2609,2558
8,12
27,37
317,136
3,1
393,747
30853,30910
130693,130632
18906,19011
305,131
16,10
1,2
3,5
4,2
5844,5865
1082,1070
55151,56059
1,1
8361,7841
1,1
81906,93944
10,10
106,96
80,108
1,1
1,1
6030,5119
86744,73495
174,114
1,1
11,40
219,219
1,1
4,1
20,14
32,17
1,1
5,4
2070,3302
1,1
867,694
1,1
46880,43685
1,2
8,1
4,6
1,1
57665,58451
1,1
1,1
1,2
1,2
100126,99619
40,3
31234,30223
7,11
293,343
1,1
1,1
1,3
1,1
213,1
1,1
1,1
2,5
29,19
1,1
10578,10198
164,143
1,1
1,1
1,1
1,1
1,1
1,1
17268,17927
9,4
1,1
42256,41519
1,1
1,1
6579,6443
147,21
34,154
6228,6767
148,3
2012,2003
31,14
1,1
1,1
22,31
224,256
1,1
23,103
30647,30463
9,11
1,1
58465,58287
81053,80676
1,1
1,1
31509,31095
124565,125302
1,1
156,207
10893,14153
4376,2888
1,57
6216,4565
1,1
1,1
23947,23987
1,2
1,2
127,107
15831,15835
3488,4241
3,12
136,144
1,4
1,2
1,1
1,1
1188,1863
3798,3100
34460,35018
8,1
817,230
2,1
1,1
86,287
11,1
2,1
3,5
1,1
66695,67202
1476,983
1,1
1,1
40,47
53,12
605,640
1,1
89,613
13,79
1,1
128608,129227
52,91
1,1
58956,60727
1,1
63231,63690
1,1
2,9
794,1089
14,3
6,16
66695,67202
1,6
4,2
14,5
1265,1960
5,3
1,5
3726,3521
336,12
1,1
1,1
271,141
79,128
65359,65505
37,50
4476,413
18444,18001
1,1
1,1
217,7
574,848
1,2
1,1
1309,959
2184,3082
