prediction,true
1,1
1,1
1,1
1,1
1,1
35,68
1,6
46,32
1,1
1,2
1,16
33824,12795
1,1
1,5
1,10
201049,271689
1945,2103
237665,250927
26297,15343
85,1
1,1
10,1
13627,13489
1,4
11,1
1,2
60,146
38739,12349
47750,47853
1,1
1,13
1,1
1,1
195032,194691
8706,4819
1,20
2,1
1,1
1,1
1,1
352859,354185
359,449
1,4
349,1
38,3
1,1
1,1
144,318
56,12
1,1
1,2
676,695
1,1
1,3
374,445
1,1
1,36
1,3
2,1
1,1
39,4
1,2
1,1
1,2
3128,711
1,17
68,35
1,1
1,1
1,1
121,2
1,1
1,11
1,1
1,1
31072,31142
1,5
243,519
1,35
1,1
1,1
1,11
1,1
1,2
1,3
24755,24423
1,1
1,1
1,164
1,1
390666,391275
1,1
1,1
236,260
1,1
3,4
33442,34128
1,4
386,531
33,1
1,3
1,1
1,1
1,1
1,4
8,9
91,6
1,427
29,1
26,8
1,8
1,1
1,1
1,1
1,4
58,111
193,262
8182,681
109382,108032
1,1
1083,575
1,1
23,58
1,3
1,1
1,156
399,97
9,1
1,378
1,2
1,1
1,3
1,1
298,470
44,210
1,1
2,1
1235,1296
1,2
1,1
417752,418119
1,1
1,1
531,478
1,1
2,912
24,1
122585,127020
27,114
113,1
56,53
2,1
320,287
1,1
27,3159
1,1
27,76
20508,20173
1,5
1,2
3351,10506
1,1
206407,201367
267770,267269
3817,1
226,354
28,8
10,738
2257,2388
4,1
1,1
1,2
1,76
1,1
34,80
1,2
292463,301589
1,1
6424,6163
116056,135206
32065,34680
4096,1564
414931,415036
1,1
1,139
1,1
184173,183697
58,3
10,28
1,75
1,1045
347757,348680
15,2
31,14
1,1
1,2
118042,119831
5,25
128,7
1,1
1,3
1,3
4560,7336
90,60
1,9
17,10
6,3
1,1
1186,1556
1,1
32,1
1,1
475,12898
1,4
1,3
126572,130098
422394,422597
1,1
1,1
4879,2745
155,1
617,1
18,1480
296405,289735
298,225
21,118
1,1
144,204
22,62
1,3
1,1
1,18
145637,179498
1,29
1,6
1,1
271,294
1,29
1,3
45909,15092
1,1
1,1
1,1
8,81
4,334
15,800
16,1
1,3
1681,283
1,1
1,11
1,14
1,1
304797,305407
1,3
1,2
11483,11482
1,7
2412,2298
8687,9173
5,1
1,1
1,307
1,9
1,1
2,1
1,1
5348,5103
29,8
1,1
15014,9870
6,13
1,1
18,44
1,2
1,2
1,1
1,2
270,107
1,8
1,1
1,1
1,1
1639,14
2475,31361
16735,16737
21,1
216,1970
1,1
1,1
61,450
1,5
1,9
1,1
1,2
1,76
1,1
1,2
1,2
1,1
304,575
1,1
35,3
2,3
1,11
157022,126300
168,421
1,1
1,1
44787,44913
1,1
1,1
1,6
1,80
232,13
1,2
47,48
1,1377
1,1
1,2
12,1
1,2
1,3
2,1574
14,50
21,1
1,4
1,1
4,1
1,2
3,1
1,1
1,4
999,1184
2,5
1,4
1,1
1,1
57,211
1,1
1,1
1,13
1,1
1,1
1,2
30161,25817
1,4
321,10133
1,2
1,1
30570,33682
32,2
1,1
1,1
92,1
24,1
33587,17432
71,135
1,1
1,1
38,1
331024,363152
1,3
2,27
1,4
23,1
