prediction,true
333.642,332
1,29
66.72840000000001,55
67529.1408,67202
66.72840000000001,26
1,11
633.9198,918
1,1
1,1
111870.1626,112191
1,7
1,49
1,2
667.284,641
1,8
25323.427799999998,25550
1,10
1,25
1,71
1,8
1,14
1,1
26457.810599999997,26079
1,8
1,1
22620.9276,21748
1,2
12144.568800000001,11534
834.105,910
1,2
34031.484,33503
1,1
1,3
1,1
100.09259999999999,80
1034.2902,1287
1,1
1,1
66.72840000000001,176
1,1
266.91360000000003,154
2202.0372,2465
1,1
73334.5116,73453
100.09259999999999,100
967.5618,1112
1101.0186,1033
66.72840000000001,12
767.3765999999999,1125
1101.0186,1439
1,1
1,2
100.09259999999999,71
1,1
1,30
66261.3012,66594
30361.422,29742
1,3
4237.2534,4271
266.91360000000003,548
1,1
33.364200000000004,1
33.364200000000004,45
26324.3538,26178
1,1
10109.3526,11270
10409.6304,11390
1,1
1,6
33631.1136,32351
1,1
1,4
1,3
1,20
31095.434400000002,32130
38035.188,37594
137160.2262,135858
133.45680000000002,182
33631.1136,33688
1,1
33.364200000000004,3
200.18519999999998,145
1,1
1,1
1,8
567.1913999999999,789
99291.85919999999,99619
500.463,454
86346.5496,86145
133.45680000000002,72
66.72840000000001,60
1,1
1267.8396,1334
33.364200000000004,25
3436.5126,3166
33.364200000000004,80
1,2
1,9
1,1
1,20
128785.812,129227
33.364200000000004,21
33.364200000000004,61
1,1
117241.79879999999,117383
33.364200000000004,68
1,1
87414.204,85773
1,1
1,1
33.364200000000004,1
33.364200000000004,69
1,1
38035.188,37594
1,1
4070.4324,4602
1,2
200.18519999999998,220
1,5
1,1
1,1
1,10
1,1
1,1
300.2778,469
9175.155,9500
1,1
1,1
133.45680000000002,121
99291.85919999999,99619
2202.0372,2261
5271.543600000001,5511
1234.4754,879
1,1
1,1
3369.7842,3155
1,1
38168.6448,40300
123881.2746,125302
1,1
1,1
1,4
1,1
1,1
1,2
1,1
1,1
7840.587,7565
1,1
33.364200000000004,9
1,1
66.72840000000001,106
2669.136,2558
1,12
33.364200000000004,37
200.18519999999998,136
1,1
533.8272000000001,747
30761.792400000002,30910
131021.2134,130632
19851.699,19011
133.45680000000002,131
1,10
1,2
1,5
33.364200000000004,2
5004.63,5865
967.5618,1070
54016.6398,56059
1,1
7707.1302,7841
1,1
94754.328,93944
1,10
66.72840000000001,96
133.45680000000002,108
1,1
33.364200000000004,1
4937.9016,5119
72733.956,73495
133.45680000000002,114
1,1
33.364200000000004,40
200.18519999999998,219
1,1
1,1
1,14
1,17
1,1
1,4
3002.778,3302
33.364200000000004,1
767.3765999999999,694
1,1
43807.1946,43685
1,2
1,1
1,6
1,1
58654.263600000006,58451
1,1
1,1
1,2
33.364200000000004,2
99291.85919999999,99619
33.364200000000004,3
31295.619599999998,30223
33.364200000000004,11
133.45680000000002,343
1,1
1,1
33.364200000000004,3
1,1
1,1
1,1
1,1
1,5
1,19
1,1
10075.9884,10198
233.5494,143
1,1
1,1
1,1
1,1
1,1
1,1
17749.754399999998,17927
1,4
1,1
42939.7254,41519
1,1
1,1
6772.932599999999,6443
33.364200000000004,21
233.5494,154
7039.8462,6767
1,3
2068.5804,2003
33.364200000000004,14
1,1
1,1
33.364200000000004,31
266.91360000000003,256
1,1
133.45680000000002,103
30461.514600000002,30463
1,11
1,1
58087.0722,58287
80474.4504,80676
1,1
1,1
31228.891200000002,31095
123881.2746,125302
1,1
233.5494,207
13779.414600000002,14153
2902.6854,2888
33.364200000000004,57
4837.809,4565
33.364200000000004,1
1,1
24389.230199999998,23987
1,2
1,2
200.18519999999998,107
16315.0938,15835
4137.1608,4241
66.72840000000001,12
66.72840000000001,144
1,4
1,2
1,1
1,1
1534.7531999999999,1863
3102.8705999999997,3100
34331.7618,35018
1,1
166.821,230
1,1
1,1
333.642,287
1,1
1,1
1,5
1,1
67529.1408,67202
1067.6544000000001,983
33.364200000000004,1
1,1
100.09259999999999,47
1,12
734.0124000000001,640
1,1
667.284,613
33.364200000000004,79
1,1
128785.812,129227
133.45680000000002,91
1,1
60222.381,60727
1,1
62958.2454,63690
1,1
1,9
1434.6606,1089
1,3
1,16
67529.1408,67202
1,6
1,2
1,5
1968.4877999999999,1960
1,3
1,5
4003.704,3521
1,12
1,1
1,1
200.18519999999998,141
100.09259999999999,128
63758.9862,65505
100.09259999999999,50
500.463,413
18784.0446,18001
1,1
1,1
1,7
700.6482,848
1,2
1,1
1067.6544000000001,959
2802.5928,3082
119877.5706,120891
200.18519999999998,225
128785.812,129227
400.37039999999996,430
144867.3564,144273
500.463,449
17582.933399999998,16902
4337.346,4579
1,1
33.364200000000004,1
66.72840000000001,136
33.364200000000004,4
33.364200000000004,1
1,1
1,3
1,1
32863.737,31941
200.18519999999998,86
1,5
7840.587,7583
1,1
1,14
1,1
2769.2286,2555
7006.482000000001,6226
1,7
1,14
100.09259999999999,96
1,1
367.00620000000004,350
1468.0248000000001,1207
300.2778,250
1534.7531999999999,1474
7506.945,7333
29427.2244,29833
1,1
467.0988,383
200.18519999999998,105
63825.7146,63188
100.09259999999999,124
1,1
8774.7846,8317
66.72840000000001,50
333.642,136
53816.4546,54431
100.09259999999999,44
1,1
1,1
17916.575399999998,17860
1,1
1,1
124014.73139999999,123312
126049.94760000001,124798
1,21
1,1
1,1
21486.5448,21575
44741.3922,44739
7106.5746,7593
137994.33120000002,138430
1,11
600.5556,516
96956.36520000001,96916
1,8
1,4
33.364200000000004,63
1,1
1,1
1,3
1,1
1,1
166.821,229
1,1
106298.3412,106901
1,1
46109.3244,45502
600.5556,547
1634.8458,1319
1,1
1,1
1,1
1,1
1,1
34465.2186,34913
1,1
1,1
1,1
100.09259999999999,143
15614.445600000001,16658
1000.926,1010
300.2778,258
161816.37,160956
1,1
9341.976,9311
5171.451,5349
65227.011000000006,65978
800.7407999999999,879
1,1
1968.4877999999999,1760
1,14
1,1
66.72840000000001,36
29160.310800000003,29926
1,1
1,3
1,1
1,11
1,1
1,1
1,3
82109.29620000001,81980
1,1
33.364200000000004,51
5271.543600000001,5100
1,1
1,1
1,1
1,1
20685.804,20317
1935.1236,1580
21086.174400000004,21407
100.09259999999999,34
1,2
133.45680000000002,30
100.09259999999999,35
73534.6968,73276
33.364200000000004,72
1,1
1,1
1,1
367.00620000000004,272
1,3
1901.7594000000001,1961
1,1
9175.155,8387
1734.9384,1534
1,1
1,1
1,1
33.364200000000004,58
1,1
1,1
1,1
1,1
3236.3274,2975
1,1
49545.837,50955
200.18519999999998,180
1,2
233.5494,151
333.642,315
166.821,213
1,1
24088.9524,23665
43473.5526,43106
1,1
33.364200000000004,19
1,24
1,1
1835.031,1919
1,1
1,2
1,1
1,1
6839.661,7440
1,2
1,2
8874.877199999999,8884
19484.6928,20913
162316.83299999998,161948
1,1
166.821,101
100.09259999999999,41
1,1
1,2
1,1
1034.2902,1029
1,1
1,1
1,1
1,1
1,11
1,2
1,1
68062.968,66942
66.72840000000001,95
3236.3274,3291
1,1
51681.145800000006,51686
1,1
33.364200000000004,1
1,1
54950.837400000004,54630
1,1
60656.1156,61804
1,1
9408.7044,9172
23755.3104,24070
