prediction,true
1,1
1,1
1,1
1,1
1,1
170.3332,68
1,6
170.3332,32
1,1
1,2
170.3332,16
13967.322400000001,12795
1,1
1,5
85.1666,10
270574.2882,271689
1873.6652000000001,2103
247919.9726,250927
15074.4882,15343
1,1
1,1
1,1
14052.489000000001,13489
85.1666,4
1,1
1,2
255.49979999999996,146
14307.9888,12349
47863.6292,47853
1,1
1,13
1,1
1,1
197586.51200000002,194691
4343.4966,4819
1,20
1,1
1,1
1,1
1,1
354463.38920000003,354185
255.49979999999996,449
1,4
1,1
1,3
1,1
1,1
255.49979999999996,318
85.1666,12
1,1
1,2
681.3328,695
1,1
1,3
85.1666,445
1,1
85.1666,36
1,3
1,1
1,1
1,4
1,2
1,1
1,2
851.666,711
1,17
85.1666,35
1,1
85.1666,1
1,1
1,2
1,1
1,11
1,1
1,1
30830.309200000003,31142
1,5
255.49979999999996,519
85.1666,35
1,1
1,1
1,11
1,1
1,2
1,3
24953.8138,24423
1,1
1,1
255.49979999999996,164
1,1
389552.02839999995,391275
1,1
1,1
425.833,260
1,1
1,4
35258.9724,34128
1,4
851.666,531
1,1
1,3
1,1
1,1
1,1
1,4
1,9
1,6
1,427
1,1
1,8
1,8
1,1
1,1
1,1
1,4
1,111
255.49979999999996,262
851.666,681
109353.9144,108032
1,1
681.3328,575
1,1
85.1666,58
1,3
1,1
340.6664,156
170.3332,97
1,1
340.6664,378
1,2
1,1
1,3
1,1
596.1662,470
85.1666,210
1,1
1,1
1021.9991999999999,1296
1,2
1,1
418508.6724,418119
1,1
1,1
851.666,478
1,1
936.8326000000001,912
1,1
128260.8996,127020
340.6664,114
1,1
170.3332,53
1,1
170.3332,287
1,1
2980.831,3159
1,1
170.3332,76
20184.4842,20173
1,5
1,2
10390.325200000001,10506
1,1
198949.1776,201367
267848.957,267269
1,1
425.833,354
1,8
681.3328,738
2725.3312,2388
1,1
1,1
1,2
170.3332,76
1,1
1,80
1,2
301915.597,301589
1,1
7494.660800000001,6163
133541.22879999998,135206
35003.4726,34680
851.666,1564
416635.0072,415036
1,1
1,139
1,1
182512.0238,183697
85.1666,3
1,28
170.3332,75
1192.3324,1045
350034.72599999997,348680
1,2
85.1666,14
1,1
1,2
122554.7374,119831
85.1666,25
1,7
1,1
1,3
1,3
8175.993599999999,7336
1,60
1,9
1,10
1,3
1,1
1277.499,1556
1,1
1,1
1,1
13030.4898,12898
1,4
1,3
130560.39779999999,130098
422852.169,422597
1,1
1,1
3747.3304000000003,2745
1,1
1,1
1958.8318,1480
291184.6054,289735
510.99959999999993,225
255.49979999999996,118
1,1
255.49979999999996,204
170.3332,62
1,3
1,1
1,18
178253.6938,179498
1,29
1,6
1,1
255.49979999999996,294
85.1666,29
1,3
14733.8218,15092
1,1
1,1
1,1
255.49979999999996,81
85.1666,334
851.666,800
1,1
1,3
510.99959999999993,283
1,1
1,11
1,14
1,1
304129.9286,305407
1,3
1,2
11923.324,11482
1,7
2554.998,2298
8431.493400000001,9173
1,1
1,1
425.833,307
1,9
1,1
1,1
1,1
6217.1618,5103
1,8
1,1
8942.493,9870
1,13
1,1
255.49979999999996,44
1,2
1,2
1,1
1,2
