query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM fps f WHERE f.cpucachel3>12 AND f.gpunumberoftransistors<378 AND f.gpumemorysize=1024 AND f.gpubaseclock=750 AND f.cpubaseclock=100 AND f.cputdp=65 AND f.gputexturerate=6000 AND f.gpushadermodel<3;,1.0,0,19.82540000000199,0,0.0
1,SELECT COUNT(*) FROM fps f WHERE f.cpuprocesssize>22 AND f.gamename>17 AND f.gpunumberoftransistors=5200 AND f.fps<200.0 AND f.gpunumberofcomputeunits=0 AND f.cpucachel3<12 AND f.gpuprocesssize=28 AND f.gpunumberofrops=56 AND f.gpubusnterface>6;,1.0,0,15.83549999998013,0,0.0
2,SELECT COUNT(*) FROM fps f WHERE f.gpuvulkan=5 AND f.cpumultiplierunlocked<2;,2.499999999999999,0,7.304700000020148,0,0.0
3,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplierunlocked=1 AND f.cpuprocesssize>14 AND f.cpumultiplier=17.0 AND f.gpupixelrate>6264 AND f.gpunumberofshadingunits>112 AND f.gpufp32performance>863200 AND f.cpunumberofthreads<4 AND f.gpubaseclock>860 AND f.gamename<26 AND f.fps=90.0;,1.0,1,22.93200000002571,0,0.0
4,SELECT COUNT(*) FROM fps f WHERE f.fps>98.5 AND f.cpunumberofthreads=28 AND f.cpumultiplier<33.0 AND f.gpumemorysize>3000 AND f.gpunumberofrops=48 AND f.gpumemorytype<5;,1.0,0,14.278600000011465,0,0.0
5,SELECT COUNT(*) FROM fps f WHERE f.cpunumberofcores=18 AND f.gputexturerate>94720;,68.29176470588247,68,7.475499999998192,0,0.0
6,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofshadingunits=40 AND f.cpunumberoftransistors<1200 AND f.cputdp<65 AND f.gpunumberofexecutionunits=0 AND f.gameresolution=720 AND f.gpushadermodel=6 AND f.gpudiesize=8.5e-05;,1.0,6,13.566299999979492,0,0.0
7,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofrops=2;,32.00000000000003,32,2.901800000017829,0,0.0
8,SELECT COUNT(*) FROM fps f WHERE f.cpuprocesssize=65 AND f.cpubaseclock=200 AND f.gpudiesize=0.000256;,1.0,1,10.464499999955024,0,0.0
9,SELECT COUNT(*) FROM fps f WHERE f.cpudiesize>0.000107 AND f.gamename=20 AND f.gpuboostclock<1668 AND f.gpunumberofshadingunits<192 AND f.gpuvulkan=6 AND f.gputexturerate=11200 AND f.gpushadermodel=4 AND f.gpunumberofexecutionunits=0 AND f.cpunumberoftransistors<1160;,1.0,2,16.864699999985078,0,0.0
10,SELECT COUNT(*) FROM fps f WHERE f.gpuboostclock>1600 AND f.cpunumberofthreads>6 AND f.gamename=24 AND f.cpucachel1>512 AND f.gameresolution=1080 AND f.cpunumberoftransistors=4800 AND f.gputexturerate=157100;,1.0,16,16.065099999991617,0,0.0
11,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplier>18.0 AND f.gpuboostclock>608 AND f.gpuprocesssize<90 AND f.cpubaseclock>133 AND f.gpumemorysize<12000;,21939.621341317717,12795,13.049299999977393,0,0.0
12,SELECT COUNT(*) FROM fps f WHERE f.gameresolution=1080 AND f.gpumemorybus<448 AND f.gputexturerate<35200 AND f.gpubusnterface=8 AND f.gpupixelrate>2400 AND f.gpunumberofrops=3 AND f.cpucachel2=16384 AND f.gpushadermodel=9 AND f.cpumultiplierunlocked=2 AND f.gpubaseclock<300;,1.0,0,17.981200000008357,0,0.0
13,SELECT COUNT(*) FROM fps f WHERE f.cpucachel3=64 AND f.gpumemorybus<384 AND f.gpunumberofshadingunits<3072 AND f.gamesetting<2 AND f.gpubandwidth<352300 AND f.gpunumberoftmus>104 AND f.cpucachel2<12288 AND f.cpumultiplierunlocked=2 AND f.cpunumberoftransistors=3800;,7.952930808069059,5,20.937300000014147,0,0.0
14,SELECT COUNT(*) FROM fps f WHERE f.gameresolution=1440 AND f.cpubaseclock<133 AND f.gpunumberofcomputeunits=28 AND f.cpuprocesssize<22 AND f.gpuprocesssize=14 AND f.gpunumberoftmus=112 AND f.gpumemorytype=5 AND f.gpunumberofexecutionunits=0;,1.0,10,12.953200000026754,0,0.0
15,SELECT COUNT(*) FROM fps f WHERE f.gpupixelrate<106900 AND f.gpumemorytype>4;,271698.87049005594,271689,4.192200000034063,0,0.0
16,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofexecutionunits=6;,2103.0000000000005,2103,0.8835000000431137,0,0.0
17,SELECT COUNT(*) FROM fps f WHERE f.gamesetting>2 AND f.gpufp32performance>1244000;,250921.43568464727,250927,3.9074999999684223,0,0.0
18,SELECT COUNT(*) FROM fps f WHERE f.cpunumberoftransistors>1860 AND f.gpumemorytype<5;,15443.301423156117,15343,6.2728999999990265,0,0.0
19,SELECT COUNT(*) FROM fps f WHERE f.gameresolution=1440 AND f.gpumemorybus>0 AND f.gpuprocesssize>12 AND f.gpunumberofrops>16 AND f.cpunumberofthreads<4 AND f.gpufp32performance>3920000 AND f.cpuprocesssize>14;,11.11389885402164,1,14.641900000015085,0,0.0
20,SELECT COUNT(*) FROM fps f WHERE f.gpuvulkan>1 AND f.gpunumberoftransistors<378 AND f.gpufp32performance=29440 AND f.gpudiesize=0.000169 AND f.cpucachel3=3 AND f.cpudiesize=0.000131 AND f.gpunumberoftmus=8 AND f.gpuboostclock=460;,1.0,1,17.53609999997252,0,0.0
21,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftmus=60 AND f.gpunumberofcomputeunits>0;,106.11182401466549,0,5.009499999971467,0,0.0
22,SELECT COUNT(*) FROM fps f WHERE f.gpubaseclock<494;,13489.0,13489,3.012000000012449,0,0.0
23,SELECT COUNT(*) FROM fps f WHERE f.fps>166.6 AND f.gpudiesize>0.00052 AND f.gpufp32performance<9062000 AND f.gputexturerate>256000 AND f.gpuboostclock=1050 AND f.cpudiesize>0.0 AND f.cpucachel1>384 AND f.gpunumberofexecutionunits=0 AND f.gpunumberofrops=64;,5.250553058138391,4,16.539399999999205,0,0.0
24,SELECT COUNT(*) FROM fps f WHERE f.fps=222.8 AND f.cpumultiplierunlocked=2 AND f.gpubandwidth<484400 AND f.gpunumberofexecutionunits=0;,1.1658598312674031,1,9.059100000001763,0,0.0
25,SELECT COUNT(*) FROM fps f WHERE f.cpudiesize<0.000177 AND f.gamename<5 AND f.gameresolution=1080 AND f.gputexturerate=30400 AND f.cpumultiplier=23.0 AND f.gpunumberoftransistors=1270 AND f.gpubandwidth=80000;,1.0,2,14.886999999987438,0,0.0
26,SELECT COUNT(*) FROM fps f WHERE f.gputexturerate=44960;,146.00000000000003,146,3.367599999990034,0,0.0
27,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplierunlocked=1 AND f.gpushadermodel=9 AND f.cpudiesize>0.000177;,14345.1521839207,12349,10.094600000002174,0,0.0
28,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftmus=48;,47852.99999999999,47853,3.8382000000183325,0,0.0
29,SELECT COUNT(*) FROM fps f WHERE f.gpupixelrate<1800 AND f.gamesetting<3 AND f.cpudiesize>0.00021 AND f.cpumultiplier=15.5 AND f.gputexturerate>2800;,1.4198017506068656,1,13.096000000018648,0,0.0
30,SELECT COUNT(*) FROM fps f WHERE f.gpubaseclock=600 AND f.gpubandwidth>9600 AND f.gameresolution>720 AND f.cpucachel1=256 AND f.gpuprocesssize=55;,5.394908187830001,13,11.133400000005622,0,0.0
31,SELECT COUNT(*) FROM fps f WHERE f.cpucachel3<16 AND f.gpuprocesssize=90 AND f.gpufp32performance=345600 AND f.fps=50.0 AND f.gpunumberoftransistors=681 AND f.cpumultiplier=27.0 AND f.cputdp=65;,1.0,1,18.473200000016732,0,0.0
