query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Purchase<15250 AND bfp.Gender=2 AND bfp.Marital_Status>0;,33784.416609256376,33435,4.132300000037503,0,0.0
1,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Product_Category_1<1 AND bfp.Occupation<7 AND bfp.Purchase=11436;,1.0,0,5.277699999851393,0,0.0
2,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Product_Category_2=2 AND bfp.Product_Category_3>17 AND bfp.City_Category<2 AND bfp.Gender=2 AND bfp.Marital_Status=1;,30.71764453871016,18,9.389600000076825,0,0.0
3,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Product_Category_3<17 AND bfp.Stay_In_Current_City_Years=2 AND bfp.Age>5 AND bfp.Product_Category_2>15 AND bfp.Product_Category_1<8 AND bfp.City_Category>3 AND bfp.Purchase<8571 AND bfp.Occupation>4;,1.0,0,12.905999999929918,0,0.0
4,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Purchase=932 AND bfp.Product_Category_2=13 AND bfp.Product_Category_1<1 AND bfp.Age=2 AND bfp.Stay_In_Current_City_Years<4;,1.0,0,11.564500000076805,0,0.0
5,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Age=2 AND bfp.Gender<2 AND bfp.City_Category=2 AND bfp.Purchase=16178 AND bfp.Marital_Status<1;,1.0,0,6.262099999958082,0,0.0
6,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Product_Category_2=14 AND bfp.Product_Category_1=1 AND bfp.Marital_Status>1 AND bfp.Product_Category_3=16 AND bfp.Purchase=8819;,1.0,0,14.146399999845016,0,0.0
7,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Stay_In_Current_City_Years=1 AND bfp.Occupation>7 AND bfp.Age=4 AND bfp.Purchase<8059 AND bfp.Marital_Status=0 AND bfp.Product_Category_1<5 AND bfp.Product_Category_3<8 AND bfp.City_Category>2 AND bfp.Product_Category_2>8 AND bfp.Gender>2;,1.0,0,13.989899999842237,0,0.0
8,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Gender<2 AND bfp.Age<2 AND bfp.Marital_Status<0;,1.0,0,1.4363000000230386,0,0.0
9,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Stay_In_Current_City_Years=3 AND bfp.Product_Category_3=6 AND bfp.Gender>2 AND bfp.Marital_Status>1 AND bfp.Product_Category_1>2 AND bfp.Product_Category_2>2 AND bfp.Occupation<20;,1.0,0,8.963600000015504,0,0.0
10,SELECT COUNT(*) FROM black_friday_purchase bfp WHERE bfp.Age<3 AND bfp.Occupation=17 AND bfp.Stay_In_Current_City_Years<2;,264.3307128652232,243,1.2432999999418826,0,0.0
