query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM fps f WHERE f.cpubaseclock<200 AND f.gpupixelrate=82030 AND f.cpuprocesssize>22 AND f.cpucachel2>3072;,17.8998946260617,2,14.22649999949499,0,0.0
1,SELECT COUNT(*) FROM fps f WHERE f.gpubusnterface<6 AND f.cpunumberoftransistors>1400 AND f.gpuprocesssize=28 AND f.gpunumberofrops<32 AND f.gpudiesize<0 AND f.cputdp<65 AND f.cpumultiplier<29 AND f.gpumemorytype=5 AND f.gpubaseclock>1506 AND f.cpubaseclock<100;,1.0,0,25.199300000167568,0,0.0
2,SELECT COUNT(*) FROM fps f WHERE f.gpudiesize=0;,11196.0,11196,3.558099999281694,0,0.0
3,SELECT COUNT(*) FROM fps f WHERE f.cpudiesize=0 AND f.gpumemorysize=8000 AND f.gpubandwidth>22400 AND f.gpumemorytype<4 AND f.cpucachel2<1536 AND f.gpubaseclock<1120 AND f.gpunumberofrops>48 AND f.cpunumberoftransistors<0;,1.0,0,21.176700000069104,0,0.0
4,SELECT COUNT(*) FROM fps f WHERE f.gpubandwidth<352300 AND f.cpucachel1=256 AND f.cputdp>95 AND f.cpumultiplierunlocked=1 AND f.gpupixelrate>2850 AND f.cpucachel2>512 AND f.fps>120 AND f.cpunumberofcores>4 AND f.gamesetting<4 AND f.cpunumberoftransistors=1400;,44.19357119111624,0,29.81069999987085,0,0.0
5,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofexecutionunits=0 AND f.gpunumberofcomputeunits>0 AND f.gpubusnterface=6;,54054.868838080394,53349,5.161699999916891,0,0.0
6,SELECT COUNT(*) FROM fps f WHERE f.cpucachel1>288 AND f.gpunumberofcomputeunits=0 AND f.cpumultiplierunlocked=2 AND f.gpufp32performance>2138000 AND f.gpunumberofexecutionunits>0 AND f.gpubandwidth>256300;,1.0,0,15.192599999863887,0,0.0
7,SELECT COUNT(*) FROM fps f WHERE f.gamename>18 AND f.cpucachel2<6144 AND f.cpunumberoftransistors<4950 AND f.cpunumberofthreads<4;,1157.2218713316936,1245,15.000700000200595,0,0.0
8,SELECT COUNT(*) FROM fps f WHERE f.gpubaseclock<1506 AND f.gpumemorysize<11000 AND f.gpumemorytype>3 AND f.gpunumberofcomputeunits=0 AND f.gputexturerate>22800 AND f.cputdp=88 AND f.gpushadermodel>9 AND f.cpunumberofcores>2 AND f.gpudiesize>0 AND f.gpufp32performance<4375000;,1.0,0,22.25559999988036,0,0.0
9,SELECT COUNT(*) FROM fps f WHERE f.cpunumberoftransistors>4800 AND f.gpuvulkan<1 AND f.cpunumberofthreads=4 AND f.gameresolution<720 AND f.fps<40 AND f.gpubusnterface=13;,1.0,0,13.840999999956694,0,0.0
10,SELECT COUNT(*) FROM fps f WHERE f.cpudiesize<0 AND f.gamesetting<3 AND f.cpucachel1=256 AND f.cpubaseclock=100 AND f.gpunumberoftmus<80 AND f.gpudiesize>0;,1.0,0,16.971099999864236,0,0.0
11,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofshadingunits<1280 AND f.gpunumberofexecutionunits=0 AND f.gpumemorybus=256 AND f.gpufp32performance<8873000 AND f.cpucachel1>512 AND f.gpuboostclock>1076;,271.18765237842484,237,12.705799999821465,0,0.0
12,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplierunlocked<2 AND f.cpufrequency<3600 AND f.gameresolution=720 AND f.cputurboclock=3600 AND f.cpunumberofthreads<12 AND f.cputdp<65 AND f.gpubusnterface=6 AND f.gpuprocesssize=16 AND f.cpudiesize<0;,1.0,0,30.343400000674592,0,0.0
13,SELECT COUNT(*) FROM fps f WHERE f.cpubaseclock<100 AND f.cpumultiplier<37 AND f.gpudiesize<0 AND f.cpudiesize=0 AND f.cpufrequency=3600 AND f.gpupixelrate<2850 AND f.cpunumberofthreads=16;,1.0,0,23.541300000033516,0,0.0
14,SELECT COUNT(*) FROM fps f WHERE f.cpudiesize=0 AND f.gpunumberofcomputeunits>0;,13586.85491304516,12132,7.97340000008262,0,0.0
15,SELECT COUNT(*) FROM fps f WHERE f.gameresolution<1080 AND f.gpunumberofexecutionunits>0;,11991.08733761464,12111,1.317899999776273,0,0.0
16,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftransistors<3000 AND f.cpufrequency<3700 AND f.gamename=16 AND f.gpunumberoftmus<224 AND f.cpucachel3<3;,1212.7175296365706,1247,14.997700000094483,0,0.0
17,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftmus<56 AND f.gpunumberofshadingunits=3584 AND f.gpushadermodel<9 AND f.gpunumberofrops=32 AND f.cpucachel2<1024;,1.0,0,12.48689999920316,0,0.0
18,SELECT COUNT(*) FROM fps f WHERE f.cpufrequency>3800 AND f.cpucachel2=1024 AND f.gpuboostclock<1392 AND f.gpunumberoftransistors<7200 AND f.gpufp32performance>3920000 AND f.gameresolution=1440 AND f.gpunumberofexecutionunits>0 AND f.gpubusnterface>6;,1.0,0,17.230400000698864,0,0.0
19,SELECT COUNT(*) FROM fps f WHERE f.gpushadermodel=9 AND f.gpunumberofshadingunits<2560 AND f.fps>100 AND f.gpumemorytype=5 AND f.cpumultiplier<19 AND f.gpubusnterface>6 AND f.cputdp>65 AND f.gpubandwidth<256300;,116.98992207668203,212,19.059899999774643,0,0.0
20,SELECT COUNT(*) FROM fps f WHERE f.gpumemorytype<5;,130097.99999999994,130098,2.054600000519713,0,0.0
21,SELECT COUNT(*) FROM fps f WHERE f.gpupixelrate<109400 AND f.gpumemorysize>4000 AND f.cpucachel1<256 AND f.gpunumberoftransistors>2640 AND f.cpubaseclock<100 AND f.gpushadermodel<9 AND f.gpumemorybus=352;,1.0,0,14.358500000525964,0,0.0
22,SELECT COUNT(*) FROM fps f WHERE f.gamesetting=1 AND f.gpunumberoftransistors>18600;,1.0,0,3.8729999996576225,0,0.0
23,SELECT COUNT(*) FROM fps f WHERE f.cputdp=95 AND f.cpudiesize>0 AND f.gpubaseclock>850 AND f.cpufrequency=3400 AND f.gpudiesize=0 AND f.cputurboclock=4000 AND f.gputexturerate>222500;,1.0,0,19.916700000067067,0,0.0
24,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftmus<80 AND f.gpunumberofexecutionunits>0 AND f.fps>150 AND f.gpudiesize=0;,87.9206136265169,2,5.296000000271306,0,0.0
25,SELECT COUNT(*) FROM fps f WHERE f.gpumemorytype>5 AND f.gpubaseclock>300 AND f.gpunumberofcomputeunits>0 AND f.gpubusnterface>2 AND f.gpunumberofshadingunits>2304;,5241.923202814686,4650,7.004000000051747,0,0.0
26,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofshadingunits<768 AND f.cpucachel1=256 AND f.cpufrequency=3400;,1253.8706525569576,2212,10.901200000262179,0,0.0
27,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftransistors<4400 AND f.cpufrequency=3200 AND f.gpumemorytype>5 AND f.gpupixelrate<44540 AND f.cpunumberoftransistors<4800;,787.812942891586,962,12.110699999539065,0,0.0
28,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftransistors<2080 AND f.cpufrequency=3000 AND f.gpupixelrate<107700 AND f.cpubaseclock>100 AND f.gpumemorysize>4000 AND f.gpushadermodel=9 AND f.cpudiesize=0;,1.0,0,15.974200000528072,0,0.0
29,SELECT COUNT(*) FROM fps f WHERE f.gamesetting=3 AND f.gamename<11 AND f.cpucachel1>256 AND f.cpumultiplier>42 AND f.fps<154 AND f.cpufrequency=3400;,1.0,0,13.705399999707879,0,0.0
30,SELECT COUNT(*) FROM fps f WHERE f.gpubaseclock=1050 AND f.cpubaseclock<200 AND f.fps=470 AND f.gameresolution=1080 AND f.cpucachel2<6144 AND f.gpufp32performance=8873000;,1.0,0,11.574799999834795,0,0.0
31,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplierunlocked<1 AND f.gpumemorysize=0 AND f.gameresolution<1440 AND f.gpupixelrate<12800 AND f.cpucachel2=1536 AND f.gputexturerate<35230;,1.0,0,12.882800000625139,0,0.0
32,SELECT COUNT(*) FROM fps f WHERE f.gpuboostclock>1683 AND f.gpumemorytype<3 AND f.cpudiesize<0 AND f.cpucachel1<256 AND f.gpumemorysize>8000 AND f.gpubandwidth>112100;,1.0,0,13.396800000009534,0,0.0
33,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftmus<152 AND f.gamename>18 AND f.gpunumberoftransistors>7200 AND f.gpubaseclock>1506 AND f.cpudiesize>0 AND f.gpuboostclock<1709 AND f.gpudiesize>0 AND f.cpunumberofcores=8;,1.0,0,16.851200000019162,0,0.0
34,SELECT COUNT(*) FROM fps f WHERE f.gameresolution=1080 AND f.gpumemorybus>256;,39756.729244603885,33293,3.159100000630133,0,0.0
35,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplier=32 AND f.cpunumberofthreads=8 AND f.gpunumberofexecutionunits=0 AND f.gpubaseclock>1506 AND f.gpuprocesssize>28 AND f.gpushadermodel=9;,1.0,0,13.997300000482937,0,0.0
36,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftransistors=0 AND f.gpubusnterface>13 AND f.cpucachel1>384 AND f.gpuprocesssize=14 AND f.cpucachel3>6 AND f.cpudiesize=0 AND f.gpunumberofcomputeunits>0 AND f.gpushadermodel>9;,1.0,0,17.46400000047288,0,0.0
37,SELECT COUNT(*) FROM fps f WHERE f.fps=250 AND f.cpumultiplierunlocked>2 AND f.gameresolution>1080 AND f.gpubandwidth=256300 AND f.cpufrequency>3600 AND f.cpucachel2>1024 AND f.cpubaseclock=100 AND f.cpuprocesssize=14 AND f.gpunumberoftransistors>4400;,1.0,0,20.466700000724813,0,0.0
38,SELECT COUNT(*) FROM fps f WHERE f.cpufrequency<3200 AND f.cpumultiplierunlocked>1 AND f.cpunumberofthreads>4 AND f.gameresolution=1080 AND f.gpunumberoftmus>80 AND f.cpumultiplier>35 AND f.gpunumberofcomputeunits>0 AND f.cpubaseclock<100;,1.0,0,20.451200000024983,0,0.0
39,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofrops>16;,380926.99999999994,380927,2.6155000005019247,0,0.0
40,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftmus<80 AND f.gpunumberofcomputeunits=36;,1.0,0,4.086799999640789,0,0.0
41,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofcomputeunits=22;,269.99999999999994,270,2.8652999999394524,0,0.0
42,SELECT COUNT(*) FROM fps f WHERE f.gputexturerate>33860 AND f.gpuprocesssize=28;,80420.70064296838,79880,4.3994999996357365,0,0.0
43,SELECT COUNT(*) FROM fps f WHERE f.cpucachel1>768 AND f.gpubaseclock<1481 AND f.cpumultiplier>37 AND f.cpufrequency=3600 AND f.fps=50 AND f.gpunumberofexecutionunits>0 AND f.cpunumberofcores=4;,1.0,0,17.842900000687223,0,0.0
44,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplierunlocked>1 AND f.gpupixelrate<113300 AND f.cpumultiplier<35 AND f.cpucachel1<384 AND f.gputexturerate>354400 AND f.gpudiesize=0 AND f.fps<100;,1.0,0,16.53489999989688,0,0.0
45,SELECT COUNT(*) FROM fps f WHERE f.cputurboclock<3700 AND f.gpumemorytype<5 AND f.gameresolution=1080 AND f.cpumultiplierunlocked<1 AND f.cpumultiplier<21 AND f.gpuprocesssize=28 AND f.gpunumberofexecutionunits<0;,1.0,0,14.717999999447784,0,0.0
46,SELECT COUNT(*) FROM fps f WHERE f.gputexturerate>128000 AND f.gpuboostclock=1178 AND f.gpumemorybus<256 AND f.gpunumberofshadingunits=1664 AND f.cpudiesize>0 AND f.gpuvulkan=1 AND f.gpunumberofcomputeunits=0 AND f.cpunumberoftransistors>1200 AND f.cpubaseclock>100 AND f.gamesetting=2;,1.0,0,17.846599999757018,0,0.0
47,SELECT COUNT(*) FROM fps f WHERE f.gpushadermodel>9 AND f.gpunumberoftransistors=11800 AND f.gpumemorysize=2000;,1.0,0,5.815599999550614,0,0.0
48,SELECT COUNT(*) FROM fps f WHERE f.gpumemorysize<0 AND f.gpumemorytype>5 AND f.cpucachel2=1024 AND f.cpumultiplier>36 AND f.cpucachel1<384 AND f.gpubaseclock>1506 AND f.gpudiesize=0;,1.0,0,16.91000000027998,0,0.0
49,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftransistors=5700 AND f.gpuboostclock=1710 AND f.gpubusnterface=6;,1.0,0,5.615400000351656,0,0.0
50,SELECT COUNT(*) FROM fps f WHERE f.cpubaseclock>100 AND f.cpucachel2=1024 AND f.gpumemorysize=4000;,839.8942132667396,185,9.636199999476958,0,0.0
51,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofexecutionunits=0 AND f.gamesetting=2 AND f.gpunumberofrops>32 AND f.gamename=16 AND f.fps<40 AND f.gpumemorybus<256 AND f.gpunumberofcomputeunits>0 AND f.cputurboclock>3600;,1.0,0,12.522800000624557,0,0.0
52,SELECT COUNT(*) FROM fps f WHERE f.cpunumberofcores>4 AND f.cpucachel3<16 AND f.gpunumberoftmus=104 AND f.gpuboostclock=1725 AND f.cpunumberoftransistors=0 AND f.cpumultiplierunlocked=2 AND f.cpucachel1=768 AND f.gpubandwidth=192300 AND f.gputexturerate<136700 AND f.cpubaseclock>100;,1.0,0,24.50479999970412,0,0.0
53,SELECT COUNT(*) FROM fps f WHERE f.cpunumberoftransistors<4800 AND f.gpunumberofshadingunits<2048;,231089.71879985085,230936,6.759700000657176,0,0.0
54,SELECT COUNT(*) FROM fps f WHERE f.cpucachel3>6 AND f.cpumultiplier>35 AND f.gpufp32performance<5437000 AND f.gameresolution>1080 AND f.gpuvulkan>1 AND f.gpubaseclock>1506;,1.0,0,13.141800000084913,0,0.0
55,SELECT COUNT(*) FROM fps f WHERE f.cpucachel1<256 AND f.gpuprocesssize>40 AND f.cpucachel2<1024 AND f.gpunumberofcomputeunits<0 AND f.cpunumberofthreads<4 AND f.gpufp32performance>3920000 AND f.gamename>22;,1.0,0,15.73279999956867,0,0.0
56,SELECT COUNT(*) FROM fps f WHERE f.gpudiesize=0 AND f.cpunumberofthreads>6 AND f.cpucachel2<3072 AND f.cpumultiplier>17 AND f.gpubaseclock>1257;,1.0,0,14.555900000232214,0,0.0
57,SELECT COUNT(*) FROM fps f WHERE f.gpunumberoftransistors=5700 AND f.cpufrequency<3700 AND f.gpushadermodel=9 AND f.gpunumberofrops>64 AND f.gpufp32performance<364800 AND f.cpunumberofcores<4 AND f.cpucachel2>1536 AND f.cpunumberofthreads<8 AND f.gpubaseclock<1506 AND f.cpumultiplierunlocked<2;,1.0,0,27.371600000151375,0,0.0
58,SELECT COUNT(*) FROM fps f WHERE f.cpucachel3>15 AND f.gpunumberofshadingunits<1920;,25866.85668918735,26358,7.276100000126462,0,0.0
59,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofshadingunits<1280;,109971.0,109971,2.5945999996110913,0,0.0
60,SELECT COUNT(*) FROM fps f WHERE f.gpushadermodel>9 AND f.gpubaseclock=1120 AND f.gpunumberofcomputeunits<0 AND f.cpubaseclock=100 AND f.cpucachel1<384 AND f.gpubandwidth=352300 AND f.gpupixelrate<82030 AND f.gpumemorybus>352 AND f.fps=140 AND f.gpuvulkan>1;,1.0,0,17.48109999971348,0,0.0
61,SELECT COUNT(*) FROM fps f WHERE f.cpumultiplier<17 AND f.gputexturerate<202000 AND f.cpucachel2<6144 AND f.cpumultiplierunlocked>2 AND f.cpubaseclock>100 AND f.fps=140;,1.0,0,16.0836000004565,0,0.0
62,SELECT COUNT(*) FROM fps f WHERE f.cpunumberofcores<6 AND f.cpucachel2<2048 AND f.gameresolution=1080 AND f.gpunumberofcomputeunits>0 AND f.gpubusnterface>6 AND f.gpunumberofexecutionunits>0;,127.23382537026413,0,11.915500000213797,0,0.0
63,SELECT COUNT(*) FROM fps f WHERE f.gpuboostclock<1709 AND f.gpubandwidth=352300 AND f.gameresolution>1080 AND f.cpumultiplier<40 AND f.gpunumberofshadingunits<2304;,1.0,0,10.597100000268256,0,0.0
64,SELECT COUNT(*) FROM fps f WHERE f.gpuboostclock>1200 AND f.gpunumberofrops=56 AND f.gpuprocesssize=14 AND f.gpubandwidth=216700 AND f.gpumemorybus>256;,1.0,0,7.915000000139116,0,0.0
65,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofrops<64 AND f.gamename=12 AND f.gpunumberoftmus>128 AND f.gpunumberofcomputeunits>0;,2063.963718562397,1705,6.42619999962335,0,0.0
66,SELECT COUNT(*) FROM fps f WHERE f.gpuvulkan=1 AND f.cpucachel1=128 AND f.gpunumberofrops<8 AND f.cpuprocesssize<14 AND f.gpubandwidth=256300 AND f.gamename<27;,1.0,0,13.459799999509414,0,0.0
67,SELECT COUNT(*) FROM fps f WHERE f.cputurboclock=4500 AND f.cputdp>15 AND f.cpucachel2=1024 AND f.gamename<16 AND f.gpubandwidth=105800 AND f.gpunumberofrops=64;,1.0,0,16.254600000138453,0,0.0
68,SELECT COUNT(*) FROM fps f WHERE f.cpufrequency>3300 AND f.gpuvulkan>1 AND f.gpumemorytype>4 AND f.gamesetting<3 AND f.gpunumberoftransistors<3300;,6632.55234615386,6335,10.325299999749404,0,0.0
69,SELECT COUNT(*) FROM fps f WHERE f.gpuprocesssize=16 AND f.gputexturerate<277300 AND f.gpuvulkan=1 AND f.gpubusnterface=6 AND f.cpucachel1=256 AND f.cpunumberofthreads=8 AND f.gameresolution>1080 AND f.gpunumberofrops<48;,1.0,3,14.525100000355451,0,0.0
70,SELECT COUNT(*) FROM fps f WHERE f.gpunumberofexecutionunits>0 AND f.cpumultiplierunlocked=1 AND f.gpumemorysize=8000 AND f.cpumultiplier>42 AND f.gpufp32performance>3920000 AND f.gpudiesize=0 AND f.gpupixelrate>82030 AND f.cpufrequency<4000;,1.0,0,16.71399999941059,0,0.0
71,SELECT COUNT(*) FROM fps f WHERE f.gpumemorytype>5 AND f.cpuprocesssize>14 AND f.cpucachel2<4096 AND f.gpunumberofexecutionunits<0;,1.0,0,9.361700000226847,0,0.0
