prediction,true
501,838
190282,297013
31366477,31427248
524,12
803983,733244
8308,515
603498,1141529
4344448,4344670
3511660,7987245
598229,381253
68,46
8119492,3311512
1037288,1038381
427058,2706674
1235,3495
1081028,1274246
6013840,7451973
2999102,2990419
334358,267611
1589,3303
249,8
1317474,1312009
33400113,33316050
4416614,4416021
634302,1215398
4085,11017
14371236,14570665
277,325
53,143
946882,789644
959762,1214571
41051,136323
10918298,14469750
233056,1011676
619109,714822
717757,3056412
266,5629
956291,956615
9,2
677871,435786
1076460,2929788
12990543,11216419
2236180,2235039
65479,96573
997984,1152615
3926427,4172273
307410,709850
9730,15207
11171,42883
613307,2889401
15217,12001
313452,549622
8128,22900
501,33
319976,175118
1158286,222131
13238297,7657830
720441,2192596
789281,14887750
249,39
710105,712963
11,12
23775120,23501220
21520,12691
165171,131642
101566,96943
61968,52890
3680583,2310810
273,42
182572,81344
2369774,2370751
591685,56946
2110169,3671545
173526,741932
2349520,662416
6481,213
24207874,39982151
125,398
128703,4198516
511276,744542
51,2
12576467,6646317
3633524,843688
19058,49402
434,2
277,1
4079742,4072192
55717932,47016857
20354,20114
824844,1042283
152,59
48689,20754
1026570,1029245
2021961,2016503
249,8
3228,483
22300560,22363041
1898068,1892838
103,561
15930424,28177721
267725,6081642
1840321,7261
1902889,5995389
34,19
21961899,24382536
3037960,33128308
42,2
5318045,2314071
15564215,20032173
3701530,6694220
1557111,1556102
11130735,11429999
50140,12698
1057095,1194165
68197621,314536973
9995577,81818979
173,922
198380,203113
269205,624234
2393092,2728943
6695845,7567967
249,149
1078910,56848525
5924251,29586445
1551579,1879167
5205806,5157644
501,33
53259056,177494679
249,355
13114,86532
3000570,2990610
103,77
1038082,10169372
1186913,2848793
6877908,6639277
860031,544532
167713,120023
51611,1346178
2717990,18332497
103,156
3264627,1997146
172433,387979
1467174,4479478
48,45
418554,744010
249,42
255611,258248
249,210
313850,393813
17525535,17363671
21316,85618
28327136,28150437
3942421,3932302
1940621,1935005
12414070,12761011
12440984,10031889
1230289,2697169
7417574,9847312
57250,106824
2861240,2945450
9101621,35390077
5738406,5291581
10130,74146
23021693,22791697
171011,459573
4381,5674
368634,2088756
774716,3246200
698,12632
171858,72446
2143554,7813854
9,14
22005,27192
15175,17561
683113,1543595
92379,278473
451642,1345620
92,1143
8735618,8770496
4003303,3985017
180646,77964
1059681,1056939
670892,740622
28304,29660
249,1
12381274,12500073
1265669,413446
1558550,3041298
2594240,2599585
8669,1520208
15626579,133915414
2218831,2218831
1429269,1267919
3476585,3476378
153,429
14099,13130
6470,69236
5400297,2575581
1395,4694
819090,3433275
6132560,146979016
302429,116706
101261,269383
4295651,4361932
3371679,3376865
793770,795055
3241,22432
11438778,11957367
300584,129336
3795707,479803
404115,258870
484282,488154
188626,101317
29360,33759
151112,313480
27911610,27712580
446862,1674159
491056,1420415
6047898,19778058
2450,21316
873786,3674270
289591,409629
99651,32576
258510,69434
213659,420042
14912,773
501,778
4515,429
249,314
6341507,58986126
7857324,12670688
934930,1303666
34197,10318
7108,49936
135935,450441
580,155
3418381,3411365
1285132,1357579
438295,2771514
334748,336309
4964466,9949305
831306,610917
314734,369694
165991,442387
32070,32529
41495,288926
1258863,4494302
434015,442278
2103720,9057189
85912,87344
397117,659386
10561,21499
3077972,19953519
1648,16640
222042,378799
184987,81160
35448984,35495160
52206,458296
301586,680091
159373,433169
106,982
9646,131640
397670,378876
164,1602
3570,8594
109324,194499
6875938,3347285
72,6128
11302040,17454365
26559820,26663241
572172,917195
9740714,6771894
59907,322839
2035,1930
6392076,23998365
3574,20356
2305,3928
1086743,8155239
709107,757992
145246,255300
19,35
494817,3402734
7041480,3199424
51284,148117
233,1650
6500177,4568446
249,93
498022,499840
374387,2388210
18561747,163571133
270973,390941
45,132
1083549,1082138
733242,517333
225,397
34,5
10268346,83791280
168764,1660869
46505,1076953
87,297
51,1
1627005,1748180
79,87
51,12
935671,1237707
454566,328221
103,2
4069998,1765741
2498607,2504778
1645169,10453544
2,17
562948,857942
3369618,2726265
291613,7324555
9726,9842
1318016,1248879
11646155,17601365
4083267,11160062
249,38
103372,582731
14402005,41903582
2342537,1069051
86,777
2138983,2137953
40,5
1595519,6701798
1646971,2422668
8000,2785
501,152
249,313
3241241,25498396
450593,458418
569251,2252536
658700,665228
84104,93082
12554694,27217405
951815,4891061
86026,97842
1428691,1426839
5142745,5093894
6807241,6989602
583462,554134
1638689,1108456
1,1
56,26
72600566,184062220
90939,23119
308646,169569
3395420,1721700
116,44
1033683,1057866
17248254,60055286
1644,5042
249,15
27101534,28808107
2405128,4715345
403787,361427
1494,2340
8465647,8269208
75610,729031
120778,1696420
6749717,499598
31177288,31241811
563989,2418890
511634,822645
68,1163
2148412,22788070
7,23
14668023,15356047
35635620,117331447
9041652,9233840
20540,383352
410393,408662
1752945,1747317
854048,9536222
3068452,6539903
15269,83685
1580134,1581674
108002,364715
8457829,8246266
1219141,6569607
1519843,798359
249,174
103,42
114212,1081773
20458,22338
4725311,6384033
293890,3529832
519388,2148400
1159837,1149553
36781,116285
4211909,4209924
135601,322988
60059,135565
468064,1012740
362626,295368
10876967,10808855
375915,386906
11947288,18038074
1672,2438
173,636
24937260,25009887
22138,21203
1262651,1262230
1311933,1314151
3123245,3557392
18756083,38668961
2881706,2230863
1890402,1886579
2267248,1815
2173968,3224306
108457,313244
1535,13961
27,53
20987370,20289593
1604341,1602477
110,5
11168630,10699647
249,198
3267793,3269126
1144405,8958418
770804,2155279
1019442,5282211
13554246,28667223
4181035,4178571
51,3377
1274,84
121,25
35,809
51,4
369,4
249,12
48144,122281
234470,555594
11315320,6734607
434984,2388929
501,216
62841,27931
246720,271772
139024,111888
4031772,1985670
3185054,3182031
63,1
29,9
21588,422368
679720,542199
10634168,12670688
148,13
56360,1506232
3798,10423
37784,208438
458555,184692
17239,143
55928,92962
5882785,4411556
3214040,8862210
1664,134
823216,829552
53742,133042
82,96
126061,236526
12082937,11952549
35149791,29054459
229970,340690
307674,923627
256382,260933
1603699,1601485
1729478,21334377
2724832,2716578
302846,964327
373,480
667133,673287
23901,18944
103,115
2471574,17895478
3237584,2573351
379091,242392
531817,834635
4213846,4213440
457932,656031
817540,425568
249,292
249,132
2442990,10352430
7249,2796
249,1
53,81
430168,245664
1452553,1072779
553479,433035
601688,391392
8706946,4800657
960365,4008495
49143,49435
647393,2680860
136,279
679543,2319573
1263991,1299763
2339622,2339935
107481,156255
39,2
17880399,16464942
509608,923233
2394119,594081
84,51
5318844,4574556
129923,761277
7074456,5915090
12398230,45587737
