prediction,true
600.0007283903952,838
270001.5726843713,297013
31040185.006531008,31427248
1,12
1000031.3227319592,733244
1,515
1,1141529
4346228.821591989,4344670
9000281.904587632,7987245
390404.3392740792,381253
1,46
3306504.0140380696,3311512
970011.0364174921,1038381
1,2706674
1,3495
1269514.110421218,1274246
7370043.92713059,7451973
2996019.86781317,2990419
220003.48947913677,267611
1,3303
1,8
1180018.7162971883,1312009
33000196.688644435,33316050
4300048.924324964,4416021
2000062.3744470016,1215398
1,11017
14571917.690053333,14570665
1,325
1,143
784408.7185619563,789644
1130017.923233748,1214571
1,136323
14490086.364195693,14469750
2000073.480714797,1011676
610006.9404274949,714822
4000146.961429594,3056412
1,5629
940506.2368752625,956615
1,2
445704.9539304741,435786
9000280.685011506,2929788
12000149.47490251,11216419
2050032.5156010475,2235039
1,96573
1145112.7277222031,1152615
4250025.331113298,4172273
650010.3098247224,709850
1,15207
1,42883
7000219.259123714,2889401
10000.059602619525,12001
480014.4521814796,549622
30000.174742707924,22900
1,33
220006.62391651145,175118
1000012.5917477962,222131
7460044.463554166,7657830
1,2192596
16000201.467964739,14887750
1,39
702004.6552753155,712963
1,12
23477428.50118777,23501220
1,12691
1,131642
90000.53642357573,96943
90000.52422812377,52890
2410014.3642313057,2310810
1,42
1,81344
2379315.7782002254,2370751
70001.11028881624,56946
3000051.2258161525,3671545
2000073.480714797,741932
780008.8746449937,662416
1,213
19000133.736211885,39982151
1,398
7000157.449742137,4198516
1000007.038747994,744542
1,2
6638008.0584257385,6646317
1270007.5695326799,843688
1,49402
1,2
1,1
4077727.0410486525,4072192
35000246.35617979,47016857
40000.45510999967,20114
1032811.4795140086,1042283
1,59
50000.29801309763,20754
1027406.8131479475,1029245
2014722.3932773753,2016503
100.00066314463184,8
10000.059602619525,483
21910130.58933938,22363041
1893321.0439231917,1892838
1,561
26000183.007447846,28177721
6000134.956921832,6081642
1,7261
6000102.451632305,5995389
1,19
24130143.821120914,24382536
23000389.614607032,33128308
1,2
2307302.801025265,2314071
20012124.294369046,20032173
6000102.451632305,6694220
1537210.1938592808,1556102
11455413.90667222,11429999
20000.227554999834,12698
1070016.9715576197,1194165
303002132.7406422,314536973
71000884.39317319,81818979
1,922
206802.29857038826,203113
590006.7128724952,624234
2860017.0463491846,2728943
7578409.200056285,7567967
100.00066314463184,149
47000585.443368174,56848525
24000302.201947108,29586445
1,1879167
5125606.22239635,5157644
1,33
160001126.19967902,177494679
400.0026525785274,355
1,86532
2996519.8711288935,2990610
1,77
11000137.018660635,10169372
1000016.9397655231,2848793
6670039.754947224,6639277
554306.1610133763,544532
120000.6989708317,120023
1,1346178
23000517.33486702,18332497
200.00222298877006,156
2004802.433795107,1997146
381100.4626492993,387979
1,4479478
1,45
741208.2383963818,744010
100.00066314463184,42
263902.9332336821,258248
1,210
