prediction,true
600.0007283903952,838
250001.4561892327,297013
32220192.039640114,31427248
1,12
1,733244
1,515
1000041.2239899228,1141529
4338528.770529852,4344670
10000313.22731959,7987245
379104.2136752137,381253
1,46
3320404.030912447,3311512
1080012.287969991,1038381
4000067.7590620923,2706674
1,3495
1274014.1604384654,1274246
7700045.894017035,7451973
3001119.901633546,2990419
260004.12392988894,267611
1,3303
1,8
1220019.3507479404,1312009
34130203.42374044,33316050
4920055.97852996,4416021
2000062.3744470016,1215398
1,11017
14592717.7153042,14570665
1,325
1,143
784108.7152274731,789644
1120017.7646210599,1214571
1,136323
14670087.437042845,14469750
1,1011676
770008.7608674937,714822
4000146.961429594,3056412
1,5629
961706.3774619245,956615
1,2
433104.8138821816,435786
3000093.561670502,2929788
9000112.106176883,11216419
2240035.5292421198,2235039
1,96573
1154712.834425664,1152615
4510026.880781406,4172273
560008.8823105299,709850
1,15207
1,42883
4000125.2909278367,2889401
10000.059602619525,12001
420012.6456587946,549622
10000.058247569308,22900
1,33
240007.2260907398,175118
1,222131
8210048.93375063,7657830
4000164.895959691,2192596
27000339.9771905,14887750
1,39
719104.7686730475,712963
1,12
23501528.530444786,23501220
1,12691
1,131642
100000.59602619526,96943
50000.29123784655,52890
2570015.317873218,2310810
1,42
1,81344
2362715.6681182166,2370751
100001.58612688037,56946
4000068.301088203,3671545
1,741932
600006.826649995,662416
1,213
35000246.35617979,39982151
1,398
5000112.464101527,4198516
2000014.077495988,744542
1,2
6655008.079063466,6646317
1240007.390724821,843688
1,49402
1,2
1,1
4058826.9157143175,4072192
56000394.16988767,47016857
30000.341332499753,20114
1043111.5939979303,1042283
1,59
20000.11920523905,20754
1020906.7700435465,1029245
2013022.3743819708,2016503
1,8
1,483
22980136.96681967,22363041
1887520.9794565174,1892838
1,561
18000126.697463892,28177721
11000247.421023358,6081642
1,7261
3000051.2258161525,5995389
1,19
24810147.874099042,24382536
45000762.28944854,33128308
1,2
2288402.7780809673,2314071
20020224.30420232,20032173
7000119.526904357,6694220
1564610.3755609097,1556102
11433113.879600378,11429999
10000.113777499917,12698
1080017.1301703078,1194165
349002456.5230499,314536973
135001681.59265324,81818979
1,922
200702.23076923078,203113
770008.7608674937,624234
2780016.569528228,2728943
7556709.173712832,7567967
100.00066314463184,149
82001021.41183382,56848525
20000251.834955923,29586445
4000125.2909278367,1879167
5160106.2642787965,5157644
1,33
225001583.71829864,177494679
500.00331572315923,355
1,86532
3001319.9029598357,2990610
1,77
21000261.581079394,10169372
2000033.8795310461,2848793
6940041.364217951,6639277
539705.9987351961,544532
70000.40773298516,120023
2000024.9124837518,1346178
26000584.81332794,18332497
200.00222298877006,156
1979402.4029599137,1997146
384600.46689824335,387979
3000037.3687256277,4479478
1,45
750108.3373193822,744010
1,42
255702.84209114255,258248
1,210
410002.3881503417,393813
17323321.03020889,17363671
1,85618
28171534.19975003,28150437
3921326.0038904487,3932302
1945512.9014788123,1935005
12770076.112545133,12761011
10012912.155500313,10031889
2720015.843338852,2697169
9887812.003630916,9847312
210002.38932749827,106824
2923903.549567794,2945450
43000734.23669819,35390077
5000085.376360254,5291581
1,74146
22780527.655162327,22791697
480007.6134090257,459573
20000.317225376075,5674
4000028.154991976,2088756
2000073.480714797,3246200
1,12632
120000.71523143431,72446
11000138.509225758,7813854
1,14
30000.475838064107,27192
1,17561
1,1543595
1,278473
2000082.4479798456,1345620
1,1143
8850051.549098838,8770496
4460050.744764963,3985017
70001.11028881624,77964
1059707.0273436636,1056939
1,740622
28800.32011038289,29660
1,1
12840076.52976347,12500073
480007.6134090257,413446
4000050.3669911847,3041298
2520014.678387466,2599585
3000037.3687256277,1520208
215002678.09200332,133915414
2214114.6826852937,2218831
1280020.3024240688,1267919
3950044.9421124677,3476378
1,429
1,13130
2000044.9856406106,69236
2580803.1330498867,2575581
1,4694
2000073.480714797,3433275
210002615.81079394,146979016
112900.1370587927,116706
1,269383
4470026.036663481,4361932
3389522.477287296,3376865
800905.3111253564,795055
1,22432
11910070.986719854,11957367
150000.8940392929,129336
1,479803
230006.92500362566,258870
487005.4129776552,488154
70002.1076097991,101317
20000.227554999834,33759
2000024.9124837518,313480
27735733.670695804,27712580
1870010.8922954607,1674159
1000041.2239899228,1420415
13000163.692721352,19778058
1,21316
4000125.2909278367,3674270
1,409629
1,32576
80000.46598055447,69434
470007.4547963377,420042
1,773
1,778
1,429
300.0019894338955,314
83001033.8680757,58986126
12690075.635724178,12670688
2000062.6454639183,1303666
50001.50543557079,10318
1,49936
2000062.3744470016,450441
1,155
3840043.6905599684,3411365
1160034.9261052422,1357579
3000093.561670502,2771514
331900.40292128694,336309
11000344.55005155,9949305
1000031.3227319592,610917
1000041.2239899228,369694
1000031.3227319592,442387
1,32529
1,288926
6000074.737451255,4494302
455503.020623798,442278
6000220.442144391,9057189
70000.41721833668,87344
600003.5761571716,659386
20000.317225376075,21499
26000323.862288777,19953519
1,16640
400002.3299027724,378799
100001.13777499918,81160
36240215.99989316,35495160
2000024.9124837518,458296
1000017.0752720508,680091
1,433169
1,982
1,131640
1,378876
1,1602
1,8594
160001.82043999867,194499
3120018.173241624,3347285
1,6128
14000176.284469146,17454365
26702132.415921953,26663241
1,917195
6750040.23176818,6771894
1,322839
1,1930
17000290.279624864,23998365
60000.682664999506,20356
4400.048905752941,3928
7000157.449742137,8155239
810004.8278121817,757992
200006.02174228316,255300
1,35
1000016.9397655231,3402734
3010017.532518362,3199424
1,148117
1,1650
4970029.622501904,4568446
300.0019894338955,93
497805.5330190487,499840
1,2388210
235002927.21684083,163571133
1,390941
1,132
1084407.1911403877,1082138
518505.76309838647,517333
200.0002427967984,397
1,5
136001694.04889512,83791280
1,1660869
1,1076953
1,297
1,1
1860011.0860872318,1748180
1,87
1,12
1235913.7369591047,1237707
330001.92216978717,328221
1,2
1,1765741
2491216.5202590683,2504778
6000101.638593138,10453544
1,17
820013.0062404189,857942
9000153.677448459,2726265
12000203.277186276,7324555
10200.113372427273,9842
1350015.359962489,1248879
17565021.32362882,17601365
20000140.774959877,11160062
1,38
1,582731
44000309.70491173,41903582
1070006.3774802892,1069051
1,777
2139514.1879793983,2137953
1,5
6000220.442144391,6701798
2340013.947012969,2422668
1,2785
300.0003641951976,152
200.0013262892637,313
33000742.263070073,25498396
471503.12672693917,458418
1,2252536
673804.4682685294,665228
93800.44520033225,93082
34000428.119425066,27217405
4000068.301088203,4891061
50000.29801309763,97842
1433409.5055151528,1426839
4960029.562899284,5093894
6976408.469237921,6989602
1,554134
1240007.390724821,1108456
1,1
1,26
250001759.6869985,184062220
20000.227554999834,23119
169201.8806484995,169569
1710010.192047939,1721700
1,44
1010006.0198645721,1057866
96000675.71980742,60055286
1,5042
1,15
28820734.98786844,28808107
3000051.2258161525,4715345
390002.32450216153,361427
1700.0188954045457,2340
8330049.648982065,8269208
1,729031
1,1696420
491700.5969159288,499598
31237337.92158215,31241811
1,2418890
826709.1887240811,822645
1,1163
42000528.85340744,22788070
1,23
15780094.052933611,15356047
133001674.70245689,117331447
9208711.179214386,9233840
1,383352
411804.57713387755,408662
1820028.8675092226,1747317
19000321.85554494,9536222
6540307.939819503,6539903
1,83685
1590110.544662791,1581674
1,364715
8440050.30461088,8246266
32000398.59974003,6569607
680007.7368699944,798359
300.0019894338955,174
1,42
1000012.4562418759,1081773
10000.113777499917,22338
6000187.123341004,6384033
1,3529832
1000036.7403573985,2148400
1300014.7910749894,1149553
1,116285
4204927.884568624,4209924
230003.64809182484,322988
1,135565
1,1012740
1,295368
10850064.668842185,10808855
399102.6466102257,386906
18480110.145640884,18038074
1,2438
700.0008497887944,636
25047930.40774963,25009887
20000.116495138616,21203
1252008.3025707905,1262230
1316914.6372695565,1314151
3850043.8043374685,3557392
34001064.972886615,38668961
3000050.819296569,2230863
1881120.908320877,1886579
1,1815
3090018.4172094334,3224306
1,313244
1,13961
1,53
36000614.709793836,20289593
2000062.3744470016,1602477
1,5
11050065.860894576,10699647
100.00066314463184,198
3265021.6516722296,3269126
6000074.737451255,8958418
2270025.8274924816,2155279
6000102.451632305,5282211
27000845.713762898,28667223
4178927.71215102,4178571
1,3377
1,84
1,25
1,809
1,4
1,4
1,12
1,122281
1000031.3227319592,555594
10000125.917477962,6734607
1,2388929
100.0001213983992,216
25600.031077990196,27931
1000041.2239899228,271772
60000.357615717156,111888
1790010.426314906,1985670
3178621.0787152676,3182031
1,1
1,9
