prediction,true
900.0010925855928,838
266689.93176591495,297013
31319763.37873585,31427248
1,12
756984.0367327961,733244
703.0315585330137,515
1097129.0469275874,1141529
4345028.797079816,4344670
7668115.487886255,7987245
380604.0104485395,381253
1,46
3312804.0216861684,3311512
1027248.4654647761,1038381
2616640.0425612587,2706674
3632.877638833071,3495
1275729.9902715737,1274246
7444530.152297852,7451973
2988759.7180798086,2990419
272424.72893154284,267611
7265.755277666142,3303
87.0697122787571,8
1303972.8914590548,1312009
33097884.38306561,33316050
4388139.3594248,4416021
1232886.7440507635,1215398
12332.94599793209,11017
14591117.713361824,14570665
2092.7277414630394,325
200.86615958086108,143
789448.6354681978,789644
1243411.7443454254,1214571
124985.27325675951,136323
14543760.227254303,14469750
945180.4086340088,1011676
724420.0061592591,714822
3095126.024204527,3056412
8706.981797999399,5629
957301.7971929379,956615
1,2
435415.1344211366,435786
3077868.0532695865,2929788
12053398.279761376,11216419
2225345.965456465,2235039
110476.52188603983,96573
1151501.520821205,1152615
4176386.9960464058,4172273
706396.0667059931,709850
18176.94707448254,15207
47036.205218575546,42883
2788888.5563839856,2889401
11858.790534957223,12001
540220.3379744327,549622
16561.04501330093,22900
1,33
177293.4144244721,175118
191553.59955598676,222131
7642641.71182302,7657830
2168445.5422108346,2192596
14627729.420638988,14887750
12.481769547211561,39
712858.8223803467,712963
1,12
23490628.51721236,23501220
10940.355484013431,12691
126115.3988623356,131642
103241.23524550995,96943
61104.545393903434,52890
2438027.818804441,2310810
1,42
104483.78157599279,81344
2371873.221747971,2370751
55288.41042463201,56946
3705985.1432680637,3671545
695872.9139680058,741932
648234.0079153465,662416
1,213
40774484.46329362,39982151
1,398
4284118.3880720055,4198516
571071.2109704989,744542
1,2
6651308.074571726,6646317
1203318.4513412477,843688
36353.89414896508,49402
1,2
1,1
4072389.5048600743,4072192
50796784.21582588,47016857
20200.173248671646,20114
1040734.6749364728,1042283
87.0697122787571,59
25810.308811377487,20754
1030457.448509145,1029245
2018250.1102187103,2016503
12.481769547211561,8
1,483
22291038.326150473,22363041
1894799.103519726,1892838
502.1653989521527,561
25098579.72215343,28177721
5725111.53718357,6081642
1,7261
6126425.304589482,5995389
1,19
24295871.502472065,24382536
33323620.086412508,33128308
1,2
2317602.8135293,2314071
20019924.30383812,20032173
6513093.131190621,6694220
1557412.7952533227,1556102
11431213.87729381,11429999
13408.735690928592,12698
1191889.5744129345,1194165
301582706.5135205,314536973
80043545.82056792,81818979
1395.1518276420263,922
204335.9277596753,203113
624202.7673264096,624234
2726126.6712125195,2728943
7579409.201270269,7567967
174.74477366096187,149
56350171.55567922,56848525
29124854.11430799,29586445
1766296.0857098575,1879167
5138506.238056743,5157644
1,33
169493935.41604406,177494679
312.044238680289,355
69580.90971715067,86532
2988984.3899316583,2990610
71.98729179484774,77
9269925.761578752,10169372
2594029.64156505,2848793
6707889.987302863,6639277
544447.086573613,544532
122209.09078780687,120023
1261650.7956935326,1346178
17580241.77741677,18332497
194.3656878460889,156
1977402.4005319458,1997146
399200.48462240957,387979
4437161.69671878,4479478
1,45
742808.0691143159,744010
99.85415637769249,42
258931.08985688785,258248
1,210
394609.72773072217,393813
17343921.055216957,17363671
84207.58463452762,85618
28145934.16867204,28150437
3932980.620787269,3932302
1936484.1364021376,1935005
12637982.830695294,12761011
10024712.169825325,10031889
2702020.1544977017,2697169
9854911.963690843,9847312
98737.05372411055,106824
2942803.5725120916,2945450
34975862.497103065,35390077
5257678.10975835,5291581
80452.92686045547,74146
22779227.653584152,22791697
467064.0375653973,459573
6076.201327321048,5674
