query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=172968;,1.0,838,1.4620000001741573,0,0.0
1,"SELECT COUNT(*) FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<3 AND t.production_year=2008 AND mi.info_type_id>2;",286063.4383421724,297013,4.541299997072201,0,0.0
2,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<3194645;",31169959.807116617,31427248,1.29640000523068,0,0.0
3,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id=1742124 AND ci.role_id>2 AND mi.info_type_id<7;",3.54803808202834,12,8.807300000626128,0,0.0
4,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>0 AND ci.role_id=2 AND mi_idx.info_type_id=101;",365855.22405065486,733244,38.77529999590479,0,0.0
5,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<2000 AND mc.company_id=160 AND mc.company_type_id=2;",5938.828270018963,515,5.131300000357442,0,0.0
6,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<77942 AND mc.company_type_id>1;",890347.7864487834,1141529,11.929699998290744,0,0.0
7,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<71692;,2986935.062428097,4344670,1.9574999969336204,0,0.0
8,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id>681261 AND ci.role_id>1 AND mi_idx.info_type_id=99;",2971707.544813168,7987245,15.853799995966256,0,0.0
9,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<9749 AND mc.company_type_id>1;,243243.78495821482,381253,2.7206999948248267,0,0.0
10,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=43268 AND mk.keyword_id<2560;",7.258914189933912,46,9.957500005839393,0,0.0
11,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1278953 AND ci.role_id<2;,3317497.824972583,3311512,1.802599996153731,0,0.0
12,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<1029;",714409.5668203912,1038381,1.9346000044606626,0,0.0
13,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND mc.company_id>83328 AND mi.info_type_id<8;",2129636.9006641177,2706674,20.04999999917345,0,0.0
14,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year=1994 AND mc.company_id>50785 AND mc.company_type_id>1;",1976.12314269305,3495,28.90320000005886,0,0.0
15,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<80833 AND mc.company_type_id=1;,820814.2724996496,1274246,2.832400001352653,0,0.0
16,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2945474 AND ci.role_id=2;",7293801.0717156585,7451973,1.8830999979400076,0,0.0
17,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>2237;,2055205.8895371822,2990419,1.8138000014005229,0,0.0
18,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>4 AND t.production_year<2004 AND mc.company_id<5363;",185407.6304201621,267611,6.611799995880574,0,0.0
19,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year=2013 AND mc.company_id<239 AND mc.company_type_id<2;",2222.5010568890402,3303,29.462600003171246,0,0.0
20,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id=62398;",5.504026493713225,8,1.9258000029367395,0,0.0
21,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id<213849 AND mc.company_type_id>1;",845078.588237155,1312009,2.766500001598615,0,0.0
22,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>284738;",33045303.781061433,33316050,1.291799999307841,0,0.0
23,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<80578;",3036024.7867221897,4416021,1.9191000028513372,0,0.0
24,"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1978 AND mi.info_type_id=3;",853199.8396320012,1215398,4.105799998797011,0,0.0
25,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<4 AND t.production_year=1966 AND mc.company_id<7563 AND mc.company_type_id=2 AND mi.info_type_id>6;",17095.912103205905,11017,28.441599999496248,0,0.0
26,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<1436321;,14499883.26516491,14570665,1.2491999950725585,0,0.0
27,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=2610477 AND ci.role_id<3;",1.0,325,1.8885999961639754,0,0.0
28,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id=43276 AND mc.company_type_id>1;",64.88960543834602,143,2.8684999997494742,0,0.0
29,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>1127 AND mc.company_type_id=1;,525646.3526526697,789644,2.703400001337286,0,0.0
30,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<1996;",780771.6004995313,1214571,2.9020000001764856,0,0.0
31,"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year=2008 AND mi_idx.info_type_id=101;",103903.69943046948,136323,7.121000002371147,0,0.0
32,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>1 AND ci.person_id<2769705 AND ci.role_id<3;",14217021.370025445,14469750,4.31150000076741,0,0.0
33,"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>40491;",756213.3443390114,1011676,3.698299995448906,0,0.0
34,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year<2007 AND mk.keyword_id>19735;",491885.53086267505,714822,3.428700001677498,0,0.0
35,"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id=100 AND mk.keyword_id>430;",2157310.8289680947,3056412,5.9115999974892475,0,0.0
36,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.role_id=4 AND mk.keyword_id=2830;",7824.82451168354,5629,6.150799999886658,0,0.0
37,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>19819;,658154.2880352259,956615,1.683399998000823,0,0.0
38,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>2011 AND mk.keyword_id=4755;",4.955069719966366,2,5.929600003582891,0,0.0
39,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<11393 AND mc.company_type_id>1;,277595.59943828586,435786,2.5939999977708794,0,0.0
40,"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year<1965 AND mi.info_type_id<90;",2179853.3139989506,2929788,4.13989999651676,0,0.0
41,"SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>3 AND t.production_year<2011 AND mi.info_type_id<18;",10146880.959826795,11216419,6.080600003770087,0,0.0
42,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>213;",1439640.6751868716,2235039,2.519399997254368,0,0.0
43,"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id=27 AND mc.company_type_id=1 AND ci.person_id<1265390;",91737.68795338988,96573,9.446500000194646,0,0.0
44,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>868 AND mc.company_type_id=2;,724601.4016718472,1152615,2.8719999972963706,0,0.0
45,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year<2006 AND ci.person_id>473664 AND ci.role_id=2;",3811559.822478551,4172273,2.927000001363922,0,0.0
46,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<4 AND t.production_year>1910 AND mc.company_id>1461 AND mc.company_type_id=2;",477972.7360567991,709850,7.383899996057153,0,0.0
47,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=1995 AND mc.company_id>4436 AND mk.keyword_id>12216;",11100.020543478573,15207,30.4415999999037,0,0.0
48,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<4 AND t.production_year<1961 AND mc.company_id>17484 AND mc.company_type_id=1;",22497.749750571234,42883,28.11410000140313,0,0.0
49,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year<1959;",1080782.253166005,2889401,24.96469999459805,0,0.0
50,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=2000 AND ci.person_id>1066564 AND ci.role_id=3;",17459.610748248273,12001,5.072899999504443,0,0.0
51,"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year>1961 AND mi_idx.info_type_id<101;",206462.59274169864,549622,5.462100001750514,0,0.0
52,"SELECT COUNT(*) FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year=1994 AND mi.info_type_id>17;",23137.77537150289,22900,4.3917000002693385,0,0.0
53,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=3587349;",1.0,33,1.4181000005919486,0,0.0
54,"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id>4 AND t.production_year<2005 AND mi_idx.info_type_id<101;",64978.90440039583,175118,5.45080000301823,0,0.0
55,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>2678609 AND ci.role_id=2 AND mk.keyword_id<1776;",229526.84063071272,222131,7.748299998638686,0,0.0
56,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2043231 AND ci.role_id>1;",7480004.227779359,7657830,1.6770999936852604,0,0.0
57,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<11373;",1411152.059311968,2192596,7.348200000706129,0,0.0
58,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>2869415 AND ci.role_id>9 AND mk.keyword_id<2980;",14220746.679278625,14887750,7.506099995225668,0,0.0
59,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id=34013;,26.832129156838434,39,1.8219000048702583,0,0.0
60,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>26476;,490520.90512960235,712963,1.78089999826625,0,0.0
61,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND mc.company_id=3232 AND mc.company_type_id=1;",916.1745513962444,12,22.71179999661399,0,0.0
62,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1256579;,23280283.75632789,23501220,1.3271999996504746,0,0.0
