query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=172968;,757.5067895999118,838,7.47799999999188,0,0.0
1,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<71692;,2989130.836416702,4344670,1.2888999999631778,0,0.0
2,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<9749 AND mc.company_type_id>1;,262810.2672101491,381253,3.1487000001106935,0,0.0
3,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1278953 AND ci.role_id<2;,3302805.4898617407,3311512,2.548200000092038,0,0.0
4,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<80833 AND mc.company_type_id=1;,819487.0829148446,1274246,2.3466000000098575,0,0.0
5,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>2237;,2057401.6635267604,2990419,1.2576999999964755,0,0.0
6,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<1436321;,14497534.631664125,14570665,1.787400000011985,0,0.0
7,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>1127 AND mc.company_type_id=1;,521136.00658662355,789644,2.290900000161855,0,0.0
8,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>19819;,658154.2880367959,956615,1.2220999999499327,0,0.0
9,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<11393 AND mc.company_type_id>1;,299087.6223927516,435786,3.1463000000258035,0,0.0
10,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>868 AND mc.company_type_id=2;,729050.9542366485,1152615,2.3118999999951484,0,0.0
11,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id=34013;,26.832129156810556,39,1.2397999998938758,0,0.0
12,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>26476;,490520.905131119,712963,1.2189999999918655,0,0.0
13,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1256579;,23302770.51889721,23501220,2.3791999999502877,0,0.0
14,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<5374;,1631084.539248125,2370751,1.2433000001692562,0,0.0
15,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id=32057 AND mc.company_type_id<2;,2.1379591319760145,2,2.375300000039715,0,0.0
16,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<1931896 AND ci.role_id>1;,6532698.786772574,6646317,2.6090999999723863,0,0.0
17,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=90962 AND ci.role_id<10;,48.54027612677832,2,2.7990999999474298,0,0.0
18,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=892909 AND ci.role_id<3;,1.0,1,2.755299999989802,0,0.0
19,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<39210;,2801665.0700472137,4072192,1.2781999998878746,0,0.0
20,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>4434 AND mc.company_type_id=2;,653691.7900746439,1042283,2.8147000000444677,0,0.0
21,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<1007;,708123.968564575,1029245,1.2815000000045984,0,0.0
22,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<69853;,1298955.1617934764,2016503,1.8618999999944208,0,0.0
23,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id=88122;,5.504026493732646,8,1.2436999998044485,0,0.0
24,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<43106;,1219290.5675852494,1892838,2.3963999999523367,0,0.0
25,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<814499 AND ci.role_id>1;,2322246.4155658847,2314071,2.5458999998591025,0,0.0
26,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1259307 AND ci.role_id>1;,19826598.50101082,20032173,2.5462000000970875,0,0.0
27,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>10116;,1070586.8174797406,1556102,1.2802000001101987,0,0.0
28,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<1123232;,11373464.273885148,11429999,1.7502000000604312,0,0.0
