query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_discount<0.06;",3274125.9999999995,3274126,0.5507999994733837,0,0.0
1,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.9970000000976142,0,0.0
2,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.4644999999072752,0,0.0
3,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND c.c_acctbal>6967.87;",410013.0279963279,413459,1.6035999997257022,0,0.0
4,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.2646999992066412,0,0.0
5,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey;",1492928.7820055387,1500000,1.3831999995090882,0,0.0
6,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey AND o.o_totalprice<288613.53;",1374681.6027613867,1389269,2.206099999966682,0,0.0
7,"SELECT COUNT(*) FROM partsupp ps,supplier s WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_availqty<3108;",247693.00000000044,247693,0.8133999999699881,0,0.0
8,"SELECT COUNT(*) FROM partsupp ps,supplier s WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_availqty<2886 AND ps.ps_supplycost>71.61 AND s.s_acctbal=9009.30 AND s.s_nationkey>20;",21.386199521645246,21,1.0154999999940628,0,0.0
9,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey AND o.o_totalprice<41523.84 AND c.c_acctbal<4676.00;",78518.70631106538,85007,2.1993999998812797,0,0.0
10,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.3079999996771221,0,0.0
11,"SELECT COUNT(*) FROM supplier s,nation n WHERE n.n_nationkey=s.s_nationkey AND s.s_acctbal<4506.06;",4966.999999999619,4967,1.0296000000380445,0,0.0
12,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey;",6001215.0,6001215,0.3588999998100917,0,0.0
13,"SELECT COUNT(*) FROM supplier s,nation n WHERE n.n_nationkey=s.s_nationkey AND s.s_acctbal=7490.91;",1.0,1,0.41370000053575495,0,0.0
14,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.27349999982106965,0,0.0
15,"SELECT COUNT(*) FROM partsupp ps,supplier s WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_partkey<176120 AND s.s_acctbal>5990.00;",256570.15919996568,256594,0.786599999628379,0,0.0
16,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND c.c_acctbal<5214.67;",846121.4143646647,848661,1.6791999996712548,0,0.0
17,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_supplycost=366.98 AND ps.ps_availqty<1492;",1.489065410649741,2,0.7157000000006519,0,0.0
18,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND ps.ps_supplycost>329.86 AND l.l_suppkey>7542;",991526.9507307595,990044,2.449499999784166,0,0.0
19,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal<9512.16;",143424.9999999084,143425,1.0163000006286893,0,0.0
20,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_extendedprice=18444.03;",12.002430000000828,8,1.6692000008333707,0,0.0
21,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_availqty<6603 AND ps.ps_supplycost<649.91 AND p.p_size>35;",102387.17701180409,102361,0.87340000027325,0,0.0
22,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND ps.ps_supplycost<431.45 AND l.l_linenumber<3 AND ps.ps_availqty<2973;",355234.87054872443,355706,1.9786000002568471,0,0.0
23,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND l.l_discount<0.04 AND l.l_extendedprice<45607.6;",1360588.0000041416,1360084,1.443699999981618,0,0.0
24,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.26419999994686805,0,0.0
25,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey;",800000.0,800000,0.5556999994951184,0,0.0
26,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_tax>0.06;",1334404.8292287255,1334307,0.5234999998720014,0,0.0
27,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.24750000011408702,0,0.0
28,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.24540000049455557,0,0.0
29,"SELECT COUNT(*) FROM partsupp ps,supplier s WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_supplycost<538.92;",431009.0000000198,431009,0.46779999956925167,0,0.0
30,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND l.l_discount>0.06 AND o.o_totalprice>158610.21 AND l.l_tax>0.06;",307622.03292991896,306512,0.8934999996199622,0,0.0
31,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND o.o_totalprice>141788.15;",765153.1473598043,764487,2.206799999839859,0,0.0
32,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey;",1492928.7820055387,1500000,0.22669999998470303,0,0.0
33,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.2752999998847372,0,0.0
34,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey;",800000.0,800000,0.26650000017980346,0,0.0
35,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal=8999.71;",1.0,1,0.613100000009581,0,0.0
36,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey AND c.c_acctbal<7589.45;",1166157.7304576426,1170918,1.569299999573559,0,0.0
37,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal=9083.39;",1.0,1,0.462599999991653,0,0.0
38,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_availqty<5955 AND p.p_size>47 AND p.p_retailprice<1117.18;",3348.9306690708568,3401,0.8717999999134918,0,0.0
39,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND o.o_totalprice=121901.55;",1.0,1,2.2783000003983034,0,0.0
40,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal<1588.23;",35250.000000020445,35250,0.48940000033326214,0,0.0
41,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND p.p_retailprice<1199.14 AND ps.ps_supplycost=553.27;",1.9969999999992516,2,0.7912999999462045,0,0.0
42,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey;",800000.0,800000,0.2768000003925408,0,0.0
43,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.27399999999033753,0,0.0
44,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.24670000038895523,0,0.0
45,"SELECT COUNT(*) FROM supplier s,partsupp ps WHERE s.s_suppkey=ps.ps_suppkey AND s.s_acctbal<2755.92 AND ps.ps_supplycost<580.41;",156553.53000000137,156557,0.9283999997933279,0,0.0
46,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey;",800000.0,800000,0.29460000041581225,0,0.0
47,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey;",800000.0,800000,0.2766999996310915,0,0.0
48,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal>898.98;",124237.99999989473,124238,0.4731999997602543,0,0.0
49,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.26699999943957664,0,0.0
50,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND p.p_size<36;",561328.0,561328,0.6123000002844492,0,0.0
51,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.25180000011459924,0,0.0
52,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_partkey=134597 AND l.l_tax>0.0 AND l.l_extendedprice<53534.95;",20.772180967551726,16,1.5585000001010485,0,0.0
53,"SELECT COUNT(*) FROM partsupp ps,lineitem l WHERE ps.ps_id=l.l_ps_id AND l.l_linenumber=6;",431173.80901405594,429070,1.9823000002361368,0,0.0
54,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.28590000056283316,0,0.0
55,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND p.p_size=39;",16084.000000000031,16084,0.7818000003680936,0,0.0
56,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_tax=0.01 AND l.l_quantity>32.0 AND l.l_suppkey=2845 AND l.l_extendedprice=3139.16;",1.0,0,2.3782999996910803,0,0.0
57,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND c.c_acctbal>7181.28 AND o.o_totalprice<64773.39;",73908.11528357767,76259,2.256400000078429,0,0.0
58,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.28139999994891696,0,0.0
59,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal<8569.27;",130547.9999999229,130548,0.4726000006485265,0,0.0
60,"SELECT COUNT(*) FROM supplier s,partsupp ps WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_availqty=4780 AND s.s_acctbal>3445.50 AND ps.ps_supplycost<440.55;",25.537604610710225,27,0.9731000000101631,0,0.0
61,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.2486000003045774,0,0.0
62,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.24810000013530953,0,0.0
63,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey;",149999.99999999994,150000,0.27150000005349284,0,0.0
64,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal>9750.20;",3376.999999996185,3377,0.5828000003020861,0,0.0
65,"SELECT COUNT(*) FROM supplier s,nation n WHERE n.n_nationkey=s.s_nationkey AND s.s_acctbal>-440.01;",9492.99999999906,9493,0.4177000000709086,0,0.0
66,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_linenumber<2 AND l.l_partkey>188512 AND o.o_totalprice>160895.21;",37969.94919520981,38316,2.442699999846809,0,0.0
67,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_linenumber<1 AND l.l_extendedprice=57488.27 AND ps.ps_availqty=7866;",1.0,0,3.1418999997185892,0,0.0
68,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey;",800000.0,800000,0.32360000022890745,0,0.0
69,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.24769999981799629,0,0.0
70,"SELECT COUNT(*) FROM partsupp ps,part p WHERE p.p_partkey=ps.ps_partkey AND ps.ps_supplycost=147.15 AND ps.ps_availqty=7677 AND p.p_retailprice=1761.68;",4.99999999999945e-05,0,1.0179000000789529,0,0.0
71,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal>8377.72;",22086.99999997507,22087,0.5808000005345093,0,0.0
72,"SELECT COUNT(*) FROM partsupp ps,lineitem l WHERE ps.ps_id=l.l_ps_id;",6000776.911305,6001215,0.45649999992747325,0,0.0
73,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.2465999996275059,0,0.0
74,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.24900000062189065,0,0.0
75,"SELECT COUNT(*) FROM supplier s,partsupp ps WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_supplycost<712.45;",569777.0000000772,569777,0.4701999996541417,0,0.0
76,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_availqty<2456;",196020.99999999983,196021,0.7542000003013527,0,0.0
77,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_tax>0.08;",1.0,0,0.5628999997497885,0,0.0
78,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND l.l_tax>0.02 AND l.l_suppkey<4917;",1966664.7144636465,1967020,0.5263999992166646,0,0.0
79,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.25300000015704427,0,0.0
80,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.2465999996275059,0,0.0
81,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.2482999998392188,0,0.0
82,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.39289999949687626,0,0.0
83,"SELECT COUNT(*) FROM supplier s,partsupp ps WHERE s.s_suppkey=ps.ps_suppkey AND s.s_acctbal>3178.26;",497359.9999999452,497360,0.6761999993614154,0,0.0
84,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND l.l_extendedprice>52547.88 AND l.l_quantity>45.0 AND l.l_partkey<196925;",528958.2189410442,532261,2.14369999957853,0,0.0
85,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey AND c.c_acctbal=913.68;",1.000000000001762,1,0.45849999969505006,0,0.0
86,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey AND c.c_acctbal<6062.09 AND o.o_totalprice>92112.76;",667766.1010762454,668496,2.6855999994950253,0,0.0
87,"SELECT COUNT(*) FROM partsupp ps,supplier s WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_availqty=3727 AND ps.ps_supplycost>69.06;",64.32809719298497,64,0.6543999998029904,0,0.0
88,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey=0;",4.99999999999999,5,0.8299999999508145,0,0.0
89,"SELECT COUNT(*) FROM supplier s,nation n WHERE n.n_nationkey=s.s_nationkey AND s.s_acctbal<9261.13 AND n.n_regionkey=1;",1904.2707999998245,1891,1.1202999994566198,0,0.0
90,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_supplycost=657.13 AND p.p_size<46 AND ps.ps_availqty>2212 AND ps.ps_suppkey=6291 AND p.p_retailprice<1623.68;",0.5622047181999476,0,1.2790000000677537,0,0.0
