prediction,true
524,12
803983,733244
603498,1141529
3511660,7987245
68,46
427058,2706674
1235,3495
1589,3303
634302,1215398
4085,11017
41051,136323
233056,1011676
717757,3056412
266,5629
1076460,2929788
12990543,11216419
65479,96573
9730,15207
11171,42883
613307,2889401
1158286,222131
720441,2192596
789281,14887750
11,12
21520,12691
165171,131642
273,42
182572,81344
2110169,3671545
173526,741932
6481,213
24207874,39982151
125,398
128703,4198516
511276,744542
19058,49402
55717932,47016857
15930424,28177721
267725,6081642
1840321,7261
1902889,5995389
34,19
3037960,33128308
3701530,6694220
68197621,314536973
9995577,81818979
1078910,56848525
5924251,29586445
1551579,1879167
53259056,177494679
13114,86532
1038082,10169372
1186913,2848793
51611,1346178
2717990,18332497
1467174,4479478
48,45
21316,85618
9101621,35390077
5738406,5291581
10130,74146
368634,2088756
774716,3246200
698,12632
2143554,7813854
9,14
15175,17561
683113,1543595
92379,278473
451642,1345620
92,1143
670892,740622
1558550,3041298
8669,1520208
15626579,133915414
14099,13130
6470,69236
1395,4694
819090,3433275
6132560,146979016
101261,269383
3241,22432
3795707,479803
151112,313480
491056,1420415
6047898,19778058
2450,21316
873786,3674270
289591,409629
99651,32576
6341507,58986126
934930,1303666
7108,49936
135935,450441
580,155
438295,2771514
4964466,9949305
831306,610917
314734,369694
165991,442387
32070,32529
41495,288926
1258863,4494302
2103720,9057189
3077972,19953519
1648,16640
52206,458296
301586,680091
159373,433169
106,982
9646,131640
397670,378876
164,1602
3570,8594
72,6128
11302040,17454365
572172,917195
59907,322839
6392076,23998365
1086743,8155239
19,35
494817,3402734
51284,148117
374387,2388210
18561747,163571133
270973,390941
45,132
10268346,83791280
168764,1660869
46505,1076953
79,87
4069998,1765741
1645169,10453544
2,17
3369618,2726265
291613,7324555
4083267,11160062
103372,582731
14402005,41903582
86,777
1595519,6701798
8000,2785
3241241,25498396
569251,2252536
12554694,27217405
951815,4891061
583462,554134
1,1
56,26
72600566,184062220
116,44
17248254,60055286
1644,5042
2405128,4715345
75610,729031
120778,1696420
563989,2418890
68,1163
2148412,22788070
35635620,117331447
20540,383352
854048,9536222
15269,83685
108002,364715
1219141,6569607
114212,1081773
4725311,6384033
293890,3529832
519388,2148400
36781,116285
60059,135565
468064,1012740
362626,295368
1672,2438
18756083,38668961
2881706,2230863
108457,313244
1535,13961
20987370,20289593
1604341,1602477
110,5
1144405,8958418
1019442,5282211
13554246,28667223
51,3377
1274,84
35,809
48144,122281
234470,555594
11315320,6734607
434984,2388929
246720,271772
29,9
21588,422368
56360,1506232
37784,208438
458555,184692
55928,92962
5882785,4411556
3214040,8862210
1664,134
53742,133042
82,96
35149791,29054459
307674,923627
1729478,21334377
373,480
2471574,17895478
3237584,2573351
2442990,10352430
1452553,1072779
601688,391392
8706946,4800657
960365,4008495
49143,49435
647393,2680860
136,279
679543,2319573
17880399,16464942
509608,923233
84,51
5318844,4574556
129923,761277
7074456,5915090
12398230,45587737
9501212,10878594
29337,296936
2501349,3444704
5496,7491
29,2642
1461,192924
554163,5352803
1878343,8520915
106834,339001
1485214,1140343
109928,77481
3,1132
45,17
60513,106471
12772274,59579044
17693,155963
102427,532440
1838866,761583
1461,23242
180,1325
814155,4931518
35180487,115517611
1116284,7527985
473616,369034
1523,20287
127565,3660576
33516154,17867643
466202,2003466
10230,81787
11402440,22445083
802560,16882175
3304261,4371002
40163,372972
297,1
136,906
21,8
114158,123482
2918,3023
5452118,39777797
1236974,916636
50369,42832
2928283,3493257
890,415
195498,1055677
47496,129488
15486544,31639911
4185155,14222263
434780,4124456
5325925,33143860
7736035,80033153
220421,443216
162036,157938
