prediction,true
317,327
353004647,2400301184
5969857,6001215
1974829,2001770
229495,108038
22,33
461873,464421
5969857,6001215
5312,21562
401,408
1,1
20,38
211931,87723
35294,227914
4148155209,23727756695
353004647,2400301184
5969857,6001215
2588,30777
264750000,7210811248
41605,558119
1,1
127388000,861004137
266079882,1815328821
353004647,2400301184
304,1
20051022,4701858241
12668941,123623569
3730871,3731197
254006,253135
208757,207799
5267521765,36007310944
1557467,874030
17661996490,144229306812
597,594
75625,76215
59,1
431,328
120202020,833145050
1,1
5969857,6001215
1,1
5608,121083
56,7
1,1
1,1
5969857,6001215
1,1
6001079,6001215
1,1
349583,353733
5969857,6001215
1282577,1286458
1,1
453853221,3059633200
19379765,40487132
3287092,3290696
5969857,6001215
2014642059,13741162263
1,12
837203,636923
6683647,50906893
1765,12916
529412,3625833
353004647,2400301184
592,602
59,1
59,1
200314,207314
9427471,39284331
353004647,2400301184
353004647,2400301184
86,77
5969857,6001215
5969857,6001215
120,165
117668235,2352372221
5969857,6001215
1217592,983953
917690,936651
5267520573,36007310944
178035,76423
214283,217539
5969858,6001215
1,1
741280,727494
25056,29821
59,1
5533,5498
150422,148870
4194421,4222848
3731690,3749535
2600634,2591280
5969858,6001215
59,1
2,1
298,352
164029471,1114257918
