prediction,true
270001.5726843713,297013
30580182.26481051,31427248
1,515
980011.150194992,1038381
6670039.754947224,7451973
250003.9653172009,267611
1,8
1240019.6679733165,1312009
32310192.57606369,33316050
4390049.948322464,4416021
1,325
1,143
1110017.606008372,1214571
14000083.443667335,14469750
720008.1919799942,714822
1,2
2110033.4672771757,2235039
4020023.9602530496,4172273
720011.4201135386,709850
20000.11920523905,12001
520015.65652993624,549622
20000.116495138616,22900
1,33
180005.41956805481,175118
7600045.297990839,7657830
140000.83443667335,96943
50000.29123784655,52890
2500014.9006548817,2310810
60000.951676128214,56946
560006.3715399954,662416
1310007.8079431579,843688
40000.45510999967,20114
1,59
50000.29801309763,20754
1,483
21890130.470134143,22363041
1,561
23810141.91383709,24382536
1,2
1,12698
1150018.240459124,1194165
1,922
570006.4853174953,624234
2580015.3774758377,2728943
6850040.827794376,6639277
140000.8154659703,120023
1,210
490002.8541308961,393813
12350073.609235115,12761011
2820016.4258145452,2697169
50000.56888749959,106824
420006.6617328975,459573
10000.158612688037,5674
60000.357615717156,72446
20000.317225376075,27192
8750050.966623144,8770496
3930044.7145574675,3985017
50000.793063440186,77964
12820076.410558231,12500073
360005.7100567693,413446
2630015.3191107283,2599585
1140018.081846436,1267919
3470039.4807924717,3476378
1,429
4470026.036663481,4361932
11900070.927117234,11957367
110000.65562881478,129336
280008.4304391964,258870
140004.2152195982,101317
1,33759
1690009.843839213,1674159
20000.116495138616,69434
380006.0272821454,420042
1,773
1,778
1,429
12650075.3973137,12670688
1,10318
3380038.4567949725,3411365
1320039.7434990688,1357579
150000.8940392929,87344
720004.2913886058,659386
10000.158612688037,21499
300001.74742707924,378799
100001.13777499918,81160
34640206.463474035,35495160
140001.59288499886,194499
3220018.755717317,3347285
6850040.827794376,6771894
1,1930
60000.682664999506,20356
880005.2450305183,757992
240007.2260907398,255300
3140018.2897367626,3199424
10000.113777499917,1650
4590027.3576023625,4568446
1,5
1,297
1670009.9536374607,1748180
310001.80567464855,328221
1,2
840013.323465795,857942
1160013.1981899906,1248879
1110006.6158907674,1069051
1,5
2500014.9006548817,2422668
160000.9536419124,97842
5140030.635746436,5093894
1050006.2582750502,1108456
30000.341332499753,23119
1920011.443702949,1721700
1180007.033109104,1057866
1,15
300001.7880785858,361427
8620051.37745803,8269208
1,23
15080089.880750244,15356047
1550024.5849666456,1747317
8060048.0397113385,8246266
800009.1021999934,798359
1,22338
1120012.7430799908,1149553
300004.75838064105,322988
10490062.523147883,10808855
16970101.145645335,18038074
60000.34948541585,21203
3480039.5945699713,3557392
1,1815
3110018.5364146726,3224306
1,53
10910065.026457902,10699647
2250025.5999374813,2155279
1,4
1,12
120000.71523143431,111888
1890011.0087905994,1985670
420012.6456587946,542199
1,13
10000.113777499917,10423
1,143
210001.25165501004,236526
320005.0756060172,340690
190002.16177249842,260933
910010.3537524926,964327
1,18944
270001.5726843713,242392
4230048.127882465,4213440
440013.2478330229,425568
1,292
1,1
1,81
1180007.033109104,1299763
170002.6964156966,156255
1,2
470005.34754249617,594081
900010.2399749926,967618
10000.158612688037,12314
230002.61688249809,297845
40001.20434845663,84006
1,13
19730117.595968325,20142265
10000.301087114158,2898
1,4
2360037.4325943766,2550029
50000.793063440186,36030
1530009.1192007875,1456783
30000.178807858578,10853
10000.158612688037,2899
970015.3854307395,1160899
1620018.4319549866,1458646
270004.28254257696,340395
1,3187
3280037.3190199733,3263146
1,5
420002.44639791094,366295
23890142.390658047,24518851
80000.4768209562,66343
3400019.804173565,3359213
1,255
130003.91413248406,155441
390004.43732249684,439394
70000.40773298516,58053
650010.3098247224,626819
1,2638
2100033.3086644877,2208353
670007.6230924946,670880
3220036.6363549735,3239581
1,2317
3680021.9337639855,4010840
240003.80670451286,212581
20000.116495138616,6419
1,89
1100017.447395684,1117278
3860043.918114968,3912984
10000.058247569308,8633
1,1
920010.4675299923,836373
22170132.139007486,22583968
1,187
110003.31195825573,77236
410002.3881503417,467218
3130035.6123574744,3158185
1,3
60000.951676128214,69284
60001.80652268495,59798
10000.158612688037,3103
260001.54966810765,268638
8110048.337724436,8384062
380006.0272821454,446318
