prediction,true
535800.0,533092
1.0,1
1,1
1141.0,1141
327600.0,319032
3200.0,2386
2437.0,2437
1,9
600.00149970006,403
1,1
200.0,11
1.0,1
166.0,166
3300.0,4060
1,1
20400.0,17383
1,1
1,1
5.0,5
1,1
144100.0,143394
5.0,5
2000.0,1465
1,14
5.0,5
1,8
889100.0,894660
6800.000000000001,6082
10.0,10
607501.5184463107,599038
2633.0,2633
1,1
1,1
1,10
1,4
259600.0,251572
7900.0,7834
4000.0,4103
155100.3876724655,158037
1,1
1,1
4700.0,4371
15.0,15
3217.0,3217
1,1
1,1
5.0,5
1,1
1,1
131700.0,131507
20.0,20
3599.9999999999995,4086
123100.0,121462
5.0,5
89900.224705059,87537
9700.0,10401
163700.40916816637,166370
407600.0,417510
3900.0,3909
1,6
1,2
1,1
1,1
3624.0,3624
1,7
5.0,5
393.0,393
5114.0,5114
260700.65161967606,268516
600.0,653
1000.0,1016
77700.0,77058
5.0,5
5400.0,5974
1,1
1,8
2527.0,2527
1.0,1
488501.22100579884,476419
1800.0,1489
7268.0,7268
1.0,1
1800.0,1799
270.0,270
1,1
400.00099980004,342
15.0,15
1,1
20.0,20
1,1
1,4
20.0,20
11800.02949410118,11412
52200.0,54192
1,82
24300.0,24775
10.0,10
1,5
1,4
15.0,15
151.0,151
5.0,5
60500.0,60513
1,1
6600.0,6045
15.0,15
364.0,364
5.0,5
20.0,20
1,9
1,7
112900.0,116063
2900.0,3127
1,7
4800.0,4006
3328.0,3328
1,1
1,6
6600.0,6033
100.0,45
560.0,560
5.0,5
1243700.0,1247247
1.0,1
1,1
200.0,152
1,1
5.0,5
1,1
5400.0,5327
225199.99999999997,222439
1,86
69400.0,66102
1,1
1,9
66900.0,63752
114200.0,114134
244000.6098780244,250102
1951.0,1951
342300.0,343616
1,9
2935.0,2935
1,10
1,1
5604.0,5604
10.0,10
1,20
1,11
289600.0,295669
1,1
700.0000000000001,373
653801.6341731654,665254
1,1
1,1
6549.0,6549
5500.0,5925
5100.0,5182
1,10
415001.0372925415,411001
10.0,10
1059502.6482203559,1071394
705700.0,702775
15.0,15
549800.0,545680
1,1
10.0,10
4200.0,3970
1,1
11400.0,11994
8578.0,8578
1.0,1
390.0,390
96100.00000000001,96084
1400.0000000000002,1253
600.0,759
5.0,5
143900.0,145412
5.0,5
6959.999999999999,6960
66600.0,65866
2392.0,2392
30100.0,26465
15.0,15
1,1
795899.9999999999,795302
64900.0,62259
1,7
981100.0,977411
1,1
5.0,5
3599.9999999999995,3592
1,1
408200.0,413079
1,1
15.0,15
1,1
103199.99999999999,101917
1,1
239.0,239
1,9
1,30
152500.0,148041
4365.0,4365
1,2
1,1
7900.0,7834
7000.000000000001,7545
10.0,10
1,1
63200.0,60728
1,1
262000.0,263318
138600.0,138100
7299.999999999999,6723
1,1
77800.0,73821
1025799.9999999999,1027658
1019.0,1019
1061800.0,1060596
1,3
1,1
96800.0,95557
245700.61412717457,242979
1,1
1,2
160500.0,165413
5552.0,5552
1,1
5.0,5
345900.0,343563
1,10
391500.0,396136
1079400.0,1087325
1,1
271000.6773645271,267214
99700.0,95910
1,11
1,16
15.0,15
4331.0,4331
5.0,5
794600.0,794552
1132200.0,1139886
5.0,5
314.0,314
20.0,20
5.0,5
1,1
1,1
63100.0,65776
344000.0,341280
200.0,80
4221210.550889823,4204927
1,4
1,27
1,1
1,1
1.0,1
28600.071485702858,29118
590200.0,590725
5.0,5
5263.0,5263
118900.0,123313
5.0,5
1238.0,1238
1,1
8600.0,8356
9951.0,9951
14800.0,12056
66200.0,69356
301300.0,296360
3700.0,4153
20.0,20
5.0,5
1,1
645601.6136772645,643691
6193.999999999999,6194
1,1
1,1
1000.0,1406
15.0,15
1,1
73200.18296340732,74948
1.0,1
1400.0,1755
1,1
1,1
5.0,5
39500.09873025395,37664
1.0,1
3650.0,3650
1.0,1
1,10
10.0,10
84500.0,83914
1206000.0,1205887
1,1
1,1
68600.0,67639
166400.0,163701
89800.0,89923
100.00024995001,189
2799.0,2799
819000.0000000001,813437
1,4
6350.0,6350
1,1
1,1
8816.0,8816
79600.0,80332
1,10
97000.0,98464
20.0,20
2859.0,2859
36600.0,33176
35100.0,36084
488500.0,483193
20.0,20
10.0,10
20.0,20
1,1
1,1
1,16
20500.051239752047,22924
1400.0000000000002,1460
429900.00000000006,429671
38500.0,39931
39500.09873025395,41132
1,1
68300.0,71110
2726306.8143871226,2743633
122600.30643871226,119702
20.0,20
10.0,10
100.0,80
700.0000000000001,1126
96000.0,94934
1,86
32100.0,31674
1,1
1,1
3333008.330833833,3329231
1,1
1,1
3800.0,4018
1,1
8770.0,8770
1,1
5.0,5
396.00000000000006,396
1,1
3599.9999999999995,4031
78900.0,77267
5289.0,5289
1,1
4200.0,4751
94000.23495300939,93117
150200.0,150903
326000.0,327493
6350.0,6350
6300.0,6008
1,67
1,1
144500.0,144017
87100.0,88438
1,4
1,1
49100.0,49391
20.0,20
85400.0,84030
6385.0,6385
109000.0,107532
1,5
21800.0,23835
3500.0087482503504,3784
1642.0000000000002,1642
20.0,20
5.0,5
8437.0,8437
3669.0,3669
1,4
4448.0,4448
1,1
1,1
185200.0,187508
1,1
15.0,15
1.0,1
30500.0,31030
1,10
1.0,1
100.0,55
1,4
1,1
1,3
15.0,15
73400.0,70417
101500.0,100845
1,1
15.0,15
2080905.2012097582,2084706
20.0,20
1,1
8800.02199560088,8683
1,13
101899.99999999999,104309
5.0,5
1,1
9217.0,9217
103100.0,101866
71400.0,75091
9062.0,9062
2000.0049990001999,1846
1,1
5.0,5
2400.0,2121
37800.0,40975
1,1
722800.0,720560
176800.0,175765
1500.00374925015,1790
36600.0,39472
1.0,1
4176.0,4176
682201.7051589682,666908
231.0,231
138200.0,140332
1,1
284200.0,282940
9500.0,9128
115599.99999999999,113691
185900.0,184642
5500.0,5983
6350.0,6350
4400.0,4062
376.0,376
81000.0,83057
1,1
1,1
5029.0,5029
10.0,10
77500.19371125774,80782
1,3
15.0,15
128300.0,124763
3500.0000000000005,3925
5521.0,5521
400.99999999999994,401
3800.0,4079
5100.0,5234
1,20
100.0,14
15.0,15
1,1
1,1
1,10
2700.0,2416
468700.0,471711
1,1
1357200.0,1360225
119700.29919016197,119909
164300.0,164295
1,27
209500.52364527097,210223
1,4
899000.0000000001,900257
10.0,10
1,1
20.0,20
1,20
167900.0,168326
3599.9999999999995,4001
8907.0,8907
128400.0,131202
3500.0000000000005,4056
4400.0,3889
113900.0,118179
1,1
156500.0,157071
1,1
4499211.24575085,4501215
1,1
138600.0,134229
466.0,466
1.0,1
10.0,10
5945.0,5945
30000.0,31095
308600.0,313716
246999.99999999997,237689
3994209.9835032993,3985386
231.0,231
1,10
630400.0,630235
75100.0,72105
1,6
95800.0,93299
1,1
123800.0,123631
1,1
100.00024995001,10
20.0,20
1955204.8870225954,1964637
833.0,833
1,1
104700.26169766046,103874
1,22
188300.0,187693
46800.0,48083
17700.04424115177,19346
5.0,5
20.0,20
15.0,15
56000.00000000001,54288
1,2
74100.0,70338
70600.0,67184
2800.0000000000005,3182
2726906.8158868225,2727089
1,1
5500.0,5925
5.0,5
1299603.24835033,1285828
95400.0,91363
17700.0,19788
3800.0,3994
98500.0,94448
146100.0,145897
161900.0,159889
5.0,5
12500.0,10750
397.0,397
80200.0,81932
1,10
9799.999999999998,7556
20.0,20
20500.0,17666
5.0,5
25400.0,26955
20.0,20
985.0,985
41600.0,37181
100.0,41
1,18
18500.0,20045
1245700.0,1253914
15.0,15
162600.0,158826
1,1
5.0,5
619900.0,619431
814300.0000000001,823893
1,1
5.0,5
101699.99999999999,99692
1,1
15.0,15
7200.017996400719,6927
769.0,769
579100.0,580440
1.0,1
1,1
1,1
15.0,15
356700.8915716857,362628
92800.0,92128
97800.0,95943
1,3
18500.0,20696
10.0,10
603100.0,605854
3999.0,3999
1059502.6482203559,1071394
1,1
297800.0,297941
10.0,10
1,1
20.0,20
70100.17521495701,71368
143.0,143
15.0,15
1.0,1
1,1
1,17
5715.0,5715
4200.0,4003
1,1
132000.0,135548
20.0,20
11800.0,12225
4968712.419266148,4981538
64000.0,62477
1,1
1,1
34300.0,31605
8038.999999999999,8039
1,10
1,1
224000.55988802243,216590
128299.99999999999,131403
5.0,5
612200.0,605915
31900.0,34289
1,4
1,1
7538.0,7538
1,1
225.0,225
1,1
9473.0,9473
657401.6431713657,667458
132500.0,134900
161700.0,166358
5.0,5
162700.0,159045
970900.0,966386
999802.4990002,991001
1,8
42600.0,45711
139000.0,141528
22000.0,21788
1.0,1
3388.0,3388
639300.0,645483
5.0,5
71000.0,68039
1,1
4400.0,3893
100.0,189
100.0,10
1,1
1000.0000000000001,705
400.00099980004,447
1,1
79200.0,81467
631500.0,632160
48100.0,50053
180600.0,179729
15.0,15
1,1
1,1
1708.0,1708
4334310.833583283,4336215
1,11
31900.0,32001
554101.3849730054,561571
2387.0,2387
269100.0,262423
13.0,13
2900.0,4034
1,2
1,18
1,1
167.0,167
72900.18221355729,72574
75400.0,76548
1,1
400.0,811
1,24
20.0,20
775400.0,776588
3800.0,3696
152300.0,156816
1,1
1.0,1
470.0,470
1,1
52200.0,54057
5.0,5
5.0,5
42299.99999999999,40434
5000.0,3924
1,1
1,1
1432000.0,1432379
4100.0,4436
6500.0,6280
1,1
68400.0,70304
5.0,5
1,6
22600.0,24141
1,1
7943.0,7943
5.0,5
1,1
1,1
1,1
68900.0,69976
57800.00000000001,58244
15.0,15
415.0,415
121500.00000000001,122640
72700.0,72049
4200.0,4127
1009600.0,1011496
41800.0,41966
100.00024995001,34
5625.0,5625
127800.0,130528
1107100.0,1111313
1,1
40700.0,45458
1502003.75424915,1500000
1,1
1,7
1,1
1,1
1,1
1.0,1
49000.122475504904,51351
175100.0,170334
1,2
297400.0,296160
1,9
1,1
1500.0,1131
4387910.967556489,4399333
1,10
239000.0,239541
3262.0,3262
1,4
1,5
1,1
2801607.00259948,2785828
81300.0,79625
3900.0,4102
15.0,15
1,1
765800.0,762919
10.0,10
77100.1927114577,73782
1,1
658800.0,667574
100.0,8
3100.0,3884
10900.0,10142
761.0,761
5.0,5
1475003.6867626475,1466827
1,1
58099.99999999999,59635
1,1
9555.0,9555
421800.0,419064
5.0,5
5.0,5
1,1
65700.0,62372
5.0,5
1,1
390.0,390
79000.0,77403
100500.0,103435
1,9
35000.0,34925
5300.0,6009
1,1
1,1
10.0,10
1,1
90400.0,89482
21100.0,20555
797900.0,797710
1069802.6739652068,1073962
1,1
1,1
1,1
4422.0,4422
1085300.0,1085781
15.0,15
1,1
1,4
15.0,15
64000.0,62035
153400.0,155120
819700.0,819034
1,1
6600.0,6033
81900.0,85950
131700.0,131507
57500.00000000001,57830
100.0,60
1331103.327084583,1334307
1.0,1
167900.0,167737
10.0,10
1,1
1.0,1
1,1
4800.0,5601
1,1
31400.0,27831
52400.0,53011
91000.2274545091,85675
1,1
89500.0,91830
121300.30318936214,119907
10.0,10
1,1
