prediction,true
1,1
3311595,3274126
11,12
150000,150000
170,25
5335,5416
413300,413459
150000,150000
84322,84082
1500000,1500000
1395186,1389269
532782,533092
247225,247693
93859,93749
21398,86033
1,1
285,279
21,21
85536,85007
47811,47779
1,1
150000,150000
4972,4967
6001079,6001215
1,1
20090,19766
617756,620980
150000,150000
150000,150000
256300,256594
851880,848661
24,33
687230,693772
1124,1141
89360,94669
1,2
1,1
311837,319032
2537,2386
989881,990044
2437,2437
143186,143425
8,8
1,1
6148,5961
5,9
1,1
118,403
101825,102361
355757,355706
1,1
17,11
1380896,1360084
1,1
1,1
170,25
680100,680881
795838,800000
1,1
157,166
4133,4060
61234,63252
1342041,1334307
170,25
170,25
10000,10000
1,1
429430,431009
3757138,3752908
183265,182432
1500000,1500000
17555,17383
215294,306512
764198,764487
1500000,1500000
1,1
150000,150000
592,644
795838,800000
1,1
1,1
450369,450616
1,1
800000,800000
1171440,1170918
40,41
1,1
1,5
3467,3401
1,1
3,3
1,1
1,1
35792,35250
7895,7842
143007,143394
1,5
2,2
795838,800000
150000,150000
168023,176289
150000,150000
170,25
1,2
1513,1465
16,14
156107,156557
6001079,6001215
795838,800000
150000,150000
795838,800000
1,5
9,8
38285,38266
124002,124238
888781,894660
150000,150000
6349,6082
1,1
557377,561328
170,25
57,10
111108,113230
150000,150000
1,1
2000360,599038
2624,2633
20,16
1,1
1,1
10,10
10,5
150000,150000
231,861
426277,429070
5,4
150000,150000
8823529,60000414
15201,16084
1,1
243309,251572
1,1
76590,76259
7967,7834
4087,4103
150000,150000
520582,520966
10000,10000
130386,130548
21,27
1,1
111825,158037
170,25
170,25
5176823,35245334
150000,150000
1,1
1,1
4396,4371
104712,105041
57,15
130345,130517
3476,3377
9488,9493
36674,38316
3212,3217
1,1
1,1
1,1
7,7
795838,800000
6001079,6001215
57,5
1,1
705065,692473
1217008,1218706
511023,510857
170,25
1,1
4853,1
1,1
131027,131507
22327,22087
57,20
6001079,6001215
4107,4086
121212,121462
1,5
170,25
150000,150000
170,25
266463,272801
800000,800000
567967,569777
20435,87537
194449,196021
10173,10401
1,1
164871,166370
1983076,1967020
655120,655280
414094,417510
170,25
170,25
139160,140416
1,2
1,1
3617,3909
11,6
6001079,6001215
2,2
144414,145451
22,1
3802,3706
170,25
6001079,6001215
170,25
497280,497360
1,1
551898,532261
29,43
3621,3624
1,1
672150,668496
75,64
21,7
179988,179744
1,5
1,5
55,1891
502941,1
1,1
393,393
5114,5114
264905,268516
121785,121767
618,653
970,1016
1436139,1441636
6001079,6001215
50294,29764
234,244
50136,50000
1,6
9,1
1,1
712,1
76645,77058
170,25
57,5
11222,10562
12617,12266
6145,5974
7,18
170,25
6001079,6001215
170,25
1,1
2263569,2268737
57,20
6,3
57,15
5,7
5,8
3536660,2437037
192127,193560
1,1
2512,2527
1,1
475919,476419
171003,171729
1500000,1500000
6001079,6001215
301,259
147,1
1504,1489
7255,7268
3842891,3819096
170,25
1,1
795838,800000
1,1
1821,1799
10000,10000
1,1
1,1
290,270
1,1
16,13
12251,22064
1,1
5969857,6001215
57,15
153448,150978
1,1
319,342
1,1
57,15
1,1
170,25
1,1
57,20
502940,598097
1,1
1,5
1,1
1,1
57,15
57,5
10,21
150000,150000
1,1
6001079,6001215
300201,301386
1,1
4,4
729261,729366
3610,5848
4361124,4366294
495390,492492
82130,80116
1,1
2806392,2806537
1026,1668
170,25
22524,22286
233102,233436
57,20
11488,11412
1500000,1500000
54117,54192
1,1
75,82
24880,24775
6045,5925
57,5
1,1
7,6
1397601,1399553
2,4
57,10
50294,90284
1,1
1,1
4,1
800000,800000
3,5
4,4
2,1
57,15
162,151
50294,59716
138901,138986
1,5
61047,60513
57,15
2,3
600,1
9,3
468312,1
1,1
1,1
1,1
101186,101418
6462,6045
96035,96084
238950,239786
6001079,6001215
11,5
57,15
18309,18017
354,364
1,1
380040,363121
57,5
4,1
5830604,5828306
26868,27060
760212,752333
57,20
10,9
11,7
31680,31680
114105,116063
3210,3127
14,7
179322,179302
44059,113869
4912283,4910091
6001079,6001215
4133,4006
1,5
5895,6008
150000,150000
57,5
3339,3328
1,1
1,1
183033,328048
7,10
9854,9548
1,1
1500000,1500000
505155,500194
3,4
882,29764
4,6
57,1
6001079,6001215
1,1
1,1
102850,102893
6001079,6001215
684,1120
5820,6033
52,45
29503,29477
1,5
566,560
57,5
1240573,1247247
1,1
1,1
6001079,6001215
107845,105507
150000,150000
1,1
57,15
435892,439976
119347,118976
10,15
7095,6948
1,1
57,1
90070,166985
800000,800000
154,152
1,2
2855902,2867712
1,1
150000,150000
1,1
1,1
1,5
1,1
795838,800000
21,7
63990,114816
170,25
77126,77076
57,1
541361,543684
150000,150000
9469,9408
118868,117223
1,1
67037,64836
5432,5327
1,1
969093,970906
224550,222439
300,283
775953,757928
1,1
59,2036
80,86
65872,66102
596775,600000
1,1
26,1
1,1
43920,44080
10,9
63422,63752
800000,800000
129009,129348
150000,150000
114050,114134
178966,250102
1,1
1,1
1,5
1,1
1946,1951
347506,343616
15598,15312
8,9
50294,60101
1,1
1,1
1,5
1,1
10000,10000
10,1
1,1
1,1
1,1
57,15
1,1
1,1
2938,2935
150000,150000
3,1
57,15
170,25
19670,23793
1,1
26,35
10,10
1,1
32454,32546
170,25
428,445
6001079,6001215
1,1
9773,9704
58,69
1,1
5604,5604
70807,70902
381030,384994
150000,150000
29930,29914
4,3
170,25
1500000,1500000
150000,150000
6,1
1,1
571645,574506
1,1
150000,150000
6001079,6001215
57,20
3,5
1,1
445,779
57,10
2,1
84490,84251
1,1
67589,66847
2519724,2544718
150000,150000
2,20
16,11
21,16
569052,573576
295871,295669
1,1
5969858,6001215
1500000,1500000
1,1
373,373
170,25
660719,665254
150000,150000
1500000,1500000
17,1
17,14
6583,18288
30005,120070
150000,150000
5427,5416
903630,899032
150000,150000
1,1
3212578,3215387
1,1
1,1
5032092,5037128
70844,71066
109800,109835
51145,51111
6541,6549
3006529,4151858
1,1
6045,5925
800000,800000
5287,5182
10,10
88368,88504
4863,4760
6001079,6001215
72827,72863
795838,800000
405964,411001
57,10
4,1
1068392,1071394
57,10
1,1
35469,82645
702103,702775
57,15
6001079,6001215
8,11
1,1
10,20
1,1
1,1
97662,98302
544949,545680
59313,59615
57,1
6020,5952
239499,428658
150000,150000
150000,150000
80,80
1,1
1718,1721
57,10
4020,3970
1,1
5969858,6001215
170,25
1,1
1,1
12070,11994
10,21
50294,29764
8576,8578
1,1
390,390
6001079,6001215
1,1
1,1
96035,96084
133968,134191
1277,1253
756,759
1500000,1500000
1,1
1822213,1814517
35964,35303
1,1
1,5
1,1
5114,5114
145790,145412
57,5
1,1
6979,6960
66148,65866
755326,742017
150000,150000
1,1
502941,1203123
150000,150000
2392,2392
1511,1544
83511,83559
26611,26465
57,15
18308,32841
1,5
1,1
1,1
50294,120236
796070,795302
699600,699520
1,1
62798,62259
4,7
72,68
1,1
800000,800000
83420,84030
1,1
170,25
121908,121909
820376,814176
57,20
981254,977411
1,1
6001079,6001215
1,1
1,5
72,73
150000,150000
73,65
1500000,1500000
6001079,6001215
5969858,6001215
3609,3592
6001079,6001215
1500000,1500000
1,2
150000,150000
1,1
57,5
410656,413079
1500000,1500000
24,30
2,1
795838,800000
1,1
43947,105266
1,1
10000,10000
2077,2488
170,25
1,1
29608,29355
57,15
1746,58699
795838,800000
1,1
1,1
57,15
1,1
76441,76450
150000,150000
101625,101917
3,2
795838,800000
5,1
1,1
234,239
75,80
14,9
1,1
1,1
170,25
800000,800000
30,30
150000,150000
147710,148041
1,4
74179,74274
121941,121937
1,1
4375,4365
106580,106905
2,3
9,29
6,8
7,2
1,1
7967,7834
4065,4071
8823529,60000414
53493,10019
795838,800000
7528,7545
57,10
1,1
144527,144639
61178,60728
66351,66366
1,1
293610,294912
266294,263318
1170902,1170006
1,1
138085,138100
6789,6723
13119,13158
1248270,1249887
150000,150000
1,1
10000,10000
1,1
74209,73821
32757,32878
2000360,2398416
1031710,1027658
1016,1019
1060369,1060596
1,5
3,3
4353475,4240160
4,6
1,1
1,5
80,80
116709,9385
57,15
1,2
1,1
1,1
97660,95557
72400,72003
1,1
241629,242979
1,1
37136,66385
6001079,6001215
1,1
1,1
1,2
1,1
164581,165413
5552,5552
1,1
6,4
1,5
2502,2504
344030,343563
10,10
249545,1
6001079,6001215
1,1
391687,396136
1,1
1,1
1,1
33347,19693
1091830,1087325
150000,150000
1,1
102521,102791
275347,267214
300450,299671
96605,95910
8,11
17,16
4,2
57,15
7,9
170,25
170,25
4330,4331
12,1
57,5
4,1
1,1
795044,794552
4,3
1141067,1139886
65,74
34907,34822
1,5
5133498,5148253
86,83
1,1
4,5
313,314
57,20
795838,800000
19208,91811
1,1
150000,150000
1174,1230
99134,95579
34795,34293
1,5
1500000,1500000
14112,13940
1,1
54520,54057
1,1
8101,8100
52943,53142
14432,14196
1500000,1500000
9507,9180
10000,10000
66130,65776
42715,42667
38665,38629
800000,800000
56324,56303
339996,341280
471,16661
6,2
4313439,4350918
80,80
4215947,4204927
629992,634179
50033,49930
6627,6630
5,4
5332159,5333786
205904,491924
57,1
3,3
17,27
2129183,2128831
80,69
2217876,2260403
1,1
1,1
795838,800000
1,1
6001079,6001215
1,1
1,1
27672,29118
589585,590725
