prediction,true
1,1
2672416.0546875,3274126
1,12
150000.0,150000
25.0,25
15625.0,5416
453515.62499999994,413459
150000.0,150000
85200.0,84082
1473046.875,1500000
1399218.75,1389269
533800.0,533092
253625.0,247693
92793.75,93749
1,86033
1.25,1
1,279
1,21
80859.375,85007
47437.5,47779
1,1
150000.0,150000
4945.0,4967
5204178.6328125,6001215
1.25,1
20750.0,19766
520312.5,620980
150000.0,150000
150000.0,150000
262125.0,256594
805078.125,848661
1,33
762500.0,693772
1148.75,1141
63281.25,94669
1,2
1,1
311250.0,319032
2575.0,2386
750151.8750000001,990044
2436.25,2437
143756.25,143425
1,8
1,1
5550.0,5961
1,9
1,1
1,403
107500.0,102361
375075.93750000006,355706
1,1
1,11
984574.3359375,1360084
1.25,1
1,1
25.0,25
696093.75,680881
847500.0,800000
1,1
170.0,166
4075.0,4060
1,63252
1500303.7500000002,1334307
25.0,25
25.0,25
10000.0,10000
1,1
434875.0,431009
2637252.685546875,3752908
193750.0,182432
1473046.875,1500000
17718.75,17383
281306.953125,306512
675000.0,764487
1473046.875,1500000
1,1
150000.0,150000
1,644
847500.0,800000
1,1
1,1
454999.99999999994,450616
1,1
809874.9999999999,800000
1139062.5,1170918
1,41
1,1
5.0,5
5000.0,3401
1,1
1,3
1,1
1,1
35850.0,35250
3125.0,7842
142675.0,143394
5.0,5
1,2
847500.0,800000
150000.0,150000
123046.875,176289
150000.0,150000
25.0,25
18.75,2
1400.0,1465
1,14
154375.0,156557
5438601.09375,6001215
847500.0,800000
150000.0,150000
847500.0,800000
5.0,5
100.0,8
38212.5,38266
123693.75,124238
900374.9999999999,894660
150000.0,150000
5700.0,6082
1,1
587500.0,561328
25.0,25
10.0,10
146875.0,113230
150000.0,150000
1,1
621875.9043749999,599038
2661.25,2633
1,16
1,1
1,1
1,10
1,5
150000.0,150000
1,861
600121.5,429070
1,4
150000.0,150000
59941101.5625,60000414
15000.0,16084
1,1
247312.5,251572
1,1
116015.62500000001,76259
8450.0,7834
4275.0,4103
150000.0,150000
523000.0,520966
10000.0,10000
130312.50000000001,130548
250.0,27
1,1
146279.615625,158037
25.0,25
25.0,25
35192109.375,35245334
150000.0,150000
1,1
1,1
4575.0,4371
104550.0,105041
15.0,15
130293.75,130517
3056.25,3377
9502.5,9493
1,38316
3213.75,3217
1,1
187.5,1
1,1
1,7
847500.0,800000
5438601.09375,6001215
5.0,5
1,1
468844.921875,692473
2637252.685546875,1218706
514000.0,510857
25.0,25
1,1
1,1
1.25,1
131250.0,131507
22443.75,22087
20.0,20
5626139.062499999,6001215
4200.0,4086
120600.0,121462
5.0,5
25.0,25
150000.0,150000
25.0,25
1,272801
809874.9999999999,800000
582500.0,569777
78765.946875,87537
207500.0,196021
9675.0,10401
1,1
178536.14625,166370
1828495.1953125,1967020
661000.0,655280
406500.0,417510
25.0,25
25.0,25
140625.0,140416
1,2
1,1
3549.9999999999995,3909
1,6
1,6001215
1,2
1,145451
1,1
3618.75,3706
25.0,25
1,6001215
25.0,25
512875.0,497360
1,1
562613.90625,532261
1,43
3623.75,3624
18.75,1
601171.875,668496
1,64
1,7
1,179744
5.0,5
5.0,5
1890.0,1891
1,1
1,1
382.5,393
5112.5,5114
303811.509375,268516
121481.25,121767
618.75,653
899.9999999999999,1016
1425288.5625,1441636
5274505.37109375,6001215
29756.249999999996,29764
1,244
50718.75,50000
1,6
1,1
1,1
1,1
76875.0,77058
25.0,25
5.0,5
1,10562
14749.999999999998,12266
5850.0,5974
1,18
25.0,25
5204178.6328125,6001215
25.0,25
1,1
1,2268737
20.0,20
1,3
15.0,15
1,7
1,8
1547188.2421875,2437037
218750.00000000003,193560
1,1
2538.75,2527
1.25,1
454592.03625,476419
1875379.6875000002,171729
1473046.875,1500000
1,6001215
1,259
1,1
1650.0,1489
7268.750000000001,7268
2637252.685546875,3819096
25.0,25
1,1
847500.0,800000
1,1
1650.0,1799
10000.0,10000
1,1
1,1
267.5,270
1,1
1,13
1,22064
1,1
13127657.8125,6001215
15.0,15
142500.0,150978
1,1
1,342
1,1
15.0,15
1,1
25.0,25
1,1
20.0,20
594140.625,598097
1,1
5.0,5
1,1
1,1
15.0,15
5.0,5
1,21
150000.0,150000
1,1
5274505.37109375,6001215
421960.4296875,301386
1,1
1,4
794531.25,729366
1,5848
3375683.4375,4366294
825167.0625,492492
71875.0,80116
1,1
2100425.25,2806537
1,1668
25.0,25
22575.0,22286
281306.953125,233436
20.0,20
9001.8225,11412
1473046.875,1500000
53050.0,54192
1,1
75.0,82
25224.999999999996,24775
5550.0,5925
5.0,5
1,1
1,6
1339453.125,1399553
1,4
10.0,10
90318.75,90284
1,1
1,1
1,1
809875.0,800000
1,5
1,4
1,1
15.0,15
138.75,151
59681.24999999999,59716
138487.5,138986
5.0,5
61250.00000000001,60513
15.0,15
1,3
1,1
1,3
1,1
1,1
1,1
1,1
100781.24999999999,101418
6600.0,6045
95925.0,96084
207421.875,239786
5438601.09375,6001215
1,5
15.0,15
1,18017
375.0,364
1,1
1,363121
5.0,5
1,1
5063525.15625,5828306
35156.25,27060
187537.96875,752333
20.0,20
1,9
1,7
33375.0,31680
123562.5,116063
3168.75,3127
