prediction,true
1,1
3360008.398320336,3274126
1,12
150000.0,150000
25.0,25
10000.0,5416
430000.0,413459
150000.0,150000
85100.0,84082
1520000.0,1500000
1420000.0,1389269
529100.0,533092
245600.0,247693
93600.0,93749
1,86033
1.0,1
1,279
100.0,21
60000.0,85007
48800.0,47779
1,1
150000.0,150000
4967.0,4967
6250015.621875625,6001215
1.0,1
19900.0,19766
640000.0,620980
150000.0,150000
150000.0,150000
253800.0,256594
900000.0,848661
1,33
760000.0,693772
1141.0,1141
90000.0,94669
1,2
1,1
326200.0,319032
2200.0,2386
1170002.924415117,990044
2437.0,2437
142300.0,143425
1,8
1,1
6800.0,5961
1,9
1,1
100.00024995001,403
150000.0,102361
340000.84983003396,355706
1,1
1,11
1430003.5742851428,1360084
1.0,1
1,1
25.0,25
660000.0,680881
920000.0,800000
1,1
166.0,166
3700.0,4060
1,63252
1460003.6492701462,1334307
25.0,25
25.0,25
10000.0,10000
1,1
434000.0,431009
7000017.4965007,3752908
290000.0,182432
1520000.0,1500000
19300.000000000004,17383
370000.92481503694,306512
840000.0,764487
1520000.0,1500000
1,1
150000.0,150000
1,644
920000.0,800000
1,1
1,1
455200.0,450616
1,1
800000.0,800000
1190000.0,1170918
1,41
1,1
5.0,5
10000.0,3401
1,1
1,3
1,1
1,1
36000.0,35250
10000.0,7842
141700.0,143394
5.0,5
1,2
920000.0,800000
150000.0,150000
190000.0,176289
150000.0,150000
25.0,25
1,2
1700.0000000000002,1465
1,14
155100.0,156557
6250015.621875625,6001215
920000.0,800000
150000.0,150000
920000.0,800000
5.0,5
1,8
39300.00000000001,38266
123699.99999999999,124238
903100.0,894660
150000.0,150000
6900.000000000001,6082
1,1
640000.0,561328
25.0,25
10.0,10
130000.0,113230
150000.0,150000
1,1
604401.5106978605,599038
2633.0,2633
1,16
1,1
1,1
1,10
1,5
150000.0,150000
1,861
490001.224755049,429070
1,4
150000.0,150000
60127100.0,60000414
20000.0,16084
1,1
256099.99999999997,251572
1,1
50000.0,76259
6600.0,7834
5200.0,4103
150000.0,150000
524100.00000000006,520966
10000.0,10000
129299.99999999999,130548
100.0,27
1,1
153400.38342331533,158037
25.0,25
25.0,25
35019100.0,35245334
150000.0,150000
1,1
1,1
5300.0,4371
104600.0,105041
15.0,15
129300.0,130517
4100.0,3377
9493.0,9493
40000.099980004,38316
3217.0,3217
1,1
1,1
1,1
1,7
920000.0,800000
6250015.621875625,6001215
5.0,5
1,1
790001.9746050789,692473
2000004.9990002,1218706
514600.00000000006,510857
25.0,25
1,1
1,1
1.0,1
128499.99999999999,131507
23200.0,22087
20.0,20
6250015.621875625,6001215
4200.0,4086
121000.0,121462
5.0,5
25.0,25
150000.0,150000
25.0,25
1,272801
800000.0,800000
571700.0,569777
90400.22595480904,87537
240000.0,196021
9300.0,10401
1,1
167400.41841631674,166370
2080005.1989602079,1967020
657800.0,655280
409000.0,417510
25.0,25
25.0,25
130000.0,140416
1,2
1,1
4500.0,3909
1,6
6000014.9970006,6001215
1,2
1,145451
1,1
4300.0,3706
25.0,25
6000014.9970006,6001215
25.0,25
495600.0,497360
1,1
570001.4247150569,532261
1,43
3624.0,3624
1,1
710000.0,668496
1,64
1,7
200000.49990002,179744
5.0,5
5.0,5
1891.0,1891
1,1
1,1
393.0,393
5114.0,5114
266300.6656168766,268516
120600.0,121767
400.0,653
1200.0,1016
1550003.874225155,1441636
8000019.9960008,6001215
30199.999999999996,29764
1,244
51900.0,50000
1,6
1,1
100.0,1
1,1
78699.99999999999,77058
25.0,25
5.0,5
1,10562
12500.0,12266
7200.0,5974
1,18
25.0,25
6250015.621875625,6001215
25.0,25
1,1
3000007.4985003,2268737
20.0,20
1,3
15.0,15
1,7
1,8
2520006.298740252,2437037
230000.0,193560
1,1
2527.0,2527
1.0,1
482501.2060087982,476419
1000002.4995001,171729
1520000.0,1500000
6000014.9970006,6001215
1,259
1,1
2700.0,1489
7268.0,7268
5000012.4975005,3819096
25.0,25
1,1
920000.0,800000
1.0,1
2400.0,1799
10000.0,10000
1,1
1,1
270.0,270
1,1
1,13
1,22064
1,1
8000019.9960008,6001215
15.0,15
190000.0,150978
1,1
200.00049990002,342
1,1
15.0,15
1,1
25.0,25
1,1
20.0,20
600000.0,598097
1,1
5.0,5
1,1
1,1
15.0,15
5.0,5
1,21
150000.0,150000
1,1
8000019.9960008,6001215
350000.874825035,301386
1,1
1,4
660000.0,729366
1,5848
4470011.172765447,4366294
490001.224755049,492492
130000.0,80116
1,1
3000007.4985003,2806537
10000.024995001,1668
25.0,25
23400.0,22286
220000.549890022,233436
20.0,20
11900.029744051191,11412
1520000.0,1500000
50900.0,54192
1,1
1,82
24600.0,24775
5900.0,5925
5.0,5
1,1
1,6
1410000.0000000002,1399553
1,4
10.0,10
88400.0,90284
1,1
1,1
1,1
800000.0,800000
1,5
1,4
1,1
15.0,15
151.0,151
61600.0,59716
138300.0,138986
5.0,5
61800.0,60513
15.0,15
1,3
1,1
1,3
1,1
1,1
1,1
1,1
100100.0,101418
6700.0,6045
96100.0,96084
240000.0,239786
6250015.621875625,6001215
1,5
15.0,15
20000.049990002,18017
364.0,364
1,1
1,363121
5.0,5
1,1
6040015.096980604,5828306
10000.0,27060
720001.7996400719,752333
20.0,20
1,9
1,7
31399.999999999996,31680
120299.99999999999,116063
4100.0,3127
1,7
60000.0,179302
160000.399920016,113869
5110012.772445511,4910091
8000019.9960008,6001215
4100.0,4006
5.0,5
5100.0,6008
150000.0,150000
5.0,5
3328.0,3328
1,1
1,1
1,328048
1,10
10700.0,9548
1,1
1520000.0,1500000
1,500194
1,4
30199.999999999996,29764
1,6
1,1
8000019.9960008,6001215
1,1
1,1
101599.99999999999,102893
8000019.9960008,6001215
20000.049990002,1120
5400.0,6033
1,45
30000.0,29477
5.0,5
560.0,560
5.0,5
1247300.0,1247247
1,1
1.0,1
8000019.9960008,6001215
1000002.4995001,105507
150000.0,150000
1,1
15.0,15
440000.0,439976
150000.0,118976
1,15
10000.0,6948
1,1
1,1
180000.44991001798,166985
800000.0,800000
100.0,152
1,2
3050007.623475305,2867712
1,1
150000.0,150000
1,1
1,1
5.0,5
1,1
920000.0,800000
1,7
116100.0,114816
25.0,25
78300.0,77076
1,1
670000.0,543684
150000.0,150000
1,9408
1000002.4995001,117223
1,1
20000.0,64836
3700.0,5327
1,1
1,970906
227300.0,222439
1,283
1,757928
1,1
2036.0,2036
200.0,86
65100.0,66102
760000.0,600000
1,1
1,1
1,1
44500.0,44080
1,9
62900.0,63752
800000.0,800000
128800.0,129348
150000.0,150000
112700.0,114134
246400.61587682462,250102
1,1
1,1
5.0,5
1,1
1951.0,1951
344600.0,343616
10000.0,15312
1,9
58900.0,60101
1,1
1,1
5.0,5
1,1
10000.0,10000
1,1
1,1
1,1
1,1
15.0,15
1,1
1,1
2935.0,2935
150000.0,150000
1,1
15.0,15
25.0,25
1,23793
1,1
1,35
1,10
1,1
40000.0,32546
25.0,25
1,445
6000014.9970006,6001215
1,1
10700.0,9704
1,69
1,1
5604.0,5604
70300.0,70902
330000.0,384994
150000.0,150000
32700.000000000004,29914
1,3
25.0,25
1520000.0,1500000
150000.0,150000
1,1
1,1
660000.0,574506
1,1
150000.0,150000
6250015.621875625,6001215
20.0,20
1,5
1.0,1
1,779
10.0,10
1,1
85200.0,84251
1,1
66900.0,66847
2740006.848630274,2544718
150000.0,150000
1,20
1,11
1,16
749999.9999999999,573576
300200.0,295669
1,1
8000019.9960008,6001215
1520000.0,1500000
1,1
200.0,373
25.0,25
659601.6486702659,665254
150000.0,150000
1520000.0,1500000
1,1
1,14
1,18288
1,120070
150000.0,150000
1,5416
979999.9999999999,899032
150000.0,150000
1,1
1,3215387
1,1
1,1
5290013.222355529,5037128
70000.0,71066
108700.0,109835
1000002.4995001,51111
6549.0,6549
4400010.9978004405,4151858
1,1
5900.0,5925
800000.0,800000
5100.0,5182
1,10
88400.0,88504
1,4760
6250015.621875625,6001215
71700.0,72863
920000.0,800000
411601.0287942412,411001
10.0,10
1,1
1077602.6934613076,1071394
10.0,10
1,1
70000.174965007,82645
708500.0,702775
15.0,15
6250015.621875625,6001215
1,11
1,1
1,20
1,1
1.0,1
1,98302
538900.0,545680
59299.99999999999,59615
1,1
4600.0,5952
430000.0,428658
150000.0,150000
150000.0,150000
1,80
1,1
1721.0,1721
10.0,10
4300.0,3970
1,1
8000019.9960008,6001215
25.0,25
1,1
1,1
9900.0,11994
1,21
30199.999999999996,29764
8578.0,8578
1.0,1
390.0,390
6250015.621875625,6001215
1,1
1,1
96100.00000000001,96084
133000.0,134191
1600.0,1253
1300.0,759
1520000.0,1500000
1,1
1000002.4995001,1814517
10000.0,35303
1,1
5.0,5
1,1
5114.0,5114
148700.0,145412
5.0,5
1,1
6959.999999999999,6960
65100.0,65866
700001.74965007,742017
150000.0,150000
1,1
1150000.0,1203123
150000.0,150000
2392.0,2392
2200.0,1544
82400.0,83559
27499.999999999996,26465
15.0,15
30000.0,32841
5.0,5
1,1
1,1
119800.0,120236
801700.0,795302
695400.0,699520
1,1
66200.0,62259
1,7
1,68
1,1
800000.0,800000
85000.0,84030
1,1
25.0,25
120700.0,121909
