prediction,true
1,1
3250008.123375325,3274126
1,12
150000.0,150000
25.0,25
1,5416
430000.0,413459
150000.0,150000
86600.0,84082
1839999.9999999998,1500000
1700000.0,1389269
533100.0,533092
241400.0,247693
90500.0,93749
1,86033
1.0,1
1,279
1,21
70000.0,85007
45600.0,47779
1,1
150000.0,150000
4967.0,4967
5950014.872025595,6001215
1.0,1
20500.0,19766
720000.0,620980
150000.0,150000
150000.0,150000
257500.00000000003,256594
1120000.0,848661
1,33
590000.0,693772
1141.0,1141
130000.0,94669
1,2
1,1
321200.0,319032
3000.0,2386
1120002.799440112,990044
2437.0,2437
144600.0,143425
1,8
1,1
4899.999999999999,5961
1,9
1,1
1000.0024995000999,403
90000.0,102361
300000.74985003,355706
1,1
1,11
1360003.3993201358,1360084
1.0,1
1,1
25.0,25
750000.0,680881
650000.0,800000
1,1
166.0,166
4400.0,4060
1,63252
1370003.424315137,1334307
25.0,25
25.0,25
10000.0,10000
1,1
430500.0,431009
1000002.4995001,3752908
190000.0,182432
1840000.0,1500000
15700.0,17383
270000.674865027,306512
940000.0000000001,764487
1839999.9999999998,1500000
1,1
150000.0,150000
1,644
650000.0,800000
1,1
1,1
456300.0,450616
1,1
800000.0,800000
1530000.0,1170918
1,41
1,1
5.0,5
1,3401
1,1
1,3
1,1
1,1
38800.0,35250
1,7842
143500.0,143394
5.0,5
1,2
650000.0,800000
150000.0,150000
240000.0,176289
150000.0,150000
25.0,25
1,2
1000.0,1465
100.0,14
154900.0,156557
5980014.947010597,6001215
650000.0,800000
150000.0,150000
650000.0,800000
5.0,5
1,8
35800.0,38266
121399.99999999999,124238
899000.0000000001,894660
150000.0,150000
5500.0,6082
1,1
410000.0,561328
25.0,25
10.0,10
109999.99999999999,113230
150000.0,150000
1,1
601301.5029494101,599038
2633.0,2633
1,16
1,1
1,1
1,10
1,5
150000.0,150000
1,861
430001.07478504296,429070
1,4
150000.0,150000
60078500.0,60000414
1,16084
1,1
252299.99999999997,251572
1,1
100000.0,76259
6600.0,7834
3200.0,4103
150000.0,150000
525200.0,520966
10000.0,10000
132100.0,130548
100.0,27
1,1
149700.37417516496,158037
25.0,25
25.0,25
35881300.0,35245334
150000.0,150000
1,1
1,1
2900.0,4371
102900.0,105041
15.0,15
132100.0,130517
3000.0,3377
9493.0,9493
30000.074985003,38316
3217.0,3217
1,1
1,1
1,1
1,7
650000.0,800000
5980014.947010597,6001215
5.0,5
1,1
560001.399720056,692473
1000002.4995001,1218706
518800.0,510857
25.0,25
1,1
1,1
1.0,1
133700.0,131507
20100.0,22087
20.0,20
5980014.947010598,6001215
4400.0,4086
117900.0,121462
5.0,5
25.0,25
150000.0,150000
25.0,25
1000002.4995001,272801
800000.0,800000
573600.0,569777
91000.2274545091,87537
90000.0,196021
12900.0,10401
1,1
168100.42016596682,166370
1810004.524095181,1967020
656800.0,655280
419800.0,417510
25.0,25
25.0,25
160000.0,140416
1,2
1,1
3700.0,3909
1,6
6000014.9970006,6001215
1,2
1,145451
1,1
4000.0,3706
25.0,25
6000014.9970006,6001215
25.0,25
