prediction,true
1,1
3420692.5500000003,3274126
1,12
150000.0,150000
25.0,25
3200.0,5416
411750.0,413459
150000.0,150000
84314.99999999999,84082
1512000.0,1500000
1388250.0,1389269
535040.0,533092
254720.0,247693
94305.00000000001,93749
1,86033
1.0,1
1,279
1,21
85500.0,85007
47339.99999999999,47779
1,1
150000.0,150000
4967.0,4967
6751366.875,6001215
1.0,1
19440.0,19766
641250.0,620980
150000.0,150000
150000.0,150000
258720.0,256594
848250.0,848661
1,33
691200.0,693772
1141.0,1141
103500.0,94669
1,2
1,1
316200.0,319032
2060.0,2386
1296262.44,990044
2437.0,2437
143445.0,143425
1,8
1,1
5834.999999999999,5961
1,9
1,1
600.1215000000001,403
91200.00000000001,102361
432087.48,355706
1,1
1,11
1260255.1500000001,1360084
1.0,1
1,1
25.0,25
693000.0,680881
801600.0,800000
1,1
166.0,166
3580.0,4060
1,63252
1488301.32,1334307
25.0,25
25.0,25
10000.0,10000
1,1
426240.0,431009
5401093.5,3752908
171200.0,182432
1512000.0000000002,1500000
17160.0,17383
450091.125,306512
742500.0,764487
1512000.0,1500000
1,1
150000.0,150000
1,644
801600.0,800000
1,1
1,1
446640.0,450616
1,1
800000.0,800000
1203750.0,1170918
1,41
1,1
5.0,5
1600.0,3401
1,1
1,3
1,1
1,1
34560.0,35250
3200.0,7842
143920.0,143394
5.0,5
1,2
801600.0,800000
150000.0,150000
171000.0,176289
150000.0,150000
25.0,25
1,2
1640.0000000000002,1465
150.0,14
155600.0,156557
7057428.840000001,6001215
801600.0,800000
150000.0,150000
801600.0,800000
5.0,5
1,8
37785.0,38266
124755.0,124238
891150.0,894660
150000.0,150000
5040.0,6082
1,1
555200.0,561328
25.0,25
10.0,10
115200.0,113230
150000.0,150000
1,1
568315.0605,599038
2633.0,2633
1,16
1,1
1,1
40.0,10
1,5
150000.0,150000
1,861
432087.48,429070
1,4
150000.0,150000
59953185.0,60000414
24000.0,16084
1,1
244200.0,251572
1,1
105750.0,76259
9080.0,7834
3939.9999999999995,4103
150000.0,150000
514480.0,520966
10000.0,10000
130889.99999999999,130548
1,27
1,1
153631.10400000002,158037
25.0,25
25.0,25
35239995.0,35245334
150000.0,150000
1,1
1,1
4575.0,4371
105300.0,105041
15.0,15
